"poly","ring","x","y"
"o_1",1,25696,14650
"o_1",1,25779,14550
"o_1",1,25696,14649
"o_1",1,25646,14692
"o_1",1,25532,14690
"o_1",1,25539,14659
"o_1",1,25578,14644
"o_1",1,25558,14558
"o_1",1,25532,14535
"o_1",1,25527,14476
"o_1",1,25553,14450
"o_1",1,25542,14437
"o_1",1,25538,14360
"o_1",1,25470,14247
"o_1",1,25530,14256
"o_1",1,25542,14322
"o_1",1,25586,14279
"o_1",1,25603,14207
"o_1",1,25647,14182
"o_1",1,25681,14221
"o_1",1,25634,14258
"o_1",1,25591,14321
"o_1",1,25668,14266
"o_1",1,25753,14191
"o_1",1,25756,14189
"o_1",1,25829,14183
"o_1",1,25898,14136
"o_1",1,25891,14132
"o_1",1,25827,14139
"o_1",1,25776,14084
"o_1",1,25789,14007
"o_1",1,25774,13949
"o_1",1,25803,13861
"o_1",1,25781,13817
"o_1",1,25729,13778
"o_1",1,25710,13746
"o_1",1,25723,13562
"o_1",1,25745,13550
"o_1",1,25780,13520
"o_1",1,25746,13462
"o_1",1,25712,13375
"o_1",1,25714,13362
"o_1",1,25730,13321
"o_1",1,25755,13283
"o_1",1,25769,13268
"o_1",1,25781,13263
"o_1",1,25814,13221
"o_1",1,25825,13201
"o_1",1,25900,13292
"o_1",1,25909,13369
"o_1",1,25968,13401
"o_1",1,25994,13427
"o_1",1,25997,13438
"o_1",1,26017,13456
"o_1",1,26028,13484
"o_1",1,26060,13446
"o_1",1,26054,13430
"o_1",1,26047,13429
"o_1",1,26023,13471
"o_1",1,26019,13439
"o_1",1,25998,13438
"o_1",1,25993,13423
"o_1",1,25984,13414
"o_1",1,25932,13369
"o_1",1,25904,13297
"o_1",1,25867,13229
"o_1",1,25820,13196
"o_1",1,25819,13187
"o_1",1,25827,13167
"o_1",1,25829,13162
"o_1",1,25831,13144
"o_1",1,25842,13143
"o_1",1,25846,13117
"o_1",1,25835,13113
"o_1",1,25837,13060
"o_1",1,25861,13066
"o_1",1,25844,13029
"o_1",1,25846,12916
"o_1",1,25828,12943
"o_1",1,25806,13012
"o_1",1,25803,13013
"o_1",1,25812,13029
"o_1",1,25798,13058
"o_1",1,25775,13059
"o_1",1,25775,13056
"o_1",1,25727,13061
"o_1",1,25646,13086
"o_1",1,25630,13000
"o_1",1,25637,12995
"o_1",1,25629,12998
"o_1",1,25635,13031
"o_1",1,25645,13089
"o_1",1,25668,13082
"o_1",1,25686,13097
"o_1",1,25735,13120
"o_1",1,25741,13161
"o_1",1,25781,13139
"o_1",1,25834,13127
"o_1",1,25833,13134
"o_1",1,25828,13163
"o_1",1,25826,13168
"o_1",1,25821,13183
"o_1",1,25817,13189
"o_1",1,25817,13194
"o_1",1,25815,13217
"o_1",1,25809,13226
"o_1",1,25757,13281
"o_1",1,25752,13286
"o_1",1,25731,13319
"o_1",1,25728,13325
"o_1",1,25714,13362
"o_1",1,25711,13376
"o_1",1,25689,13371
"o_1",1,25711,13391
"o_1",1,25697,13461
"o_1",1,25721,13547
"o_1",1,25685,13561
"o_1",1,25692,13566
"o_1",1,25713,13614
"o_1",1,25697,13668
"o_1",1,25659,13690
"o_1",1,25636,13638
"o_1",1,25555,13669
"o_1",1,25511,13628
"o_1",1,25496,13598
"o_1",1,25512,13569
"o_1",1,25508,13550
"o_1",1,25557,13459
"o_1",1,25505,13490
"o_1",1,25482,13523
"o_1",1,25498,13504
"o_1",1,25501,13551
"o_1",1,25493,13587
"o_1",1,25498,13622
"o_1",1,25510,13647
"o_1",1,25511,13648
"o_1",1,25510,13648
"o_1",1,25512,13709
"o_1",1,25555,13724
"o_1",1,25613,13777
"o_1",1,25590,13823
"o_1",1,25595,13853
"o_1",1,25618,13869
"o_1",1,25612,13879
"o_1",1,25602,13882
"o_1",1,25595,13878
"o_1",1,25595,13885
"o_1",1,25560,13887
"o_1",1,25560,13877
"o_1",1,25553,13879
"o_1",1,25554,13888
"o_1",1,25534,13889
"o_1",1,25519,13890
"o_1",1,25479,13917
"o_1",1,25460,13887
"o_1",1,25438,13613
"o_1",1,25429,13574
"o_1",1,25448,13500
"o_1",1,25505,13467
"o_1",1,25520,13394
"o_1",1,25464,13327
"o_1",1,25446,13259
"o_1",1,25520,13276
"o_1",1,25506,13262
"o_1",1,25491,13119
"o_1",1,25410,13073
"o_1",1,25363,13055
"o_1",1,25168,12939
"o_1",1,25124,12983
"o_1",1,25091,12985
"o_1",1,25126,12996
"o_1",1,25412,13149
"o_1",1,25429,13202
"o_1",1,25421,13257
"o_1",1,25459,13377
"o_1",1,25504,13427
"o_1",1,25461,13487
"o_1",1,25422,13506
"o_1",1,25417,13509
"o_1",1,25399,13515
"o_1",1,25358,13409
"o_1",1,25315,13330
"o_1",1,25245,13249
"o_1",1,25180,13199
"o_1",1,25147,13145
"o_1",1,25091,13056
"o_1",1,25074,13036
"o_1",1,25072,13033
"o_1",1,25063,13025
"o_1",1,25061,13015
"o_1",1,25047,13011
"o_1",1,25017,12980
"o_1",1,24996,12962
"o_1",1,24989,12953
"o_1",1,24904,12902
"o_1",1,24863,12854
"o_1",1,24847,12842
"o_1",1,24818,12808
"o_1",1,24799,12756
"o_1",1,24743,12707
"o_1",1,24740,12671
"o_1",1,24736,12677
"o_1",1,24734,12678
"o_1",1,24719,12620
"o_1",1,24724,12647
