"st","x","y"
"20",19911,12030
"20",19622,13279
"20",20327,12622
"20",20360,11198
"20",21545,12177
"20",21186,11993
"20",21332,11226
"20",21493,11994
"20",21504,12130
"20",20858,11164
"20",21167,11828
"20",20956,12980
"20",19957,11929
"20",19524,13243
"20",20311,11841
"20",21408,11993
"20",18906,12278
"20",19483,13078
"20",21550,12094
"20",21359,11799
"20",21343,11748
"20",17543,13178
"20",21557,12150
"20",21532,12167
"20",19525,13280
"20",21341,11761
"20",21327,11700
"20",21331,11720
"20",21538,12095
"20",21530,12096
"20",21398,12037
"20",20919,11415
"20",19528,13255
"20",19577,13309
"20",18079,12123
"20",21168,11493
"20",21181,11478
"20",19555,12950
"20",21567,12192
"20",19536,13275
"20",19599,13278
"20",19455,13275
"20",19417,13435
"20",19613,13335
"20",19376,13260
"20",21409,12011
"20",21576,12055
"20",19349,12189
"20",18485,12626
"20",21364,11985
"20",20798,11995
"20",20801,12018
"20",21492,11899
"20",19307,12370
"20",21358,11926
"20",20776,12027
"20",21478,11915
"20",20711,12045
"20",20828,12000
"20",20340,12045
"20",19340,12239
"20",18458,12617
"20",18479,13328
"20",18888,12876
"20",21100,12431
"20",16807,13809
"20",16248,12881
"20",18307,12535
"20",18907,12649
"20",19708,12718
"20",19649,12098
"20",19943,11985
"20",19816,13284
"20",17420,11908
"20",18754,12413
"20",16897,12922
"20",21068,12096
"20",21095,12142
"20",16238,12887
"20",19766,13954
"20",18114,11265
"20",21435,12193
"20",20650,12602
"20",19609,11480
"20",20765,13734
"20",19558,13275
"20",17517,13194
"20",21123,12099
"20",20986,12159
"20",21467,12000
"20",21509,11998
"20",19618,13221
"20",19563,13322
"20",19560,13325
"20",19622,13333
"20",19598,13436
"20",19295,12601
"20",17540,13171
"20",21543,12402
"20",19303,12435
"20",19543,13292
"20",19463,13239
"20",21575,12118
"20",21518,12134
"20",21492,12108
"20",20966,13186
"20",21357,11754
"20",20084,11876
"20",21521,12035
"20",21096,12044
"20",20114,11801
"20",20104,11803
"20",18891,12267
"20",18892,12270
"20",21500,12127
"20",21543,11997
"20",19609,13292
"20",19490,13282
"20",19523,13284
"20",19523,13301
"20",19569,13315
"20",21461,12183
"20",21095,13654
"20",21486,12045
"20",21573,12040
"20",21398,12130
"20",21390,12129
"20",19382,13309
"20",19590,13268
"20",19524,13345
"20",19920,12023
"20",19437,13301
"20",19545,13339
"20",19392,13385
"20",21555,12021
"20",20771,12007
"20",21512,11958
"20",20699,12016
"20",18494,12630
"20",21469,11899
"20",20765,12030
"20",20755,12034
"20",21546,11912
"20",21458,11900
"20",20764,12011
"20",21529,11983
"20",20704,12007
"20",21525,11910
"20",20742,12245
"20",16836,11577
"20",21518,11905
"20",16822,13838
"20",21080,12416
"20",21541,13569
"20",16904,12931
"20",21530,13549
"20",20762,11983
"20",16806,13845
"20",19101,12851
"20",16819,13816
"20",19543,12756
"20",19695,13412
"20",18483,12625
"20",18959,13332
"20",19582,13576
"20",20122,11852
"20",21080,12090
"20",21114,12097
"20",20177,11824
"20",20175,11833
"20",19914,12035
"20",21502,12112
"20",16513,13305
"20",17530,13175
"20",17538,13161
"20",21496,12009
"20",21361,12192
"20",19606,13197
"20",19184,12462
"20",21531,12085
"20",21085,12055
"20",17283,13106
"20",21524,12002
"20",17704,11173
"20",21121,13420
"20",21558,12038
"20",19799,13908
"20",19466,13256
"20",19627,13264
"20",19653,13299
"20",21547,11990
"20",21548,11992
"20",21473,12095
"20",21442,12128
"20",21505,12075
"20",21477,12135
"20",21065,12102
"20",19321,12641
"20",21488,11996
"20",21472,12141
"20",19615,13321
"20",21449,12170
"20",19929,11976
"20",21477,12143
"20",21081,11329
"20",19187,13337
"20",19567,13347
"20",18145,11573
"20",21527,12041
"20",21354,12231
"20",19541,13425
"20",19914,12018
"20",19613,13331
"20",19537,13272
"20",21413,12013
"20",20583,13197
"20",21495,11905
"20",21456,11929
"20",21463,11894
"20",20774,11999
"20",20850,12020
"20",20796,12011
"20",21557,11928
"20",20797,11944
"20",18477,12480
"20",19347,12211
"20",18429,12111
"20",21121,12733
"20",20795,11970
"20",19849,12347
"20",18491,12620
"20",17984,13034
"20",21586,13429
"20",20954,12415
"20",21522,13582
"20",16291,12921
"20",19154,12904
"20",20410,12620
"20",19478,13700
"20",20412,12623
"20",16819,13839
"20",20785,13561
"20",20083,11846
"20",21563,11968
"20",19626,12856
"20",20659,11727
"20",19444,12867
"20",17012,12782
"20",20071,11835
"20",19519,13337
"20",19567,13313
"20",19616,13331
"20",19365,13459
"20",19526,13269
"20",17904,11984
"20",21559,12011
"20",16905,12927
"20",19583,13305
"20",21530,12163
"20",16609,13554
"20",19929,11969
"20",19605,13438
"20",21100,12094
"20",21535,13153
"20",21432,12136
"20",21097,12066
"20",21096,12069
"20",21349,12235
"20",19437,13304
"20",21448,12132
"20",21396,11998
"20",21196,11849
"20",21055,12076
"20",16317,13618
"20",19462,13466
"20",21402,12000
"20",19653,13331
"20",19397,13397
"20",21357,11762
"20",21577,12083
"20",19437,13228
"20",19433,13325
"20",19523,13354
"20",21551,12123
"20",19656,13277
"20",19456,13269
"20",21495,12163
"20",19674,13164
"20",19622,13320
"20",21414,12018
"20",16886,12452
"20",21507,11913
"20",20771,12039
"20",21526,11962
"20",21538,11915
"20",19363,12185
"20",19370,12223
"20",21539,11931
"20",19347,12213
"20",21527,11914
"20",19722,11664
"20",21562,11899
"20",19822,13276
"20",20653,11942
"20",18531,13478
"20",20092,11855
"20",20427,12608
"20",18473,12624
"20",19884,13408
"20",18382,11555
"20",21372,11981
"20",20032,11932
"20",21322,13329
"20",21529,13534
"20",21535,13563
"20",21451,12070
"20",21478,12090
"20",19767,13856
"20",19541,13406
"20",19507,13308
"20",19311,12639
"20",21567,12138
"20",21459,12138
"20",18078,12113
"20",19515,13205
"20",19455,13293
"20",20993,13068
"20",19950,11949
"20",16926,12942
"20",17523,13188
"20",21577,12152
"20",21558,12029
"20",21471,12058
"20",17519,13163
"20",21072,12050
"20",21543,12085
"20",21549,12028
"20",21511,12119
"20",21571,12177
"20",21561,11994
"20",21471,12240
"20",21511,12193
"20",18102,12123
"20",19329,12631
"20",21555,12018
"20",19938,11948
"20",19554,13350
"20",21525,12154
"20",21083,12056
"20",21474,12133
"20",21419,12085
"20",19690,11221
"20",19644,13177
"20",19534,13327
"20",21519,11992
"20",19610,13239
"20",17598,13226
"20",19493,13299
"20",19565,13303
"20",21443,12129
"20",19537,13329
"20",19420,13297
"20",19676,13295
"20",19446,13214
"20",19809,13711
"20",19520,13202
"20",19482,13208
"20",19524,13305
"20",21349,11787
"20",21093,13636
"20",21471,12032
"20",21480,12026
"20",19634,12528
"20",18481,12625
"20",19650,12100
"20",21362,11947
"20",20721,12029
"20",20811,12125
"20",21574,11986
"20",21559,11935
"20",21444,11902
"20",20755,12026
"20",20753,12024
"20",21085,12435
"20",21413,11874
"20",20677,12384
"20",20831,12370
"20",20675,12399
"20",21430,13797
"20",20455,11341
"20",19130,12906
"20",21551,11903
"20",20808,11976
"20",19786,13469
"20",19636,13540
"20",20104,11855
"20",16364,12042
"20",19692,13386
"20",19126,12931
"20",16799,13841
"20",19582,13587
"20",20760,11922
"20",20760,11921
"20",20090,11835
"20",20496,11846
"20",18898,12774
"20",21532,12111
"20",21452,12194
"20",20125,11832
"20",18708,12181
"20",19518,13270
"20",19454,13290
"20",19529,12953
"20",21329,11902
"20",19582,13332
"20",20870,11230
"20",16888,12931
"20",21500,12145
"20",18205,13336
"20",20089,11846
"20",17520,13172
"20",21463,12165
"20",16898,12919
"20",21299,12685
"20",19303,12647
"20",19653,13436
"20",19596,13296
"20",19585,13320
"20",21533,13151
"20",20575,13134
"20",19517,13422
"20",19557,13331
"20",21529,13160
"20",19321,12632
"20",21538,12071
"20",20892,11217
"20",21178,11985
"20",21432,12123
"20",21068,12077
"20",21328,11684
"20",16449,13349
"20",21512,12074
"20",21460,12171
"20",21458,12065
"20",19566,13316
"20",21338,11743
"20",19518,13327
"20",19807,13894
"20",19495,13281
"20",19495,13305
"20",21389,12007
"20",21562,12070
"20",19752,13878
"20",19590,13450
"20",19541,13085
"20",21562,12156
"20",21474,12185
"20",19588,13291
"20",16892,12447
"20",21529,11962
"20",20760,11912
"20",17643,12499
"20",21377,11894
"20",20750,11911
"20",21376,11917
"20",21573,11979
"20",18436,12106
"20",20422,12609
"20",19699,13312
"20",20125,11850
"20",16801,13848
"20",16907,13799
"20",19903,13181
"20",20424,12617
"20",20027,11931
"20",21485,11999
"20",21371,12082
"20",21471,12032
"20",21530,12011
"20",19242,13358
"20",19434,13302
"20",16877,12933
"20",16933,12950
"20",20066,11375
"20",21103,13630
"20",21107,12098
"20",19582,13332
"20",21191,11499
"20",20023,11926
"20",21572,12048
"20",19920,11995
"20",21091,12051
"20",21195,11503
"20",21549,12181
"20",21500,12087
"20",21555,12061
"20",21352,11768
"20",19614,13428
"20",19591,13297
"20",19501,13280
"20",19533,13251
"20",20352,13518
"20",21194,11487
"20",21501,12040
"20",21415,12121
"20",20104,11877
"20",19550,13350
"20",18078,12118
"20",19520,13341
"20",21123,12084
"20",21077,12064
"20",20097,11881
"20",21507,12084
"20",19800,13748
"20",21319,12522
"20",19583,13279
"20",19734,13878
"20",18212,12137
"20",21100,12075
"20",21539,12105
"20",21524,12169
"20",19913,13663
"20",19425,13283
"20",19435,13295
"20",19521,13353
"20",19442,13274
"20",19378,13306
"20",19558,13264
"20",19617,13321
"20",21511,12084
"20",21496,11905
"20",21563,11915
"20",21514,11990
"20",20737,12002
"20",20729,12008
"20",21374,11973
"20",19518,11463
"20",18715,12943
"20",21506,11961
"20",21565,11916
"20",20786,12030
"20",21540,11967
"20",21374,11979
"20",20759,11910
"20",19346,12219
"20",19432,12147
"20",21529,11928
"20",20871,12252
"20",19247,12055
"20",18517,13260
"20",18499,11246
"20",20773,11984
"20",19527,12704
"20",19499,13703
"20",16888,12937
"20",18190,12765
"20",20794,11977
"20",20854,13822
"20",17703,11175
"20",21100,12073
"20",19537,13244
"20",16931,12948
"20",16933,12951
"20",21536,12170
"20",21129,12100
"20",19508,13282
"20",19519,13240
"20",20089,11838
"20",18232,13384
"20",20962,13635
"20",21545,12063
"20",20108,11229
"20",20728,11631
"20",18905,12788
"20",19553,13283
"20",19558,13334
"20",19414,13477
"20",21474,11998
"20",21337,11726
"20",21329,11900
"20",21122,12087
"20",21069,12077
"20",19501,13297
"20",18078,12096
"20",21074,13082
"20",21340,12188
"20",19908,11994
"20",21514,12165
"20",19634,13334
"20",21528,12007
"20",19586,13323
"20",19573,13278
"20",21407,12082
"20",21440,12181
"20",21445,12162
"20",21467,12046
"20",20830,13927
"20",21505,12215
"20",17879,11866
"20",19592,13327
"20",21542,12099
"20",16891,12453
"20",21554,11949
"20",20804,11981
"20",19337,11441
"20",21525,11966
"20",18479,12468
"20",19293,11910
"20",17038,11523
"20",20796,11963
"20",19830,12523
"20",21226,12299
"20",19646,12114
"20",19265,13183
"20",21521,11912
"20",18980,11439
"20",18959,13316
"20",16350,11563
"20",16960,11535
"20",20896,12073
"20",18837,13895
