"division","part","x","y"
"Middle Atlantic",3,1007.6,205.1
"Middle Atlantic",3,1007.2,206
"Middle Atlantic",3,1006.5,206.5
"Middle Atlantic",3,1005.7,207.7
"Middle Atlantic",3,1004.9,208.3
"Middle Atlantic",3,1003.7,208.7
"Middle Atlantic",3,1002.6,209.3
"Middle Atlantic",3,1001.7,209.4
"Middle Atlantic",3,1000.7,209.8
"Middle Atlantic",3,998.8,210.2
"Middle Atlantic",3,998,210.5
"Middle Atlantic",3,996.6,210.5
"Middle Atlantic",3,996.4,211.2
"Middle Atlantic",3,996.4,211.7
"Middle Atlantic",3,995.2,212.6
"Middle Atlantic",3,993.9,212.4
"Middle Atlantic",3,992.9,212.6
"Middle Atlantic",3,991.9,212.2
"Middle Atlantic",3,992.2,213.3
"Middle Atlantic",3,991.6,213.4
"Middle Atlantic",3,991.4,212.8
"Middle Atlantic",3,990.5,212.7
"Middle Atlantic",3,990.5,213.3
"Middle Atlantic",3,989.7,213.8
"Middle Atlantic",3,989.3,213.8
"Middle Atlantic",3,988.5,214.4
"Middle Atlantic",3,988,215
"Middle Atlantic",3,988.2,215.5
"Middle Atlantic",3,987,215.4
"Middle Atlantic",3,986.3,217.4
"Middle Atlantic",3,985.5,216.6
"Middle Atlantic",3,986,214.6
"Middle Atlantic",3,987.1,213.6
"Middle Atlantic",3,987.4,212.5
"Middle Atlantic",3,987.3,211.9
"Middle Atlantic",3,985.5,210.2
"Middle Atlantic",3,989.1,206.6
"Middle Atlantic",3,987.5,204.9
"Middle Atlantic",3,986.2,197.4
"Middle Atlantic",3,985.6,194.1
"Middle Atlantic",3,984.6,188.5
"Middle Atlantic",3,984.4,187.3
"Middle Atlantic",3,983.8,186.6
"Middle Atlantic",3,984.1,176.2
"Middle Atlantic",3,984.2,170.4
"Middle Atlantic",3,984,170.4
"Middle Atlantic",3,983.5,169.2
"Middle Atlantic",3,983.5,168.4
"Middle Atlantic",3,982.5,163.8
"Middle Atlantic",3,981.5,158.6
"Middle Atlantic",3,980.1,152.4
"Middle Atlantic",3,979.7,151.6
"Middle Atlantic",3,979.2,151.3
"Middle Atlantic",3,978.7,150.4
"Middle Atlantic",3,977.7,150.6
"Middle Atlantic",3,977.5,151
"Middle Atlantic",3,977.6,151.7
"Middle Atlantic",3,977.4,152.1
"Middle Atlantic",3,976.8,151.8
"Middle Atlantic",3,976.8,150.9
"Middle Atlantic",3,976.5,150.7
"Middle Atlantic",3,976.6,149.2
"Middle Atlantic",3,977,148.3
"Middle Atlantic",3,977.1,147.2
"Middle Atlantic",3,976.1,146.2
"Middle Atlantic",3,976.3,145.6
"Middle Atlantic",3,976.1,144.9
"Middle Atlantic",3,975.2,143.7
"Middle Atlantic",3,974.7,141.6
"Middle Atlantic",3,974.1,141.3
"Middle Atlantic",3,974.2,139.6
"Middle Atlantic",3,974.1,137.8
"Middle Atlantic",3,974.4,137.2
