"plan","unit","part","x","y"
"fewest",1,10,1075.3,1292.5
"fewest",1,10,1075.8,1292.9
"fewest",1,10,1076.5,1292.9
"fewest",1,10,1077.4,1292.1
"fewest",1,10,1077.3,1292
"fewest",1,10,1077.4,1292
"fewest",1,10,1077.4,1291.7
"fewest",1,10,1077.2,1291.5
"fewest",1,10,1076.9,1291.5
"fewest",1,10,1076.7,1291.3
"fewest",1,10,1076.8,1291.2
"fewest",1,10,1076.4,1290.9
"fewest",1,10,1076.1,1291
"fewest",1,10,1076.1,1290.7
"fewest",1,10,1076.5,1290.6
"fewest",1,10,1076.2,1290.5
"fewest",1,10,1075.5,1290.4
"fewest",1,10,1075.7,1289.9
"fewest",1,10,1075.3,1289.8
"fewest",1,10,1075.4,1289.7
"fewest",1,10,1075.5,1289.2
"fewest",1,10,1075.7,1289
"fewest",1,10,1076.6,1288.9
"fewest",1,10,1075.7,1288.2
"fewest",1,10,1075.7,1288.2
"fewest",1,10,1075.4,1287.6
"fewest",1,10,1075.5,1287.4
"fewest",1,10,1075.3,1287.3
"fewest",1,10,1075.5,1287.1
"fewest",1,10,1075.2,1287
"fewest",1,10,1075.2,1286.7
"fewest",1,10,1075.5,1286.7
"fewest",1,10,1075.5,1286.5
"fewest",1,10,1075.2,1285.8
"fewest",1,10,1074.9,1285.8
"fewest",1,10,1075,1285.4
"fewest",1,10,1074.3,1284.8
"fewest",1,10,1074.1,1284.1
"fewest",1,10,1074.1,1283.7
"fewest",1,10,1074.4,1283.2
"fewest",1,10,1074.3,1283
"fewest",1,10,1074.1,1282.9
"fewest",1,10,1074.1,1282.8
"fewest",1,10,1073.8,1282.8
"fewest",1,10,1073.7,1282.2
"fewest",1,10,1073.4,1281.4
"fewest",1,10,1073.4,1281.2
"fewest",1,10,1073.3,1280.7
"fewest",1,10,1072.6,1280.5
"fewest",1,10,1072.7,1280
"fewest",1,10,1072.9,1279.8
"fewest",1,10,1072.8,1279.7
"fewest",1,10,1072.5,1279.6
"fewest",1,10,1072.7,1280
"fewest",1,10,1072.3,1280.2
"fewest",1,10,1072.2,1280
"fewest",1,10,1072.3,1279.9
"fewest",1,10,1072.2,1279.8
"fewest",1,10,1072.4,1279.7
"fewest",1,10,1072.3,1279.3
"fewest",1,10,1072.5,1279
"fewest",1,10,1072.1,1278.6
"fewest",1,10,1071.7,1278.4
"fewest",1,10,1071.4,1278.4
"fewest",1,10,1071,1278.4
"fewest",1,10,1071.2,1278.3
"fewest",1,10,1071.5,1278.4
"fewest",1,10,1071.9,1278.5
"fewest",1,10,1072.2,1278.7
"fewest",1,10,1072.4,1278.4
"fewest",1,10,1072.3,1278.1
"fewest",1,10,1071.5,1277.7
"fewest",1,10,1071.4,1277.5
"fewest",1,10,1071.5,1277.2
"fewest",1,10,1071.8,1277.4
"fewest",1,10,1072.2,1277.3
"fewest",1,10,1071.9,1276.7
"fewest",1,15,1075.2,1286
"fewest",1,15,1075.2,1286.1
"fewest",1,15,1075,1286.1
"fewest",1,15,1075,1286
"fewest",1,15,1075.2,1286
"fewest",1,17,1075.5,1286.4
"fewest",1,17,1075.4,1286.7
"fewest",1,17,1075.3,1286.7
"fewest",1,17,1075.3,1286.3
"fewest",1,17,1075.5,1286.4
"fewest",1,19,1075.8,1288.5
"fewest",1,19,1075.9,1288.5
"fewest",1,19,1076,1288.5
"fewest",1,19,1075.8,1288.5
"fewest",1,11,1072.8,1280.4
"fewest",1,11,1073,1280.5
"fewest",1,11,1073.2,1280.4
"fewest",1,11,1072.9,1280.1
"fewest",1,11,1072.7,1280.1
"fewest",1,11,1072.8,1280.4
"fewest",1,12,1072.3,1284.3
"fewest",1,12,1072.4,1284.3
"fewest",1,12,1072.3,1284.3
"fewest",1,12,1072.3,1284.3
"fewest",1,13,1073.1,1286.8
"fewest",1,13,1073.1,1286.6
"fewest",1,13,1073.3,1286.6
"fewest",1,13,1073.3,1286.5
"fewest",1,13,1073,1286.6
"fewest",1,13,1073.1,1286.8
"fewest",1,2,1074,1288.5
"fewest",1,2,1074,1288.6
"fewest",1,2,1074,1288.5
"fewest",1,2,1074,1288.5
"fewest",1,3,1073.8,1288.6
"fewest",1,3,1073.8,1288.7
"fewest",1,3,1073.8,1288.8
"fewest",1,3,1073.9,1288.6
"fewest",1,3,1073.8,1288.6
"fewest",1,4,1075.9,1289.7
"fewest",1,4,1075.9,1289.6
