"family","angle","unit","pop","black","share","bvap"
"strip",79,3,177824,87258,49.07,45.983
"strip",79,4,177827,33311,18.732,18.111
"strip",79,5,177686,28681,16.141,16.733
"strip",79,6,177795,20463,11.509,11.071
"strip",80,1,177725,157985,88.893,88.119
"strip",80,2,177842,149530,84.08,83.317
"strip",80,3,177821,87514,49.215,46.124
"strip",80,4,178382,33287,18.661,18.056
"strip",80,5,177782,28835,16.219,16.791
"strip",80,6,177158,20473,11.556,11.112
"strip",81,1,177902,158038,88.834,88.058
"strip",81,2,177662,149055,83.898,83.132
"strip",81,3,177819,87775,49.362,46.256
"strip",81,4,177823,33255,18.701,18.094
"strip",81,5,177756,28994,16.311,16.868
"strip",81,6,177748,20507,11.537,11.093
"strip",82,1,177970,157966,88.76,87.975
"strip",82,2,177534,148770,83.798,83.024
"strip",82,3,177785,88098,49.553,46.437
"strip",82,4,177927,33347,18.742,18.141
"strip",82,5,177882,29038,16.324,16.88
"strip",82,6,177612,20405,11.489,11.038
"strip",83,1,177804,157570,88.62,87.802
"strip",83,2,177742,148760,83.694,82.948
"strip",83,3,178176,88042,49.413,46.29
"strip",83,4,177645,33310,18.751,18.148
"strip",83,5,177449,29500,16.624,17.173
"strip",83,6,177894,20442,11.491,11.043
"strip",84,1,177926,157391,88.459,87.647
"strip",84,2,177640,148651,83.681,82.916
"strip",84,3,177750,88043,49.532,46.394
"strip",84,4,177860,33285,18.714,18.12
"strip",84,5,177718,29789,16.762,17.305
"strip",84,6,177816,20465,11.509,11.06
"strip",85,1,177836,157124,88.353,87.539
"strip",85,2,177741,148379,83.48,82.695
"strip",85,3,177958,88433,49.693,46.54
"strip",85,4,177901,33286,18.71,18.116
"strip",85,5,177471,29937,16.869,17.405
"strip",85,6,177803,20465,11.51,11.063
"strip",86,1,177793,156731,88.154,87.33
"strip",86,2,176990,147378,83.269,82.503
"strip",86,3,178516,89634,50.211,46.977
"strip",86,4,177542,33178,18.687,18.097
"strip",86,5,177887,30251,17.006,17.537
"strip",86,6,177982,20452,11.491,11.041
"strip",87,1,177844,156466,87.979,87.164
"strip",87,2,177729,147956,83.248,82.457
"strip",87,3,177829,88740,49.902,46.687
"strip",87,4,177713,33155,18.656,18.077
"strip",87,5,177746,30832,17.346,17.8
"strip",87,6,177849,20475,11.513,11.056
"strip",88,1,177721,155986,87.77,86.935
"strip",88,2,177827,148154,83.314,82.529
"strip",88,3,177867,88878,49.969,46.791
"strip",88,4,177638,33175,18.676,18.083
"strip",88,5,177733,30976,17.428,17.884
"strip",88,6,177924,20455,11.496,11.054
"strip",89,1,177819,155735,87.581,86.735
"strip",89,2,177746,147789,83.146,82.361
"strip",89,3,177815,89281,50.21,46.995
"strip",89,4,177640,33140,18.656,18.074
"strip",89,5,177897,31211,17.544,17.997
"strip",89,6,177793,20468,11.512,11.065
"strip",90,1,177794,155469,87.443,86.6
"strip",90,2,177434,147434,83.092,82.296
"strip",90,3,178100,89256,50.116,46.913
"strip",90,4,177711,33090,18.62,18.042
"strip",90,5,177842,31882,17.927,18.334
"strip",90,6,177829,20493,11.524,11.078
"strip",91,1,177797,155227,87.306,86.458
"strip",91,2,177738,147504,82.99,82.156
"strip",91,3,177892,89344,50.224,47.025
"strip",91,4,177733,33115,18.632,18.054
"strip",91,5,177735,31984,17.995,18.385
"strip",91,6,177815,20450,11.501,11.058
"strip",92,1,177392,154192,86.922,86.07
"strip",92,2,178159,148032,83.09,82.224
"strip",92,3,177817,89430,50.293,47.1
"strip",92,4,177785,33198,18.673,18.107
"strip",92,5,177753,32404,18.23,18.612
"strip",92,6,177804,20368,11.455,11.001
"strip",93,1,177398,154100,86.867,86.019
"strip",93,2,178308,148006,83.006,82.124
"strip",93,3,177702,89409,50.314,47.076
"strip",93,4,177598,33147,18.664,18.106
"strip",93,5,177713,32543,18.312,18.703
"strip",93,6,177991,20419,11.472,11.011
"strip",94,1,177783,154398,86.846,86.003
"strip",94,2,177802,146772,82.548,81.604
"strip",94,3,177890,90241,50.729,47.474
"strip",94,4,177683,33184,18.676,18.125
"strip",94,5,177646,32647,18.378,18.764
"strip",94,6,177906,20382,11.457,10.989
"strip",95,1,177181,153534,86.654,85.81
"strip",95,2,178370,147053,82.443,81.459
"strip",95,3,177542,89842,50.603,47.386
"strip",95,4,178067,33691,18.92,19.228
"strip",95,5,177468,33155,18.682,18.124
"strip",95,6,178082,20349,11.427,10.961
"strip",96,1,178372,154277,86.492,85.65
"strip",96,2,177092,146048,82.47,81.534
"strip",96,3,177908,90072,50.628,47.278
"strip",96,4,177715,33728,18.979,19.278
"strip",96,5,177513,33283,18.75,18.183
"strip",96,6,178110,20216,11.35,10.892
"strip",97,1,178065,153777,86.36,85.531
"strip",97,2,177513,146312,82.423,81.448
"strip",97,3,177822,90000,50.612,47.279
"strip",97,4,177758,34036,19.147,19.412
"strip",97,5,178134,33436,18.77,18.206
"strip",97,6,177418,20063,11.308,10.853
"strip",98,1,177785,153097,86.114,85.284
"strip",98,2,177806,146640,82.472,81.466
"strip",98,3,177700,90127,50.719,47.377
"strip",98,4,177846,34249,19.258,19.504
"strip",98,5,177801,33332,18.747,18.185
"strip",98,6,177772,20179,11.351,10.898
"strip",99,1,177824,153031,86.058,85.218
"strip",99,2,177712,146556,82.468,81.459
"strip",99,3,177983,89403,50.231,47.049
"strip",99,4,177356,35104,19.793,19.839
"strip",99,5,178129,33292,18.69,18.121
"strip",99,6,177706,20238,11.388,10.944
"strip",100,1,178269,153439,86.072,85.231
"strip",100,2,177420,145595,82.062,80.99
"strip",100,3,177642,89786,50.543,47.355
"strip",100,4,177571,35345,19.905,19.954
"strip",100,5,178068,32795,18.417,17.867
"strip",100,6,177740,20664,11.626,11.168
"strip",101,1,177777,152741,85.917,85.068
"strip",101,2,178057,145991,81.991,80.887
"strip",101,3,177591,89972,50.662,47.49
"strip",101,4,177880,35726,20.084,20.137
"strip",101,5,177605,32529,18.315,17.752
