"kind","x","y"
"not Black",1066.63,1280.28
"Black",1054.88,1246.04
"not Black",1041.61,1224
"Black",1048.76,1247.22
"not Black",1067.87,1293.54
"not Black",1075.84,1292.54
"not Black",1067.4,1253.15
"not Black",1069.85,1281.94
"not Black",1076.25,1289.8
"not Black",1074.96,1282.31
"Black",1066.43,1245.97
"not Black",1077.43,1282.91
"not Black",1070.51,1291
"not Black",1064.68,1260.19
"not Black",1065.85,1254.83
"not Black",1064.62,1274.44
"not Black",1073.75,1282.43
"Black",1045.71,1231.86
"Black",1066.56,1254.25
"Black",1048.52,1243.16
"not Black",1080.06,1287.41
"Black",1055.95,1243.19
"not Black",1067.06,1255.84
"not Black",1066.21,1255.13
"Black",1057.27,1256.94
"Black",1067.24,1283.47
"not Black",1065.62,1257
"Black",1055.06,1232.67
"Black",1057.02,1240.23
"not Black",1069.2,1288.44
"Black",1054.55,1228.2
"not Black",1075.11,1292.22
"not Black",1074.55,1289.06
"Black",1051.29,1231.83
"Black",1054.56,1227.51
"Black",1066.48,1260.61
"Black",1067.01,1252.77
"not Black",1070.11,1291.67
"Black",1065.12,1248.18
"Black",1051.16,1233.04
"not Black",1063.62,1256.12
"not Black",1071.48,1280.02
"Black",1044.82,1239.99
"Black",1077.94,1290.61
"not Black",1036.03,1222.6
"not Black",1061.09,1270.02
"Black",1062.54,1257.13
"Black",1059.58,1286.96
"not Black",1067.96,1257.93
"Black",1058.15,1241.21
"Black",1043.69,1225.57
"not Black",1075.33,1288.19
"not Black",1076.78,1287.23
"not Black",1070.78,1292.36
"not Black",1065.46,1255.09
"not Black",1067.4,1263.56
"not Black",1067.74,1254.76
"Black",1067.26,1283.43
"Black",1067.33,1245.65
"not Black",1066.01,1275.82
"not Black",1064.12,1269.91
"not Black",1066.67,1273.29
"Black",1058.86,1233.5
"Black",1059.28,1230.34
"not Black",1067.51,1262.55
"not Black",1043.68,1223.85
"Black",1063.99,1252.73
"Black",1059.59,1246.07
"Black",1057.92,1249.04
"Black",1054.54,1251.89
"not Black",1064.92,1258.63
"not Black",1064.84,1264.37
"not Black",1070.25,1281.85
"not Black",1058.94,1244.27
"Black",1062.22,1243.56
"Black",1057.85,1239.78
"Black",1052.76,1229.97
"Black",1063.32,1251.27
"not Black",1060.92,1290.61
"not Black",1065.64,1255.67
"Black",1064.72,1282.38
"not Black",1064.93,1251.89
"not Black",1067.65,1257.64
"not Black",1071.38,1289.59
"not Black",1068.61,1253.48
"Black",1057.93,1239.89
"not Black",1067.47,1289.68
"Black",1057.41,1243.3
"not Black",1063.86,1288.41
"not Black",1063.47,1274.15
"Black",1056.49,1231.92
"not Black",1063.43,1255.42
"not Black",1064.49,1243.02
"not Black",1065.55,1276.88
"not Black",1060.14,1288.41
"not Black",1065.84,1288.55
"not Black",1070.49,1298.73
"Black",1068.85,1252.19
"not Black",1059.23,1270.56
"not Black",1059.62,1289.45
"not Black",1068.03,1253.27
"not Black",1064.34,1288.98
"not Black",1072.73,1281.97
"not Black",1064.39,1259.4
"Black",1061.17,1252.46
"Black",1060.14,1229.89
"Black",1054.43,1251.92
"Black",1064.71,1251.14
"not Black",1065.5,1254.72
"not Black",1061.52,1259.9
"Black",1066.45,1253.69
"Black",1076.56,1287.44
"not Black",1077.08,1290.91
"not Black",1062.18,1260.48
"Black",1044.82,1237.35
"Black",1047.76,1237.32
"not Black",1065.71,1254.07
"Black",1053.53,1231.72
"not Black",1064.74,1254.17
"Black",1065.74,1263.78
"not Black",1066.64,1257.27
"not Black",1077.33,1289.46
"not Black",1049.89,1229.55
"Black",1052.31,1235.14
"not Black",1064.57,1253.02
"Black",1063.48,1257.66
"not Black",1060.2,1287.22
"not Black",1053.33,1241.13
"not Black",1073.51,1282.81
"Black",1066.47,1253.17
"Black",1057.25,1234.25
"not Black",1063.45,1282.94
"Black",1063.58,1243.65
"Black",1065.07,1255.78
"Black",1057.42,1230.17
"Black",1057.25,1233.8
"not Black",1064.47,1261.34
"not Black",1061.79,1254.82
"Black",1053.23,1243.03
"Black",1065.67,1248.12
"not Black",1056.54,1254.93
"not Black",1069,1290.33
"not Black",1065.34,1256.24
"Black",1057.84,1248.3
"Black",1059.38,1250.98
"Black",1055.86,1251.68
"Black",1063.68,1251.56
"Black",1064.47,1281.64
"not Black",1063.4,1270.58
"Black",1065.29,1247.7
"Black",1054.77,1231.38
"Black",1057.24,1230.33
"Black",1049.06,1228.55
"not Black",1063.4,1272.84
"not Black",1049.44,1238.16
"not Black",1065.47,1245.56
"Black",1061.87,1250.23
"not Black",1066.44,1255.78
"Black",1052.5,1234.78
"not Black",1056.45,1250.86
"not Black",1069.56,1280.38
"Black",1056.52,1251.51
"not Black",1062.14,1256
"not Black",1044.54,1237.57
"not Black",1064.99,1261.7
"Black",1063.94,1256.07
"Black",1058.29,1240.78
"Black",1053.63,1233.29
"Black",1063.57,1251.44
"not Black",1063.11,1270.56
"Black",1058.52,1264.99
"Black",1067.67,1246.23
"Black",1063.07,1254.96
"Black",1056.11,1230.52
"Black",1065.77,1251.2
"not Black",1064.78,1267.4
"not Black",1073.16,1289.31
"not Black",1063.04,1284.22
"not Black",1069.03,1278.24
"not Black",1066.65,1246.04
"Black",1056.28,1241.47
"Black",1077.94,1291.64
"Black",1059.58,1250
"Black",1043.46,1240.57
"Black",1056.87,1234.81
"Black",1053.63,1232.19
"not Black",1078.07,1287.3
"not Black",1041.79,1226.1
"not Black",1065.14,1242.01
"not Black",1067.95,1253.65
"not Black",1074.14,1287.1
"Black",1049.13,1236.05
"not Black",1066.53,1251.99
"not Black",1075.61,1288.4
"Black",1041.48,1224.03
"not Black",1082.32,1288.53
"not Black",1085.95,1288.26
"not Black",1063.13,1290.48
"not Black",1065.74,1260.23
"not Black",1041.47,1237.42
"not Black",1065.05,1254.48
"Black",1067.8,1247.66
"Black",1048.63,1223.82
"not Black",1069.01,1250.88
"Black",1060.55,1245.96
"Black",1050.66,1244.93
"not Black",1068.7,1253.23
"Black",1065.64,1254.28
"not Black",1066.65,1252.31
"Black",1063.86,1247.6
"Black",1064.53,1251.49
"not Black",1065.32,1267.48
"not Black",1055.82,1230.86
"Black",1058.56,1235.37
"not Black",1058.15,1258.05
"not Black",1066.49,1280.38
"Black",1067.45,1242.62
"not Black",1068.23,1254.47
"not Black",1064.51,1273.69
"Black",1046.23,1238.3
"Black",1052.01,1227.1
"not Black",1067.96,1248.1
"not Black",1064.98,1242.11
"Black",1058.44,1239.81
"not Black",1079.3,1289.06
"not Black",1076.39,1288.24
"not Black",1067.31,1282.81
"not Black",1067.38,1264.57
"not Black",1067.62,1263.45
"not Black",1067.89,1257.17
"Black",1063.07,1255.26
"Black",1054.98,1234.39
"not Black",1063.12,1288.92
"Black",1055.12,1235.4
"not Black",1063.27,1257.14
"Black",1068.74,1252.08
"Black",1059.99,1242.63
"Black",1050.78,1248.32
"not Black",1065.52,1274.45
"Black",1062.69,1255.1
"not Black",1067.02,1250.74
"Black",1063.81,1245.27
"not Black",1067.68,1261.41
"not Black",1061.38,1244.51
