year,state,state_num,district,stcd,dem_votes,rep_votes,n_dem,n_rep,dv,uncontested,top_two,la_primary,runoff_mixed
2004,Nebraska,27,3,2703,26434,218751,1,1,10.78,0,0,0,0
2004,Nevada,28,1,2801,133569,63005,1,1,67.95,0,0,0,0
2004,Nevada,28,2,2802,79978,195466,1,1,29.04,0,0,0,0
2004,Nevada,28,3,2803,120365,162240,1,1,42.59,0,0,0,0
2004,New Hampshire,29,1,2901,118226,204836,1,1,36.6,0,0,0,0
2004,New Hampshire,29,2,2902,125280,191188,1,1,39.59,0,0,0,0
2004,New Jersey,30,1,3001,201163,66109,1,1,75.27,0,0,0,0
2004,New Jersey,30,2,3002,86792,172779,1,1,33.44,0,0,0,0
2004,New Jersey,30,3,3003,107034,195938,1,1,35.33,0,0,0,0
2004,New Jersey,30,4,3004,92826,192671,1,1,32.51,0,0,0,0
2004,New Jersey,30,5,3005,122259,171220,1,1,41.66,0,0,0,0
2004,New Jersey,30,6,3006,153981,70942,1,1,68.46,0,0,0,0
2004,New Jersey,30,7,3007,119081,162597,1,1,42.28,0,0,0,0
2004,New Jersey,30,8,3008,152001,62747,1,1,70.78,0,0,0,0
2004,New Jersey,30,9,3009,146038,68564,1,1,68.05,0,0,0,0
2004,New Jersey,30,10,3010,155697,0,1,0,,1,0,0,0
2004,New Jersey,30,11,3011,91811,200915,1,1,31.36,0,0,0,0
2004,New Jersey,30,12,3012,171691,115014,1,1,59.88,0,0,0,0
2004,New Jersey,30,13,3013,121018,35288,1,1,77.42,0,0,0,0
2004,New Mexico,31,1,3101,123339,147372,1,1,45.56,0,0,0,0
2004,New Mexico,31,2,3102,86292,130498,1,1,39.8,0,0,0,0
2004,New Mexico,31,3,3103,175269,79935,1,1,68.68,0,0,0,0
2004,New York,32,1,3201,156354,121855,1,1,56.2,0,0,0,0
2004,New York,32,2,3202,161593,80950,1,1,66.62,0,0,0,0
2004,New York,32,3,3203,100737,171259,1,1,37.04,0,0,0,0
2004,New York,32,4,3204,159969,94141,1,1,62.95,0,0,0,0
2004,New York,32,5,3205,119726,46867,1,1,71.87,0,0,0,0
2004,New York,32,6,3206,129688,0,1,0,,1,0,0,0
2004,New York,32,7,3207,104275,24548,1,1,80.94,0,0,0,0
2004,New York,32,8,3208,162082,39240,1,1,80.51,0,0,0,0
2004,New York,32,9,3209,113025,45451,1,1,71.32,0,0,0,0
2004,New York,32,10,3210,136113,11099,1,1,92.46,0,0,0,0
2004,New York,32,11,3211,144999,0,1,0,,1,0,0,0
2004,New York,32,12,3212,107796,17166,1,1,86.26,0,0,0,0
2004,New York,32,13,3213,78500,112934,1,1,41.01,0,0,0,0
2004,New York,32,14,3214,186688,43623,1,1,81.06,0,0,0,0
2004,New York,32,15,3215,161351,12355,1,1,92.89,0,0,0,0
2004,New York,32,16,3216,111638,5610,1,1,95.22,0,0,0,0
2004,New York,32,17,3217,140530,40524,1,1,77.62,0,0,0,0
2004,New York,32,18,3218,170715,73975,1,1,69.77,0,0,0,0
2004,New York,32,19,3219,87429,175401,1,1,33.26,0,0,0,0
2004,New York,32,20,3220,96630,188753,1,1,33.86,0,0,0,0
2004,New York,32,21,3221,194033,80121,1,1,70.78,0,0,0,0
2004,New York,32,22,3222,167489,81881,1,1,67.16,0,0,0,0
2004,New York,32,23,3223,66448,160079,1,1,29.33,0,0,0,0
2004,New York,32,24,3224,85140,143000,1,1,37.32,0,0,0,0
2004,New York,32,25,3225,0,189063,0,1,,1,0,0,0
2004,New York,32,26,3226,125613,157466,1,1,44.37,0,0,0,0
2004,New York,32,27,3227,143332,139558,1,1,50.67,0,0,0,0
2004,New York,32,28,3228,159655,54543,1,1,74.54,0,0,0,0
2004,New York,32,29,3229,110241,136883,1,1,44.61,0,0,0,0
2004,North Carolina,33,1,3301,137667,77508,1,1,63.98,0,0,0,0
2004,North Carolina,33,2,3302,145079,87811,1,1,62.3,0,0,0,0
2004,North Carolina,33,3,3303,71227,171863,1,1,29.3,0,0,0,0
2004,North Carolina,33,4,3304,217441,121717,1,1,64.11,0,0,0,0
2004,North Carolina,33,5,3305,117271,167546,1,1,41.17,0,0,0,0
2004,North Carolina,33,6,3306,76153,207470,1,1,26.85,0,0,0,0
2004,North Carolina,33,7,3307,180382,66084,1,1,73.19,0,0,0,0
2004,North Carolina,33,8,3308,100101,125070,1,1,44.46,0,0,0,0
2004,North Carolina,33,9,3309,89318,210783,1,1,29.76,0,0,0,0
2004,North Carolina,33,10,3310,88233,157884,1,1,35.85,0,0,0,0
2004,North Carolina,33,11,3311,131188,159709,1,1,45.1,0,0,0,0
2004,North Carolina,33,12,3312,154908,76898,1,1,66.83,0,0,0,0
2004,North Carolina,33,13,3313,160896,112788,1,1,58.79,0,0,0,0
2004,North Dakota,34,1,3401,185130,125684,1,1,59.56,0,0,0,0
2004,Ohio,35,1,3501,116235,173430,1,1,40.13,0,0,0,0
2004,Ohio,35,2,3502,89598,227102,1,1,28.29,0,0,0,0
2004,Ohio,35,3,3503,119448,197290,1,1,37.71,0,0,0,0
2004,Ohio,35,4,3504,118538,167807,1,1,41.4,0,0,0,0
2004,Ohio,35,5,3505,96656,196649,1,1,32.95,0,0,0,0
2004,Ohio,35,6,3506,223842,0,1,0,,1,0,0,0
2004,Ohio,35,7,3507,100617,186534,1,1,35.04,0,0,0,0
2004,Ohio,35,8,3508,90574,201675,1,1,30.99,0,0,0,0
2004,Ohio,35,9,3509,205149,95983,1,1,68.13,0,0,0,0
2004,Ohio,35,10,3510,172406,96463,1,1,64.12,0,0,0,0
2004,Ohio,35,11,3511,222371,0,1,0,,1,0,0,0
2004,Ohio,35,12,3512,122109,198912,1,1,38.04,0,0,0,0
2004,Ohio,35,13,3513,201004,97090,1,1,67.43,0,0,0,0
2004,Ohio,35,14,3514,119714,201652,1,1,37.25,0,0,0,0
2004,Ohio,35,15,3515,110915,166520,1,1,39.98,0,0,0,0
2004,Ohio,35,16,3516,101817,202544,1,1,33.45,0,0,0,0
2004,Ohio,35,17,3517,212800,62871,1,1,77.19,0,0,0,0
2004,Ohio,35,18,3518,90820,177600,1,1,33.84,0,0,0,0
2004,Oklahoma,36,1,3601,116731,187145,1,1,38.41,0,0,0,0
2004,Oklahoma,36,2,3602,179579,92963,1,1,65.89,0,0,0,0
2004,Oklahoma,36,3,3603,0,215510,0,1,,1,0,0,0
2004,Oklahoma,36,4,3604,0,198985,0,1,,1,0,0,0
2004,Oklahoma,36,5,3605,92719,180430,1,1,33.94,0,0,0,0
2004,Oregon,37,1,3701,203771,135164,1,1,60.12,0,0,0,0
2004,Oregon,37,2,3702,88914,248461,1,1,26.35,0,0,0,0
2004,Oregon,37,3,3703,245559,82045,1,1,74.96,0,0,0,0
2004,Oregon,37,4,3704,228611,140882,1,1,61.87,0,0,0,0
2004,Oregon,37,5,3705,184833,154993,1,1,54.39,0,0,0,0
2004,Pennsylvania,38,1,3801,214462,33266,1,1,86.57,0,0,0,0
2004,Pennsylvania,38,2,3802,253226,34411,1,1,88.04,0,0,0,0
2004,Pennsylvania,38,3,3803,110684,166580,1,1,39.92,0,0,0,0
2004,Pennsylvania,38,4,3804,116303,204329,1,1,36.27,0,0,0,0
2004,Pennsylvania,38,5,3805,0,192852,0,1,,1,0,0,0
2004,Pennsylvania,38,6,3806,153977,160348,1,1,48.99,0,0,0,0
2004,Pennsylvania,38,7,3807,134932,196556,1,1,40.7,0,0,0,0
2004,Pennsylvania,38,8,3808,143427,183229,1,1,43.91,0,0,0,0
2004,Pennsylvania,38,9,3809,80787,184320,1,1,30.47,0,0,0,0
2004,Pennsylvania,38,10,3810,0,191967,0,1,,1,0,0,0
2004,Pennsylvania,38,11,3811,171147,0,1,0,,1,0,0,0
2004,Pennsylvania,38,12,3812,204504,0,1,0,,1,0,0,0
2004,Pennsylvania,38,13,3813,171763,127205,1,1,57.45,0,0,0,0
2004,Pennsylvania,38,14,3814,220139,0,1,0,,1,0,0,0
2004,Pennsylvania,38,15,3815,114646,170634,1,1,40.19,0,0,0,0
2004,Pennsylvania,38,16,3816,98410,183620,1,1,34.89,0,0,0,0
2004,Pennsylvania,38,17,3817,172412,113592,1,1,60.28,0,0,0,0
2004,Pennsylvania,38,18,3818,117420,197894,1,1,37.24,0,0,0,0
2004,Pennsylvania,38,19,3819,0,224274,0,1,,1,0,0,0
2004,Rhode Island,39,1,3901,124923,69819,1,1,64.15,0,0,0,0
2004,Rhode Island,39,2,3902,154392,43139,1,1,78.16,0,0,0,0
2004,South Carolina,40,1,4001,0,186448,0,1,,1,0,0,0
2004,South Carolina,40,2,4002,93249,181862,1,1,33.9,0,0,0,0
2004,South Carolina,40,3,4003,0,191052,0,1,,1,0,0,0
2004,South Carolina,40,4,4004,78376,188795,1,1,29.34,0,0,0,0
2004,South Carolina,40,5,4005,152867,89568,1,1,63.05,0,0,0,0
2004,South Carolina,40,6,4006,161987,79600,1,1,67.05,0,0,0,0
2004,South Dakota,41,1,4101,207837,178823,1,1,53.75,0,0,0,0
2004,Tennessee,42,1,4201,56361,172543,1,1,24.62,0,0,0,0
2004,Tennessee,42,2,4202,52155,215795,1,1,19.46,0,0,0,0
2004,Tennessee,42,3,4203,84295,166154,1,1,33.66,0,0,0,0
2004,Tennessee,42,4,4204,138459,109993,1,1,55.73,0,0,0,0
2004,Tennessee,42,5,4205,168970,74978,1,1,69.26,0,0,0,0
2004,Tennessee,42,6,4206,167448,87523,1,1,65.67,0,0,0,0
2004,Tennessee,42,7,4207,0,232404,0,1,,1,0,0,0
2004,Tennessee,42,8,4208,173623,59853,1,1,74.36,0,0,0,0
2004,Tennessee,42,9,4209,190648,41578,1,1,82.1,0,0,0,0
2004,Texas,43,1,4301,96281,157068,1,1,38.0,0,0,0,0
2004,Texas,43,2,4302,108156,139951,1,1,43.59,0,0,0,0
2004,Texas,43,3,4303,0,180099,0,1,,1,0,0,0
2004,Texas,43,4,4304,81585,182866,1,1,30.85,0,0,0,0
2004,Texas,43,5,4305,75911,148816,1,1,33.78,0,0,0,0
2004,Texas,43,6,4306,83609,168767,1,1,33.13,0,0,0,0
2004,Texas,43,7,4307,91126,175440,1,1,34.19,0,0,0,0
2004,Texas,43,8,4308,77324,179599,1,1,30.1,0,0,0,0
2004,Texas,43,9,4309,114462,42132,1,1,73.09,0,0,0,0
2004,Texas,43,10,4310,0,182113,0,1,,1,0,0,0
2004,Texas,43,11,4311,50339,177291,1,1,22.11,0,0,0,0
2004,Texas,43,12,4312,66316,173222,1,1,27.68,0,0,0,0
2004,Texas,43,13,4313,0,189448,0,1,,1,0,0,0
2004,Texas,43,14,4314,0,173668,0,1,,1,0,0,0
