"lines","pres_year","district","state_abb","cd","stcd","dem_pct","rep_pct","dpres"
"2012-2021",2016,"CA-37","CA",37,537,85.7,9.6,89.93
"2012-2021",2016,"CA-38","CA",38,538,67,27.4,70.97
"2012-2021",2016,"CA-39","CA",39,539,51.5,42.9,54.56
"2012-2021",2016,"CA-40","CA",40,540,82.2,12.8,86.53
"2012-2021",2016,"CA-41","CA",41,541,61,33.1,64.82
"2012-2021",2016,"CA-42","CA",42,542,41.4,53.4,43.67
"2012-2021",2016,"CA-43","CA",43,543,78.4,16.7,82.44
"2012-2021",2016,"CA-44","CA",44,544,83,12.3,87.09
"2012-2021",2016,"CA-45","CA",45,545,49.8,44.4,52.87
"2012-2021",2016,"CA-46","CA",46,546,66.3,27.9,70.38
"2012-2021",2016,"CA-47","CA",47,547,62.6,31,66.88
"2012-2021",2016,"CA-48","CA",48,548,47.9,46.2,50.9
"2012-2021",2016,"CA-49","CA",49,549,50.7,43.2,53.99
"2012-2021",2016,"CA-50","CA",50,550,39.6,54.6,42.04
"2012-2021",2016,"CA-51","CA",51,551,71.8,22.8,75.9
"2012-2021",2016,"CA-52","CA",52,552,58.1,35.6,62.01
"2012-2021",2016,"CA-53","CA",53,553,64.5,29.6,68.54
"2012-2021",2016,"CO-01","CO",1,601,69,23.2,74.84
"2012-2021",2016,"CO-02","CO",2,602,56.2,34.9,61.69
"2012-2021",2016,"CO-03","CO",3,603,40,52,43.48
"2012-2021",2016,"CO-04","CO",4,604,34.3,57.4,37.4
"2012-2021",2016,"CO-05","CO",5,605,33.2,57.2,36.73
"2012-2021",2016,"CO-06","CO",6,606,50.2,41.3,54.86
"2012-2021",2016,"CO-07","CO",7,607,51.4,39.4,56.61
"2012-2021",2016,"CT-01","CT",1,701,59.4,36.3,62.07
"2012-2021",2016,"CT-02","CT",2,702,48.7,45.8,51.53
"2012-2021",2016,"CT-03","CT",3,703,55.9,40.4,58.05
"2012-2021",2016,"CT-04","CT",4,704,59.6,36.6,61.95
"2012-2021",2016,"CT-05","CT",5,705,49.9,45.8,52.14
"2012-2021",2016,"DE-AL","DE",1,801,53.4,41.9,56.03
"2012-2021",2016,"FL-01","FL",1,901,28.2,67.5,29.47
"2012-2021",2016,"FL-02","FL",2,902,30.6,66.2,31.61
"2012-2021",2016,"FL-03","FL",3,903,40.2,56.2,41.7
"2012-2021",2016,"FL-04","FL",4,904,34.1,62.1,35.45
"2012-2021",2016,"FL-05","FL",5,905,61.3,35.9,63.07
"2012-2021",2016,"FL-06","FL",6,906,39.9,56.9,41.22
"2012-2021",2016,"FL-07","FL",7,907,51.4,44.1,53.82
"2012-2021",2016,"FL-08","FL",8,908,37.7,58.4,39.23
"2012-2021",2016,"FL-09","FL",9,909,54.8,41.9,56.67
"2012-2021",2016,"FL-10","FL",10,910,61.8,34.9,63.91
"2012-2021",2016,"FL-11","FL",11,911,32.5,64.8,33.4
"2012-2021",2016,"FL-12","FL",12,912,38.8,57.4,40.33
"2012-2021",2016,"FL-13","FL",13,913,49.6,46.4,51.67
"2012-2021",2016,"FL-14","FL",14,914,57.2,39,59.46
"2012-2021",2016,"FL-15","FL",15,915,43.1,53.1,44.8
"2012-2021",2016,"FL-16","FL",16,916,43,53.7,44.47
"2012-2021",2016,"FL-17","FL",17,917,35,62.2,36.01
"2012-2021",2016,"FL-18","FL",18,918,44.1,53.3,45.28
"2012-2021",2016,"FL-19","FL",19,919,37.5,59.6,38.62
"2012-2021",2016,"FL-20","FL",20,920,80.2,18.1,81.59
"2012-2021",2016,"FL-21","FL",21,921,58.6,39.1,59.98
"2012-2021",2016,"FL-22","FL",22,922,56.8,41,58.08
"2012-2021",2016,"FL-23","FL",23,923,61.9,35.8,63.36
"2012-2021",2016,"FL-24","FL",24,924,82.9,15.4,84.33
"2012-2021",2016,"FL-25","FL",25,925,47.9,49.7,49.08
"2012-2021",2016,"FL-26","FL",26,926,56.8,40.5,58.38
"2012-2021",2016,"FL-27","FL",27,927,58.5,38.9,60.06
"2012-2021",2016,"GA-01","GA",1,1001,40.9,56.4,42.03
"2012-2021",2016,"GA-02","GA",2,1002,55,43.3,55.95
"2012-2021",2016,"GA-03","GA",3,1003,32.8,64.3,33.78
"2012-2021",2016,"GA-04","GA",4,1004,75.3,22.2,77.23
"2012-2021",2016,"GA-05","GA",5,1005,85,11.9,87.72
"2012-2021",2016,"GA-06","GA",6,1006,46.8,48.3,49.21
"2012-2021",2016,"GA-07","GA",7,1007,44.8,51.1,46.72
"2012-2021",2016,"GA-08","GA",8,1008,34.4,63.3,35.21
"2012-2021",2016,"GA-09","GA",9,1009,19.3,77.8,19.88
"2012-2021",2016,"GA-10","GA",10,1010,35.8,61.3,36.87
"2012-2021",2016,"GA-11","GA",11,1011,35.3,60.3,36.92
"2012-2021",2016,"GA-12","GA",12,1012,40.7,56.9,41.7
"2012-2021",2016,"GA-13","GA",13,1013,71,26.6,72.75
"2012-2021",2016,"GA-14","GA",14,1014,22.1,75,22.76
"2012-2021",2016,"HI-01","HI",1,1101,63.1,30.5,67.41
"2012-2021",2016,"HI-02","HI",2,1102,61.4,29.6,67.47
"2012-2021",2016,"ID-01","ID",1,1201,25.4,63.7,28.51
"2012-2021",2016,"ID-02","ID",2,1202,29.8,54.5,35.35
"2012-2021",2016,"IL-01","IL",1,1301,75.4,21.4,77.89
"2012-2021",2016,"IL-02","IL",2,1302,78,19.1,80.33
"2012-2021",2016,"IL-03","IL",3,1303,55.2,39.9,58.04
"2012-2021",2016,"IL-04","IL",4,1304,82.1,13.2,86.15
"2012-2021",2016,"IL-05","IL",5,1305,70.5,23.9,74.68
"2012-2021",2016,"IL-06","IL",6,1306,50.2,43.2,53.75
"2012-2021",2016,"IL-07","IL",7,1307,87.4,9.2,90.48
"2012-2021",2016,"IL-08","IL",8,1308,58.1,36.4,61.48
"2012-2021",2016,"IL-09","IL",9,1309,70.1,24.9,73.79
"2012-2021",2016,"IL-10","IL",10,1310,62,32.6,65.54
"2012-2021",2016,"IL-11","IL",11,1311,58.9,35.4,62.46
"2012-2021",2016,"IL-12","IL",12,1312,40.2,55,42.23
"2012-2021",2016,"IL-13","IL",13,1313,44.2,49.7,47.07
"2012-2021",2016,"IL-14","IL",14,1314,44.8,48.7,47.91
"2012-2021",2016,"IL-15","IL",15,1315,24.5,70.7,25.74
"2012-2021",2016,"IL-16","IL",16,1316,38.3,55.5,40.83
"2012-2021",2016,"IL-17","IL",17,1317,46.7,47.4,49.63
"2012-2021",2016,"IL-18","IL",18,1318,33.3,60.6,35.46
"2012-2021",2016,"IN-01","IN",1,1401,54.1,41.5,56.59
"2012-2021",2016,"IN-02","IN",2,1402,36.1,59.3,37.84
"2012-2021",2016,"IN-03","IN",3,1403,30.1,65.1,31.62
"2012-2021",2016,"IN-04","IN",4,1404,30.2,64.3,31.96
"2012-2021",2016,"IN-05","IN",5,1405,41.3,53.1,43.75
"2012-2021",2016,"IN-06","IN",6,1406,27.4,67.7,28.81
"2012-2021",2016,"IN-07","IN",7,1407,59,36.2,61.97
"2012-2021",2016,"IN-08","IN",8,1408,30.9,64.6,32.36
"2012-2021",2016,"IN-09","IN",9,1409,34.2,61.1,35.89
"2012-2021",2016,"IA-01","IA",1,1501,45.2,48.7,48.14
"2012-2021",2016,"IA-02","IA",2,1502,45,49.1,47.82
"2012-2021",2016,"IA-03","IA",3,1503,45,48.5,48.13
"2012-2021",2016,"IA-04","IA",4,1504,33.5,60.9,35.49
"2012-2021",2016,"KS-01","KS",1,1601,24.3,69.3,25.96
"2012-2021",2016,"KS-02","KS",2,1602,37.4,55.8,40.13
"2012-2021",2016,"KS-03","KS",3,1603,47.2,46,50.64
"2012-2021",2016,"KS-04","KS",4,1604,33,60.2,35.41
"2012-2021",2016,"KY-01","KY",1,1701,23.9,72.4,24.82
"2012-2021",2016,"KY-02","KY",2,1702,27.6,67.5,29.02
"2012-2021",2016,"KY-03","KY",3,1703,54.9,39.9,57.91
"2012-2021",2016,"KY-04","KY",4,1704,29.3,65.2,31.01
"2012-2021",2016,"KY-05","KY",5,1705,17.5,79.6,18.02
"2012-2021",2016,"KY-06","KY",6,1706,39.4,54.7,41.87
"2012-2021",2016,"LA-01","LA",1,1801,26.7,68.7,27.99
"2012-2021",2016,"LA-02","LA",2,1802,74.6,22.2,77.07
"2012-2021",2016,"LA-03","LA",3,1803,29.2,67.3,30.26
"2012-2021",2016,"LA-04","LA",4,1804,36.6,60.6,37.65
"2012-2021",2016,"LA-05","LA",5,1805,34.1,63.5,34.94
"2012-2021",2016,"LA-06","LA",6,1806,31,64.8,32.36
"2012-2021",2016,"ME-01","ME",1,1901,54.1,39.3,57.92
"2012-2021",2016,"ME-02","ME",2,1902,41.1,51.4,44.43
"2012-2021",2016,"MD-01","MD",1,2001,33.4,62,35.01
"2012-2021",2016,"MD-02","MD",2,2002,60.1,35.7,62.73
"2012-2021",2016,"MD-03","MD",3,2003,62.8,32.3,66.04
"2012-2021",2016,"MD-04","MD",4,2004,77.2,19.7,79.67
"2012-2021",2016,"MD-05","MD",5,2005,64.1,32.1,66.63
"2012-2021",2016,"MD-06","MD",6,2006,55.3,40.2,57.91
"2012-2021",2016,"MD-07","MD",7,2007,75.8,20.2,78.96
"2012-2021",2016,"MD-08","MD",8,2008,65,30.6,67.99
"2012-2021",2016,"MA-01","MA",1,2101,57.2,36.5,61.05
"2012-2021",2016,"MA-02","MA",2,2102,56.2,36.8,60.43
"2012-2021",2016,"MA-03","MA",3,2103,58.2,35.4,62.18
"2012-2021",2016,"MA-04","MA",4,2104,59.2,35,62.85
"2012-2021",2016,"MA-05","MA",5,2105,69.3,25.7,72.95
"2012-2021",2016,"MA-06","MA",6,2106,56.1,38.2,59.49
"2012-2021",2016,"MA-07","MA",7,2107,84.1,11.9,87.6
"2012-2021",2016,"MA-08","MA",8,2108,60.4,34.4,63.71
"2012-2021",2016,"MA-09","MA",9,2109,52.5,41.8,55.67
"2012-2021",2016,"MI-01","MI",1,2201,36.6,57.9,38.73
"2012-2021",2016,"MI-02","MI",2,2202,38.2,55.8,40.64
"2012-2021",2016,"MI-03","MI",3,2203,42.2,51.6,44.99
"2012-2021",2016,"MI-04","MI",4,2204,34.7,59.5,36.84
"2012-2021",2016,"MI-05","MI",5,2205,49.7,45.5,52.21
"2012-2021",2016,"MI-06","MI",6,2206,42.9,51.3,45.54
"2012-2021",2016,"MI-07","MI",7,2207,38.7,55.7,41
"2012-2021",2016,"MI-08","MI",8,2208,43.9,50.6,46.46
"2012-2021",2016,"MI-09","MI",9,2209,51.5,43.7,54.1
"2012-2021",2016,"MI-10","MI",10,2210,31.6,63.8,33.12
"2012-2021",2016,"MI-11","MI",11,2211,45.3,49.7,47.68
"2012-2021",2016,"MI-12","MI",12,2212,60.8,34.5,63.8
"2012-2021",2016,"MI-13","MI",13,2213,78.8,18.1,81.32
"2012-2021",2016,"MI-14","MI",14,2214,79.2,18.3,81.23
"2012-2021",2016,"MN-01","MN",1,2301,38.4,53.3,41.88
"2012-2021",2016,"MN-02","MN",2,2302,45.3,46.5,49.35
"2012-2021",2016,"MN-03","MN",3,2303,50.8,41.4,55.1
"2012-2021",2016,"MN-04","MN",4,2304,61.5,30.6,66.78
"2012-2021",2016,"MN-05","MN",5,2305,73.7,18.5,79.93
"2012-2021",2016,"MN-06","MN",6,2306,33.2,58.9,36.05
"2012-2021",2016,"MN-07","MN",7,2307,31,61.8,33.41
"2012-2021",2016,"MN-08","MN",8,2308,38.6,54.2,41.59
"2012-2021",2016,"MS-01","MS",1,2401,32.4,65.4,33.13
"2012-2021",2016,"MS-02","MS",2,2402,63.6,35.1,64.44
"2012-2021",2016,"MS-03","MS",3,2403,36.8,61.3,37.51
"2012-2021",2016,"MS-04","MS",4,2404,28.2,69.4,28.89
"2012-2021",2016,"MO-01","MO",1,2501,77,18.8,80.38
"2012-2021",2016,"MO-02","MO",2,2502,42.3,52.6,44.57
"2012-2021",2016,"MO-03","MO",3,2503,28.1,67.1,29.52
"2012-2021",2016,"MO-04","MO",4,2504,29.3,65.3,30.97
"2012-2021",2016,"MO-05","MO",5,2505,54.1,40.6,57.13
"2012-2021",2016,"MO-06","MO",6,2506,31.7,63.1,33.44
"2012-2021",2016,"MO-07","MO",7,2507,24.7,70.4,25.97
"2012-2021",2016,"MO-08","MO",8,2508,21,75.4,21.78
"2012-2021",2016,"MT-AL","MT",1,2601,35.9,56.5,38.85
"2012-2021",2016,"NE-01","NE",1,2701,36.2,57.5,38.63
"2012-2021",2016,"NE-02","NE",2,2702,46,48.2,48.83
"2012-2021",2016,"NE-03","NE",3,2703,20,74.9,21.07
"2012-2021",2016,"NV-01","NV",1,2801,61.6,32.6,65.39
"2012-2021",2016,"NV-02","NV",2,2802,39.7,52,43.29
"2012-2021",2016,"NV-03","NV",3,2803,46.5,47.5,49.47
"2012-2021",2016,"NV-04","NV",4,2804,49.5,44.6,52.6
"2012-2021",2016,"NH-01","NH",1,2901,46.6,48.2,49.16
"2012-2021",2016,"NH-02","NH",2,2902,48.6,46.2,51.27
"2012-2021",2016,"NJ-01","NJ",1,3001,60.6,36.1,62.67
"2012-2021",2016,"NJ-02","NJ",2,3002,46,50.6,47.62
"2012-2021",2016,"NJ-03","NJ",3,3003,45.2,51.4,46.79
"2012-2021",2016,"NJ-04","NJ",4,3004,41,55.8,42.36
"2012-2021",2016,"NJ-05","NJ",5,3005,47.7,48.8,49.43
"2012-2021",2016,"NJ-06","NJ",6,3006,56.2,40.6,58.06
"2012-2021",2016,"NJ-07","NJ",7,3007,48.6,47.5,50.57
"2012-2021",2016,"NJ-08","NJ",8,3008,75.7,21.5,77.88
"2012-2021",2016,"NJ-09","NJ",9,3009,64.3,33.1,66.02
"2012-2021",2016,"NJ-10","NJ",10,3010,85.2,12.8,86.94
"2012-2021",2016,"NJ-11","NJ",11,3011,47.9,48.8,49.53
"2012-2021",2016,"NJ-12","NJ",12,3012,65,31.8,67.15
"2012-2021",2016,"NM-01","NM",1,3101,51.6,35.1,59.52
"2012-2021",2016,"NM-02","NM",2,3102,39.9,50.1,44.33
"2012-2021",2016,"NM-03","NM",3,3103,51.8,36.7,58.53
"2012-2021",2016,"NY-01","NY",1,3201,42.2,54.5,43.64
"2012-2021",2016,"NY-02","NY",2,3202,43.9,53,45.3
"2012-2021",2016,"NY-03","NY",3,3203,51.6,45.5,53.14
"2012-2021",2016,"NY-04","NY",4,3204,53.4,43.8,54.94
"2012-2021",2016,"NY-05","NY",5,3205,85.7,12.7,87.09
"2012-2021",2016,"NY-06","NY",6,3206,65.1,32.1,66.98
"2012-2021",2016,"NY-07","NY",7,3207,86.9,10.4,89.31
"2012-2021",2016,"NY-08","NY",8,3208,84.6,13.5,86.24
"2012-2021",2016,"NY-09","NY",9,3209,83.5,14.4,85.29
"2012-2021",2016,"NY-10","NY",10,3210,78.3,18.8,80.64
"2012-2021",2016,"NY-11","NY",11,3211,43.8,53.6,44.97
"2012-2021",2016,"NY-12","NY",12,3212,83.3,13.5,86.05
"2012-2021",2016,"NY-13","NY",13,3213,92.3,5.4,94.47
"2012-2021",2016,"NY-14","NY",14,3214,77.7,19.8,79.69
"2012-2021",2016,"NY-15","NY",15,3215,93.8,4.9,95.04
"2012-2021",2016,"NY-16","NY",16,3216,75.1,22.5,76.95
"2012-2021",2016,"NY-17","NY",17,3217,58.6,38.4,60.41
"2012-2021",2016,"NY-18","NY",18,3218,47.1,49,49.01
"2012-2021",2016,"NY-19","NY",19,3219,44,50.8,46.41
"2012-2021",2016,"NY-20","NY",20,3220,54,40.5,57.14
"2012-2021",2016,"NY-21","NY",21,3221,40,53.9,42.6
"2012-2021",2016,"NY-22","NY",22,3222,39.3,54.8,41.76
"2012-2021",2016,"NY-23","NY",23,3223,39.7,54.5,42.14
"2012-2021",2016,"NY-24","NY",24,3224,48.9,45.3,51.91
"2012-2021",2016,"NY-25","NY",25,3225,55.5,39.1,58.67
"2012-2021",2016,"NY-26","NY",26,3226,57.6,38,60.25
"2012-2021",2016,"NY-27","NY",27,3227,35.2,59.7,37.09
"2012-2021",2016,"NC-01","NC",1,3301,54.7,43.6,55.65
"2012-2021",2016,"NC-02","NC",2,3302,60.3,35.9,62.68
"2012-2021",2016,"NC-03","NC",3,3303,36.5,61,37.44
"2012-2021",2016,"NC-04","NC",4,3304,65.2,31.9,67.15
"2012-2021",2016,"NC-05","NC",5,3305,30.3,67.2,31.08
"2012-2021",2016,"NC-06","NC",6,3306,59.4,37.9,61.05
"2012-2021",2016,"NC-07","NC",7,3307,38.7,58.6,39.77
"2012-2021",2016,"NC-08","NC",8,3308,44.1,53.2,45.32
"2012-2021",2016,"NC-09","NC",9,3309,43.2,53.7,44.58
"2012-2021",2016,"NC-10","NC",10,3310,29.6,67.9,30.36
"2012-2021",2016,"NC-11","NC",11,3311,39.9,57.2,41.09
"2012-2021",2016,"NC-12","NC",12,3312,67.3,29.5,69.52
"2012-2021",2016,"NC-13","NC",13,3313,30.6,67,31.35
"2012-2021",2016,"ND-AL","ND",1,3401,27.7,64.1,30.17
"2012-2021",2016,"OH-01","OH",1,3501,44.6,51.2,46.56
"2012-2021",2016,"OH-02","OH",2,3502,39.7,55.8,41.57
"2012-2021",2016,"OH-03","OH",3,3503,67,28.6,70.08
"2012-2021",2016,"OH-04","OH",4,3504,30.7,64.3,32.32
"2012-2021",2016,"OH-05","OH",5,3505,34.6,59.7,36.69
"2012-2021",2016,"OH-06","OH",6,3506,26.7,69.3,27.81
"2012-2021",2016,"OH-07","OH",7,3507,32.8,62.5,34.42
"2012-2021",2016,"OH-08","OH",8,3508,30.6,65.1,31.97
"2012-2021",2016,"OH-09","OH",9,3509,58.7,36.5,61.66
"2012-2021",2016,"OH-10","OH",10,3510,44,51.3,46.17
"2012-2021",2016,"OH-11","OH",11,3511,80.5,17,82.56
"2012-2021",2016,"OH-12","OH",12,3512,41.9,53.2,44.06
"2012-2021",2016,"OH-13","OH",13,3513,51.1,44.6,53.4
"2012-2021",2016,"OH-14","OH",14,3514,42.1,53.6,43.99
"2012-2021",2016,"OH-15","OH",15,3515,39.9,55.3,41.91
"2012-2021",2016,"OH-16","OH",16,3516,39.5,56.1,41.32
"2012-2021",2016,"OK-01","OK",1,3601,32.7,61.4,34.75
"2012-2021",2016,"OK-02","OK",2,3602,22.8,72.9,23.82
"2012-2021",2016,"OK-03","OK",3,3603,20.9,73.6,22.12
"2012-2021",2016,"OK-04","OK",4,3604,28.3,65.7,30.11
"2012-2021",2016,"OK-05","OK",5,3605,39.8,53.2,42.8
"2012-2021",2016,"OR-01","OR",1,3701,57.3,34.5,62.42
"2012-2021",2016,"OR-02","OR",2,3702,36.4,56.5,39.18
"2012-2021",2016,"OR-03","OR",3,3703,70.7,22.5,75.86
"2012-2021",2016,"OR-04","OR",4,3704,46.1,46,50.05
"2012-2021",2016,"OR-05","OR",5,3705,48.3,44.1,52.27
"2012-2021",2016,"PA-01","PA",1,3801,49.1,47.1,51.04
"2012-2021",2016,"PA-02","PA",2,3802,72.9,24.9,74.54
"2012-2021",2016,"PA-03","PA",3,3803,90.9,7,92.85
"2012-2021",2016,"PA-04","PA",4,3804,57.8,38.5,60.02
"2012-2021",2016,"PA-05","PA",5,3805,62.6,34.4,64.54
"2012-2021",2016,"PA-06","PA",6,3806,52.6,43.3,54.85
"2012-2021",2016,"PA-07","PA",7,3807,48.7,47.6,50.57
"2012-2021",2016,"PA-08","PA",8,3808,43.7,53.3,45.05
"2012-2021",2016,"PA-09","PA",9,3809,31,65,32.29
"2012-2021",2016,"PA-10","PA",10,3810,43.4,52.3,45.35
"2012-2021",2016,"PA-11","PA",11,3811,34.7,60.5,36.45
"2012-2021",2016,"PA-12","PA",12,3812,29.7,66.1,31
"2012-2021",2016,"PA-13","PA",13,3813,25.5,71.2,26.37
"2012-2021",2016,"PA-14","PA",14,3814,33.9,62.9,35.02
"2012-2021",2016,"PA-15","PA",15,3815,26.5,69.8,27.52
"2012-2021",2016,"PA-16","PA",16,3816,37.9,57.9,39.56
"2012-2021",2016,"PA-17","PA",17,3817,46.8,49.4,48.65
"2012-2021",2016,"PA-18","PA",18,3818,62.1,34.6,64.22
"2012-2021",2016,"RI-01","RI",1,3901,60.5,34.9,63.42
"2012-2021",2016,"RI-02","RI",2,3902,51.1,44,53.73
"2012-2021",2016,"SC-01","SC",1,4001,40.4,53.5,43.02
"2012-2021",2016,"SC-02","SC",2,4002,38.6,56.3,40.67
"2012-2021",2016,"SC-03","SC",3,4003,29,67,30.21
"2012-2021",2016,"SC-04","SC",4,4004,34.5,60.2,36.43
"2012-2021",2016,"SC-05","SC",5,4005,38.8,57.3,40.37
"2012-2021",2016,"SC-06","SC",6,4006,66.8,30.3,68.8
"2012-2021",2016,"SC-07","SC",7,4007,39.1,58,40.27
"2012-2021",2016,"SD-AL","SD",1,4101,31.7,61.5,34.01
"2012-2021",2016,"TN-01","TN",1,4201,19.7,76.7,20.44
"2012-2021",2016,"TN-02","TN",2,4202,29.7,65.1,31.33
"2012-2021",2016,"TN-03","TN",3,4203,30.2,65.4,31.59
"2012-2021",2016,"TN-04","TN",4,4204,27.4,68.6,28.54
"2012-2021",2016,"TN-05","TN",5,4205,56.5,38.2,59.66
"2012-2021",2016,"TN-06","TN",6,4206,23.7,72.6,24.61
"2012-2021",2016,"TN-07","TN",7,4207,28.2,67.5,29.47
"2012-2021",2016,"TN-08","TN",8,4208,30.7,66.3,31.65
"2012-2021",2016,"TN-09","TN",9,4209,77.5,19.8,79.65
"2012-2021",2016,"TX-01","TX",1,4301,25.3,72.2,25.95
"2012-2021",2016,"TX-02","TX",2,4302,43.1,52.4,45.13
"2012-2021",2016,"TX-03","TX",3,4303,40.6,54.8,42.56
"2012-2021",2016,"TX-04","TX",4,4304,21.8,75.4,22.43
"2012-2021",2016,"TX-05","TX",5,4305,34.3,62.7,35.36
"2012-2021",2016,"TX-06","TX",6,4306,41.9,54.2,43.6
"2012-2021",2016,"TX-07","TX",7,4307,48.5,47.1,50.73
"2012-2021",2016,"TX-08","TX",8,4308,23.9,72.7,24.74
"2012-2021",2016,"TX-09","TX",9,4309,79.3,18,81.5
"2012-2021",2016,"TX-10","TX",10,4310,43.2,52.3,45.24
"2012-2021",2016,"TX-11","TX",11,4311,19.1,77.8,19.71
"2012-2021",2016,"TX-12","TX",12,4312,32.7,62.9,34.21
"2012-2021",2016,"TX-13","TX",13,4313,16.9,79.9,17.46
"2012-2021",2016,"TX-14","TX",14,4314,38.4,58.2,39.75
"2012-2021",2016,"TX-15","TX",15,4315,56.7,40,58.63
"2012-2021",2016,"TX-16","TX",16,4316,67.9,27.2,71.4
"2012-2021",2016,"TX-17","TX",17,4317,38.8,56.3,40.8
"2012-2021",2016,"TX-18","TX",18,4318,76.5,20,79.27
"2012-2021",2016,"TX-19","TX",19,4319,23.5,72.5,24.48
"2012-2021",2016,"TX-20","TX",20,4320,61,34.3,64.01
"2012-2021",2016,"TX-21","TX",21,4321,42.5,52.5,44.74
"2012-2021",2016,"TX-22","TX",22,4322,44.2,52.1,45.9
"2012-2021",2016,"TX-23","TX",23,4323,49.8,46.4,51.77
"2012-2021",2016,"TX-24","TX",24,4324,44.5,50.7,46.74
"2012-2021",2016,"TX-25","TX",25,4325,40.2,55.1,42.18
"2012-2021",2016,"TX-26","TX",26,4326,34.4,60.9,36.1
"2012-2021",2016,"TX-27","TX",27,4327,36.5,60.1,37.78
"2012-2021",2016,"TX-28","TX",28,4328,58.3,38.5,60.23
"2012-2021",2016,"TX-29","TX",29,4329,71.1,25.4,73.68
"2012-2021",2016,"TX-30","TX",30,4330,79.1,18.3,81.21
"2012-2021",2016,"TX-31","TX",31,4331,40.8,53.5,43.27
"2012-2021",2016,"TX-32","TX",32,4332,48.5,46.6,51
"2012-2021",2016,"TX-33","TX",33,4333,72.9,23.7,75.47
"2012-2021",2016,"TX-34","TX",34,4334,59.2,37.7,61.09
"2012-2021",2016,"TX-35","TX",35,4335,64.1,30.5,67.76
"2012-2021",2016,"TX-36","TX",36,4336,25.2,72,25.93
"2012-2021",2016,"UT-01","UT",1,4401,22.4,49.7,31.07
"2012-2021",2016,"UT-02","UT",2,4402,32,46,41.03
"2012-2021",2016,"UT-03","UT",3,4403,23.3,47.2,33.05
"2012-2021",2016,"UT-04","UT",4,4404,32.4,39.1,45.31
"2012-2021",2016,"VT-AL","VT",1,4501,56.7,30.3,65.17
"2012-2021",2016,"VA-01","VA",1,4601,41.2,53.6,43.46
"2012-2021",2016,"VA-02","VA",2,4602,45.4,48.8,48.2
"2012-2021",2016,"VA-03","VA",3,4603,63.6,31.9,66.6
"2012-2021",2016,"VA-04","VA",4,4604,58.7,37.1,61.27
"2012-2021",2016,"VA-05","VA",5,4605,42.3,53.4,44.2
"2012-2021",2016,"VA-06","VA",6,4606,34.9,59.7,36.89
"2012-2021",2016,"VA-07","VA",7,4607,44,50.5,46.56
"2012-2021",2016,"VA-08","VA",8,4608,73.5,20.9,77.86
"2012-2021",2016,"VA-09","VA",9,4609,27.3,68.8,28.41
"2012-2021",2016,"VA-10","VA",10,4610,52.2,42.2,55.3
"2012-2021",2016,"VA-11","VA",11,4611,66.9,27.5,70.87
"2012-2021",2016,"WA-01","WA",1,4701,54.1,37.8,58.87
"2012-2021",2016,"WA-02","WA",2,4702,56.9,34.8,62.05
"2012-2021",2016,"WA-03","WA",3,4703,42.5,49.9,46
"2012-2021",2016,"WA-04","WA",4,4704,35.1,57.9,37.74
"2012-2021",2016,"WA-05","WA",5,4705,39.1,52.2,42.83
"2012-2021",2016,"WA-06","WA",6,4706,51.8,39.5,56.74
"2012-2021",2016,"WA-07","WA",7,4707,82.1,12.2,87.06
"2012-2021",2016,"WA-08","WA",8,4708,47.7,44.7,51.62
"2012-2021",2016,"WA-09","WA",9,4709,70.5,23.3,75.16
"2012-2021",2016,"WA-10","WA",10,4710,51.3,39.9,56.25
"2012-2021",2016,"WV-01","WV",1,4801,26.4,68,27.97
"2012-2021",2016,"WV-02","WV",2,4802,29.4,65.8,30.88
"2012-2021",2016,"WV-03","WV",3,4803,23.3,72.5,24.32
"2012-2021",2016,"WI-01","WI",1,4901,42.3,52.6,44.57
"2012-2021",2016,"WI-02","WI",2,4902,65.8,29,69.41
"2012-2021",2016,"WI-03","WI",3,4903,44.8,49.3,47.61
"2012-2021",2016,"WI-04","WI",4,4904,74,21.8,77.24
"2012-2021",2016,"WI-05","WI",5,4905,37.3,57.4,39.39
"2012-2021",2016,"WI-06","WI",6,4906,38.8,55.7,41.06
"2012-2021",2016,"WI-07","WI",7,4907,37.3,57.7,39.26
"2012-2021",2016,"WI-08","WI",8,4908,38.6,56.2,40.72
"2012-2021",2016,"WY-AL","WY",1,5001,22.5,70.1,24.3
"2012-2021",2020,"AL-01","AL",1,101,35.3,63.7,35.66
"2012-2021",2020,"AL-02","AL",2,102,35.1,63.9,35.45
"2012-2021",2020,"AL-03","AL",3,103,33.7,65.3,34.04
"2012-2021",2020,"AL-04","AL",4,104,17.8,81.2,17.98
"2012-2021",2020,"AL-05","AL",5,105,35.7,62.7,36.28
"2012-2021",2020,"AL-06","AL",6,106,31.8,67,32.19
"2012-2021",2020,"AL-07","AL",7,107,70.8,28.5,71.3
"2012-2021",2020,"AK-AL","AK",1,201,43,53.1,44.75
"2012-2021",2020,"AZ-01","AZ",1,301,50.1,48.4,50.86
"2012-2021",2020,"AZ-02","AZ",2,302,54.5,43.9,55.39
"2012-2021",2020,"AZ-03","AZ",3,303,62.8,35.7,63.76
"2012-2021",2020,"AZ-04","AZ",4,304,30.6,68,31.03
"2012-2021",2020,"AZ-05","AZ",5,305,41.9,56.4,42.62
"2012-2021",2020,"AZ-06","AZ",6,306,47.3,51.4,47.92
