"date","city","county","state","postal","lat","long","fips","candidate","event_type","notes"
2024-10-15,"Valencia","Butler","Pennsylvania","PA",40.6958269,-79.9701117,"42019","Walz","Campaign","Walz event"
2024-10-16,"Williamsport","Lycoming","Pennsylvania","PA",41.2411753,-77.059198,"42081","Vance","Campaign","Vance event"
2024-10-16,"Wilmington","New Hanover","North Carolina","NC",34.2157586,-77.9538195,"37129","Vance","Campaign","Vance event"
2024-10-16,"Washington Crossing","Bucks","Pennsylvania","PA",40.2855091,-74.9180199,"42017","Harris","Campaign","Harris event"
2024-10-16,"Miami","Miami-Dade","Florida","FL",25.7823843,-80.3118595,"12025","Trump","Campaign","Trump Univision town hall"
2024-10-17,"Milwaukee","Milwaukee","Wisconsin","WI",43.0642,-87.9673,"55079","Harris","Campaign","Harris event"
2024-10-17,"La Crosse","La Crosse","Wisconsin","WI",43.8223729,-91.2993139,"55063","Harris","Campaign","Harris event"
2024-10-17,"Green Bay","Brown","Wisconsin","WI",44.515,-87.9896,"55009","Harris","Campaign","Harris event"
2024-10-17,"Durham","Durham","North Carolina","NC",36.0019915,-79.0500608,"37063","Walz","Campaign","Walz event"
2024-10-17,"Winston-Salem","Forsyth","North Carolina","NC",36.1046824,-80.3260299,"37067","Walz","Campaign","Walz event"
2024-10-17,"Pittsburgh","Allegheny","Pennsylvania","PA",40.4396,-79.9763,"42003","Vance","Campaign","Vance event"
2024-10-18,"Grand Rapids","Kent","Michigan","MI",42.9615,-85.6557,"26081","Harris","Campaign","Harris event"
2024-10-18,"Lansing","Ingham","Michigan","MI",42.708778,-84.6419993,"26065","Harris","Campaign","Harris event"
2024-10-18,"Detroit","Wayne","Michigan","MI",42.3266374,-83.0503179,"26163","Trump","Campaign","Trump event"
2024-10-18,"Waterford Township","Oakland","Michigan","MI",42.6586696,-83.4269664,"26125","Harris","Campaign","Harris event"
2024-10-18,"Auburn Hills","Oakland","Michigan","MI",42.664726,-83.3103683,"26125","Trump","Campaign","Trump roundtable event"
2024-10-18,"Hamtramck","Wayne","Michigan","MI",42.3942875,-83.0687617,"26163","Trump","Campaign","Trump visits campaign office"
2024-10-19,"Detroit","Wayne","Michigan","MI",42.3266374,-83.0503179,"26163","Harris","Campaign","Harris event"
2024-10-19,"Omaha","Douglas","Nebraska","NE",41.2482047,-95.97078,"31055","Walz","Campaign","Walz rally "
2024-10-19,"Latrobe","Westmoreland","Pennsylvania","PA",40.3103626,-79.4053816,"42129","Trump","Campaign","Trump event"
2024-10-20,"Saginaw","Saginaw","Michigan","MI",43.4199,-83.9501,"26145","Walz","Campaign","Walz event"
2024-10-20,"Lancaster","Lancaster","Pennsylvania","PA",40.0399681,-76.3416343,"42071","Trump","Campaign","Trump town hall"
2024-10-20,"Waukesha","Waukesha","Wisconsin","WI",42.9987326,-88.3217568,"55133","Vance","Campaign","Vance event"
2024-10-20,"Stonecrest","DeKalb","Georgia","GA",33.6863526,-84.2204474,"13089","Harris","Campaign","Souls to the polls event at New Birth Missionary Baptist Church"
2024-10-20,"Jonesboro","Clayton","Georgia","GA",33.5225666,-84.376306,"13063","Harris","Campaign","Souls to the polls event at Divine Faith Ministries International"
2024-10-21,"Malvern","Chester","Pennsylvania","PA",40.0327535,-75.5254402,"42029","Harris","Campaign","Harris event"
2024-10-21,"Royal Oak","Oakland","Michigan","MI",42.5073003,-83.1987576,"26125","Harris","Campaign","Harris event"
2024-10-21,"Brookfield","Waukesha","Wisconsin","WI",43.0612582,-88.1672083,"55133","Harris","Campaign","Harris event"
2024-10-21,"Greenville","Pitt","North Carolina","NC",35.6030443,-77.459927,"37147","Trump","Campaign","Trump event"
2024-10-21,"Concord","Cabarrus","North Carolina","NC",35.3940755,-80.7110507,"37025","Trump","Campaign","Trump meets with faith leaders"
2024-10-22,"Madison","Dane","Wisconsin","WI",43.0827,-89.3923,"55025","Walz","Campaign","Walz rally with former President Barack Obama"
2024-10-22,"Racine","Racine","Wisconsin","WI",42.7083839,-87.9164651,"55101","Walz","Campaign","Walz event"
2024-10-22,"Doral","Miami-Dade","Florida","FL",25.809793,-80.3460198,"12025","Trump","Campaign","Roundtable with Latino voters"
2024-10-22,"Greensboro","Guilford","North Carolina","NC",36.1002311,-79.9159503,"37081","Trump","Campaign","Trump event"
2024-10-22,"Peoria","Maricopa","Arizona","AZ",33.7531779,-112.4898657,"04013","Vance","Campaign","Vance event"
2024-10-22,"Tucson","Pima","Arizona","AZ",32.1558028,-111.0489548,"04019","Vance","Campaign","Vance rally"
2024-10-23,"Zebulon","Pike","Georgia","GA",33.0918367,-84.362817,"13231","Trump","Campaign","Trump event"
2024-10-23,"Duluth","Gwinnett","Georgia","GA",34.0002042,-84.1796651,"13135","Trump","Campaign","Trump Turning Point PAC event"
2024-10-23,"Las Vegas","Clark","Nevada","NV",36.2333,-115.2654,"32003","Vance","Campaign","Vance event"
2024-10-23,"Reno","Washoe","Nevada","NV",39.5497,-119.8483,"32031","Vance","Campaign","Vance rally"
2024-10-23,"Aston","Delaware","Pennsylvania","PA",39.8623275,-75.4324382,"42045","Harris","Campaign","Harris CNN town hall"
2024-10-24,"Durham","Durham","North Carolina","NC",36.0019915,-79.0500608,"37063","Walz","Campaign","Walz event"
2024-10-24,"Greenville","Pitt","North Carolina","NC",35.6030443,-77.459927,"37147","Walz","Campaign","Walz event"
2024-10-24,"Wilmington","New Hanover","North Carolina","NC",34.2157586,-77.9538195,"37129","Walz","Campaign","Walz event"
2024-10-24,"Las Vegas","Clark","Nevada","NV",36.2333,-115.2654,"32003","Trump","Campaign","Trump Turning Point event"
2024-10-24,"Waterford Township","Oakland","Michigan","MI",42.6586696,-83.4269664,"26125","Vance","Campaign","Vance event"
2024-10-24,"Clarkston","DeKalb","Georgia","GA",33.8105284,-84.2510492,"13089","Harris","Campaign","Harris get-out-the-vote rally with Barack Obama, Bruce Springsteen"
2024-10-24,"Tempe","Maricopa","Arizona","AZ",33.3919156,-111.9693863,"04013","Trump","Campaign","Trump rally"
2024-10-25,"Houston","Harris","Texas","TX",29.7879096,-95.4658565,"48201","Harris","Campaign","Harris event"
2024-10-25,"Philadelphia","Philadelphia","Pennsylvania","PA",40.0077,-75.1339,"42101","Walz","Campaign","Walz event"
2024-10-25,"Allentown","Lehigh","Pennsylvania","PA",40.5930701,-75.5250195,"42077","Walz","Campaign","Walz event"
2024-10-25,"Scranton","Lackawanna","Pennsylvania","PA",41.4044,-75.6649,"42069","Walz","Campaign","Walz event"
2024-10-25,"Traverse City","Grand Traverse","Michigan","MI",44.748911,-85.646207,"26055","Trump","Campaign","Trump rally"
2024-10-25,"Raeford","Hoke","North Carolina","NC",34.9803757,-79.2503676,"37093","Vance","Campaign","Vance event"
2024-10-25,"Austin","Travis","Texas","TX",30.3076572,-97.9208946,"48453","Trump","Campaign","Trump event"
2024-10-25,"Monroe","Union","North Carolina","NC",35.0156127,-80.6441684,"37179","Vance","Campaign","Vance town hall"
2024-10-26,"Kalamazoo","Kalamazoo","Michigan","MI",42.2741505,-85.6384337,"26077","Harris","Campaign","Harris get-out-the-vote rally with Michelle Obama"
2024-10-26,"Window Rock","Apache","Arizona","AZ",35.6668151,-109.0852684,"04001","Walz","Campaign","Walz event"
