"series","rank","value","who"
"counties",243,282424,"San Luis Obispo, California"
"counties",249,273425,"St. Johns, Florida"
"counties",256,267568,"Washington, Minnesota"
"counties",262,262223,"Weber, Utah"
"counties",269,256526,"Jefferson, Texas"
"counties",276,241753,"Lafayette, Louisiana"
"counties",283,237378,"Sussex, Delaware"
"counties",290,231767,"Baldwin, Alabama"
"counties",298,227742,"Hinds, Mississippi"
"counties",305,223259,"Jackson, Oregon"
"counties",313,215896,"Lackawanna, Pennsylvania"
"counties",321,208621,"Harrison, Mississippi"
"counties",329,203881,"Yuma, Arizona"
"counties",337,197214,"Minnehaha, South Dakota"
"counties",346,190604,"Sarpy, Nebraska"
"counties",355,184525,"Cass, North Dakota"
"counties",364,180136,"Vanderburgh, Indiana"
"counties",373,174241,"Lee, Alabama"
"counties",383,169983,"Midland, Texas"
"counties",393,168162,"Pueblo, Colorado"
"counties",403,161765,"Johnson, Indiana"
"counties",413,158921,"Fairfield, Ohio"
"counties",423,156010,"Columbia, Georgia"
"counties",434,152854,"Johnson, Iowa"
"counties",445,145101,"Coconino, Arizona"
"counties",457,140032,"Spotsylvania, Virginia"
"counties",468,135543,"Grayson, Texas"
"counties",480,131343,"Tazewell, Illinois"
"counties",492,128746,"Bossier, Louisiana"
"counties",505,123416,"Saline, Arkansas"
"counties",518,118785,"Douglas, Kansas"
"counties",531,114188,"Lycoming, Pennsylvania"
"counties",545,109658,"LaSalle, Illinois"
"counties",559,107202,"Houston, Alabama"
"counties",573,103998,"Macon, Illinois"
"counties",588,100512,"Laramie, Wyoming"
"counties",602,98584,"Floyd, Georgia"
"counties",618,95263,"Cape May, New Jersey"
"counties",634,92701,"Madison, Kentucky"
"counties",650,88090,"Josephine, Oregon"
"counties",666,84499,"Glynn, Georgia"
"counties",683,82150,"Henderson, Texas"
"counties",701,79840,"Hancock, Indiana"
"counties",719,76400,"Walker, Texas"
"counties",737,73321,"Putnam, Florida"
"counties",756,70045,"York, Virginia"
"counties",775,67686,"Carteret, North Carolina"
"counties",795,66021,"Apache, Arizona"
"counties",815,64929,"Coos, Oregon"
"counties",836,62613,"Laurel, Kentucky"
"counties",857,60133,"Crawford, Arkansas"
"counties",879,58490,"Columbia, Wisconsin"
"counties",902,56205,"Marion, West Virginia"
"counties",925,53702,"Elko, Nevada"
"counties",948,52214,"Rusk, Texas"
"counties",973,50107,"Carroll, New Hampshire"
"counties",997,48455,"Tioga, New York"
"counties",1023,46711,"Barron, Wisconsin"
"counties",1049,45440,"Dunn, Wisconsin"
"counties",1076,44223,"Holmes, Ohio"
"counties",1103,42938,"Douglas, Washington"
"counties",1131,41799,"Oconee, Georgia"
"counties",1160,40397,"Delaware, Oklahoma"
"counties",1190,38714,"Champaign, Ohio"
"counties",1220,37406,"Steele, Minnesota"
"counties",1251,36662,"Huntington, Indiana"
"counties",1283,35133,"Silver Bow, Montana"
"counties",1316,33976,"DeSoto, Florida"
"counties",1350,32915,"Morgan, Illinois"
"counties",1384,31040,"Kleberg, Texas"
"counties",1419,29852,"Meade, South Dakota"
"counties",1456,28440,"Carroll, Tennessee"
"counties",1493,27613,"Jennings, Indiana"
"counties",1531,26472,"Decatur, Indiana"
"counties",1570,25346,"Salem, Virginia"
"counties",1610,24502,"Randolph, Indiana"
"counties",1651,23331,"Teton, Wyoming"
"counties",1693,22066,"Houston, Texas"
"counties",1736,21241,"Nodaway, Missouri"
"counties",1781,20355,"Buchanan, Virginia"
"counties",1826,19555,"Wayne, Kentucky"
"counties",1873,18583,"Deaf Smith, Texas"
"counties",1920,17609,"Seward, Nebraska"
"counties",1970,16755,"Jackson, Arkansas"
"counties",2020,15849,"Brunswick, Virginia"
"counties",2071,14913,"Bledsoe, Tennessee"
"counties",2124,14143,"Atoka, Oklahoma"
"counties",2178,13288,"Clay, Illinois"
"counties",2234,12329,"Grundy, Iowa"
"counties",2291,11561,"Haskell, Oklahoma"
"counties",2349,10599,"Essex, Virginia"
"counties",2409,9771,"McLean, North Dakota"
"counties",2471,8968,"Phelps, Nebraska"
"counties",2534,8283,"Houston, Tennessee"
"counties",2599,7459,"East Carroll, Louisiana"
"counties",2665,6608,"King and Queen, Virginia"
"counties",2733,5703,"Ransom, North Dakota"
"counties",2803,4838,"Jim Hogg, Texas"
"counties",2874,3749,"Ellis, Oklahoma"
"counties",2948,2747,"Aurora, South Dakota"
"counties",3023,1798,"Steele, North Dakota"
"counties",3100,64,"Loving, Texas"
"receipts",1,1175189365.41,"HARRIS, KAMALA"
"receipts",2,1175189365.41,"BIDEN, JOSEPH R JR"
"receipts",3,96530240.72,"BROWN, SHERROD"
"receipts",4,94674182.67,"ALLRED, COLIN"
"receipts",5,93570122.72,"TESTER, R. JON"
"receipts",6,74050030.94,"CRUZ, RAFAEL EDWARD  TED"
"receipts",7,67278247.27,"KENNEDY, ROBERT, F. JR., SHANAHAN, NICOLE"
"receipts",8,66197196.43,"RAMASWAMY, VIVEK"
"receipts",9,64657199.96,"GALLEGO, RUBEN"
"receipts",10,64657199.96,"GALLEGO, RUBEN"
"receipts",11,63833136.59,"TRONE, DAVID"
"receipts",12,63833136.59,"TRONE, DAVID"
"receipts",13,58378347.5,"HALEY, NIKKI"
"receipts",14,58147345.34,"CASEY, ROBERT P. JR."
"receipts",15,51937060.2,"SLOTKIN, ELISSA"
"receipts",16,50228545.14,"BALDWIN, TAMMY"
"receipts",17,48149196.78,"SCHIFF, ADAM"
"receipts",18,48149196.78,"SCHIFF, ADAM"
"receipts",19,43915245.2,"ROSEN, JACKY"
"receipts",20,43915245.2,"ROSEN, JACKY"
