"fips","county","state","total","one_race","white","black","aian","asian","nhpi","other_race","two_or_more","hispanic","not_hispanic","nh_white","nh_black","nh_aian","nh_asian","nh_nhpi","nh_other","nh_two","gq_total","gq_correctional","gq_juvenile","gq_nursing","gq_college","gq_military"
"42061","Huntingdon County","Pennsylvania",44092,42724,39624,2271,56,210,17,546,1368,852,43240,39420,2267,49,210,9,100,1185,4908,3336,45,352,1133,0
"42063","Indiana County","Pennsylvania",83246,80279,76277,2494,143,817,13,535,2967,1476,81770,75718,2409,116,816,7,148,2556,5697,1047,142,562,3746,0
"42065","Jefferson County","Pennsylvania",44492,42901,42470,131,45,100,8,147,1591,397,44095,42317,125,45,100,8,92,1408,653,131,0,395,59,0
"42067","Juniata County","Pennsylvania",23509,22771,22084,133,24,69,8,453,738,908,22601,21830,115,19,69,4,48,516,280,0,0,233,0,0
"42069","Lackawanna County","Pennsylvania",215896,203153,179038,8350,570,6826,35,8334,12743,18267,197629,175246,7415,276,6762,28,828,7074,8237,1019,28,2157,3629,0
"42071","Lancaster County","Pennsylvania",552984,518045,452646,22394,1322,14147,169,27367,34939,61171,491813,440613,19536,522,13939,110,1922,15171,14269,696,92,6687,5453,0
"42073","Lawrence County","Pennsylvania",86070,81052,76303,3664,103,323,7,652,5018,1655,84415,75811,3546,75,321,4,251,4407,2011,107,0,784,811,0
"42075","Lebanon County","Pennsylvania",143257,133674,118410,3233,270,2234,82,9445,9583,20348,122909,114004,2555,119,2192,39,460,3540,3093,52,0,1510,1198,0
"42077","Lehigh County","Pennsylvania",374557,336871,244505,27589,1487,13941,150,49199,37686,96981,277576,227994,22950,337,13725,91,1779,10700,7688,687,120,2671,3194,0
"42079","Luzerne County","Pennsylvania",325594,303542,257042,16226,888,4070,109,25207,22052,46898,278696,250304,14031,295,3960,65,985,9056,11094,3512,265,2862,3321,0
"42081","Lycoming County","Pennsylvania",114188,108454,100428,5835,221,933,31,1006,5734,2374,111814,99687,5672,191,923,27,383,4931,5167,1562,62,983,2310,0
"42083","McKean County","Pennsylvania",40432,38627,37273,867,110,199,2,176,1805,642,39790,36991,849,102,193,2,82,1571,2541,890,28,546,870,0
"42085","Mercer County","Pennsylvania",110652,105431,97516,6389,144,687,24,671,5221,1609,109043,96998,6289,116,683,14,342,4601,5971,1559,271,1212,2526,0
"42087","Mifflin County","Pennsylvania",46143,44610,43644,388,59,169,2,348,1533,979,45164,43343,350,51,160,0,78,1182,642,136,0,385,0,0
"42089","Monroe County","Pennsylvania",168327,152227,110959,24894,680,4080,74,11540,16100,28558,139769,104716,22823,289,3947,56,1407,6531,3582,333,16,570,2309,0
"42091","Montgomery County","Pennsylvania",856553,804038,627566,81786,1904,68032,205,24545,52515,54512,802041,618244,79510,763,67761,168,3863,31732,22308,4393,241,7248,6036,0
