"cid","name","office","party","total","against","committees"
"H8PA10147","MEUSER, DANIEL","H","REPUBLICAN PARTY",5481.8,0,1
"H4CA12154","SIMON, LATEEFAH","H","DEMOCRATIC PARTY",5450,0,1
"H2MD04315","IVEY, GLENN","H","",5340.5,0,2
"S4UT00241","PHIPPEN, CAROLYN MARIE","S","REPUBLICAN PARTY",5146.39,0,1
"H8MI11254","STEVENS, HALEY","H","DEMOCRATIC PARTY",5106.2,0,2
"H8OH02058","HEIMLICH, PHILIP","H","REPUBLICAN PARTY",5000,0,1
"H8PA18199","RESCHENTHALER, GUY","H","REPUBLICAN PARTY",4658.86,0,1
"S2FL00631","DEMINGS, VAL","S","DEMOCRATIC PARTY",4635.5,0,2
"H2AZ09043","CHERNY, ANDREI","H","DEMOCRATIC PARTY",4571.24,4571.24,1
"H4VA07226","TODD, TERRIS","H","REPUBLICAN PARTY",4500,0,1
"H8OH05036","LATTA, ROBERT","H","REPUBLICAN PARTY",4113.29,0,2
"H8OH12180","BALDERSON, TROY","H","REPUBLICAN PARTY",4082.5,0,2
"H0PA03271","KELLY, GEORGE","H","REPUBLICAN PARTY",4019.8,0,1
"S2HI00106","HIRONO, MAZIE","S","DEMOCRATIC PARTY",3991.72,0,1
"H6TX02079","BABIN, BRIAN","H","REPUBLICAN PARTY",3938.04,0,2
"H4NJ02207","SALERNO, JOE","H","DEMOCRATIC PARTY",3900,0,1
"P80003269","TRUMP, DONALD","P","",3899.23,3899.23,1
"P80002420","BIDEN, JOSEPH","P","",3899.22,3899.22,1
"H4TN07133","BARRY, MEGAN","H","DEMOCRATIC PARTY",3876.5,0,1
"S4TN00526","JOHNSON, GLORIA","S","DEMOCRATIC PARTY",3876.5,0,1
"H6OH08315","DAVIDSON, WARREN","H","REPUBLICAN PARTY",3867.1,0,2
"H6PA16320","SMUCKER, LLOYD","H","REPUBLICAN PARTY",3865.74,0,1
"S8WA00194","CANTWELL, MARIA","S","DEMOCRATIC PARTY",3858.28,0,1
"H6MD08457","RASKIN, JAMIE","H","DEMOCRATIC PARTY",3641.39,0,1
"S2PA00638","OZ, MEHMET","S","REPUBLICAN PARTY",3593.8,3593.8,1
"H2OH15228","CAREY, MIKE","H","REPUBLICAN PARTY",3502.95,0,2
"H4CA11164","C LOU, BRUCE","H","REPUBLICAN PARTY",3500,0,1
"H0WA03187","HERRERA BEUTLER, JAIME","H","REPUBLICAN PARTY",3500,0,1
"H4OH06181","STOLTZFUS, REGGIE","H","REPUBLICAN PARTY",3339.3,0,1
"H4OH02180","TASSELL, CHARLES","H","REPUBLICAN PARTY",3264.83,0,1
"H4OH15075","ABID, ZERQA","H","DEMOCRATIC PARTY",3214.72,0,1
"H4MI04159","SWARTZ, JESSICA","H","DEMOCRATIC PARTY",3207.2,0,1
"H4CA45121","NGUYEN, KIM","H","DEMOCRATIC PARTY",3021.7,0,1
"H4PA13199","BOYLE, BRENDAN F","H","DEMOCRATIC PARTY",2896.49,0,2
"H2OH11169","BROWN, M SHONTEL","H","DEMOCRATIC PARTY",2865,0,1
"H2NC07096","ROUZER, DAVID","H","REPUBLICAN PARTY",2761,2761,1
"H4MD03263","DUNN, HARRY","H","DEMOCRATIC PARTY",2750,0,1
"H4TN05145","ABOLFAZLI, MARYAM.","H","DEMOCRATIC PARTY",2661.5,2661.5,1
"H2IL02172","KELLY, ROBIN","H","DEMOCRATIC PARTY",2506.78,0,1
"H4NJ01084","NORCROSS, DONALD W","H","DEMOCRATIC PARTY",2500,0,1
"H4KY01081","MARSHALL, ERIN","H","DEMOCRATIC PARTY",2340,0,1
"H2OH03067","TURNER, MICHAEL R","H","REPUBLICAN PARTY",2308.02,0,1
"H4CA30198","FEUER, MICHAEL","H","DEMOCRATIC PARTY",2259.06,0,1
"H4CA30180","PORTANTINO, ANTHONY","H","DEMOCRATIC PARTY",2259.06,2259.06,1
"H4CA30164","SAVAGE, BEN","H","DEMOCRATIC PARTY",2259.06,2259.06,1
"H2MD05155","HOYER, STENY","H","DEMOCRATIC PARTY",2140.65,0,1
"H8HI01234","CASE, ED","H","",2101.04,0,1
"H4MI04126","MOOLENAAR, JOHN","H","REPUBLICAN PARTY",2047.94,0,1
"H0MI10287","MCCLAIN, LISA","H","REPUBLICAN PARTY",2045.23,0,1
"H2CA08214","MARSHALL, DEREK","H","DEMOCRATIC PARTY",2000,0,1
"H4MI07103","WALBERG, TIMOTHY","H","REPUBLICAN PARTY",1868.68,0,1
"H2TX01112","MORAN, NATHANIEL","H","REPUBLICAN PARTY",1813.44,0,1
"H4NJ10135","BUCCO, CARMEN","H","REPUBLICAN PARTY",1670.36,0,1
"H4NJ05150","GUINCHARD, MARY JO-ANN","H","REPUBLICAN PARTY",1670.36,0,1
"H0NJ09200","PREMPEH, WILLIAM SREBOE","H","REPUBLICAN PARTY",1670.36,0,1
"P40013708","WEST, CORNEL","P","INDEPENDENT",1666.5,1666.5,1
"P80004118","BIDEN, JOSEPH","P","",1664.42,1664.42,1
"P80004967","TRUMP, DONALD","P","",1664.41,1664.41,1
"H2NC06114","FOUSHEE, VALERIE","H","DEMOCRATIC PARTY",1638.44,0,1
"H8AZ09040","STANTON, GREG","H","DEMOCRATIC PARTY",1608,0,1
"H2TX14149","WEBER, RANDY","H","REPUBLICAN PARTY",1585.76,0,1
"H0TX13228","JACKSON, RONNY","H","REPUBLICAN PARTY",1561.1,0,1
"H2TX33040","WILLIAMS, ROGER","H","REPUBLICAN PARTY",1514.11,0,1
"H4CO04280","CALVARESE, TRISHA","H","DEMOCRATIC PARTY",1500,0,1
"H8VA02111","LURIA, ELAINE","H","DEMOCRATIC PARTY",1399.56,0,1
"H4CA31113","ARCHULETA, BOB","H","DEMOCRATIC PARTY",1373.1,1373.1,1
"H4CA31170","CISNEROS, GILBERT","H","",1373.1,1373.1,1
"H4CA31162","HAFIF, GREGORY KEITH","H","DEMOCRATIC PARTY",1373.1,0,1
"H4CA31139","LUTZ, MARY ANN","H","DEMOCRATIC PARTY",1373.1,0,1
"H4CA31154","RUBIO, SUSAN","H","DEMOCRATIC PARTY",1373.1,1373.1,1
"H0TX11230","PFLUGER, AUGUST","H","REPUBLICAN PARTY",1365.85,0,1
"H2TX03126","SESSIONS, PETE","H","REPUBLICAN PARTY",1362.94,0,1
"H4MI12079","DINGELL, DEBBIE","H","DEMOCRATIC PARTY",1337.97,0,1
"H0MI08042","ROGERS, MICHAEL J","S","",1337.95,1337.95,1
"H0TX04219","FALLON, PATRICK","H","REPUBLICAN PARTY",1328.14,0,1
"H2OH03125","BEATTY, JOYCE","H","DEMOCRATIC PARTY",1320,0,1
"H4MN03118","MORRISON, KELLY LOUISE","H","DEMOCRATIC-FARMER-LABOR",1310.8,0,1
"H2MN06214","HENDRICKS, JEANNE MARIE","H","DEMOCRATIC-FARMER-LABOR",1310.78,0,1
"H2RI02184","MAGAZINER, SETH","H","DEMOCRATIC PARTY",1300,0,1
"H2TX03290","SELF, KEITH","H","",1215.09,0,1
"H8TX27049","CLOUD, MICHAEL","H","REPUBLICAN PARTY",1196.05,0,1
"H4VA06061","MITCHELL, KEN","H","DEMOCRATIC PARTY",1137.38,0,1
"H8TX05144","GOODEN, LANCE","H","REPUBLICAN PARTY",1115.33,0,1
"H0TX07170","HUNT, WESLEY","H","REPUBLICAN PARTY",1111.89,0,1
"H8TX02166","CRENSHAW, DANIEL","H","REPUBLICAN PARTY",1080.12,0,1
"H4WI01056","BARCA, PETER","H","DEMOCRATIC PARTY",996.42,996.42,1
"H0NC02125","ROSS, DEBORAH","H","DEMOCRATIC PARTY",922.54,0,1
"S4CA00589","LEE, BARBARA","S","DEMOCRATIC PARTY",872.99,0,1
"H0CA27085","SCHIFF, ADAM","H","DEMOCRATIC PARTY",784.68,0,1
"H0GA06192","GREENE, MARJORIE TAYLOR MRS.","H","REPUBLICAN PARTY",750,750,1
"H4VA01096","MEHTA, LESLIE","H","DEMOCRATIC PARTY",742.66,0,1
"S0WI00197","JOHNSON, RONALD","S","REPUBLICAN PARTY",702.6,0,1
"H0WA08046","DELBENE, SUZAN K","H","DEMOCRATIC PARTY",650.28,0,1
"H0WA02080","LARSEN, RICK","H","DEMOCRATIC PARTY",650.28,0,1
"S0NH00326","BOLDUC, DONALD","S","REPUBLICAN PARTY",587.75,587.75,1
"H8NH02309","BURNS, ROBERT","H","",587.75,587.75,1
"H0NH02181","KUSTER, ANN","H","DEMOCRATIC PARTY",587.75,0,1
"H2NH01270","LEAVITT, KAROLINE","H","REPUBLICAN PARTY",587.75,587.75,1
"H6WA09025","SMITH, D. ADAM","H","DEMOCRATIC PARTY",563.57,0,1
"H0WA10034","STRICKLAND, MARILYN","H","DEMOCRATIC PARTY",563.57,0,1
"H8PA07200","SCANLON, MARY GAY","H","DEMOCRATIC PARTY",555.09,0,1
"H6WA07458","JAYAPAL, PRAMILA","H","DEMOCRATIC PARTY",520.22,0,1
"H0NY02267","LIPETRI, MIKE","H","REPUBLICAN PARTY",519.5,519.5,1
"S2GA00225","WALKER, HERSCHEL MR.","S","REPUBLICAN PARTY",500,500,1
"S2ND00123","CHRISTIANSEN, KATRINA","S","DEMOCRATIC PARTY",500,0,1
"H4WA08154","SIDDIQI, IMRAAN","H","DEMOCRATIC PARTY",496.52,0,1
"S2MO00544","SCHMITT, ERIC","S","REPUBLICAN PARTY",480.9,0,1
"H2WA04124","BAECHLER, MARY","H","DEMOCRATIC PARTY",444.25,0,1
"H4WA05176","BANK, BERNADINE DR","H","DEMOCRATIC PARTY",444.25,0,1
"H2WA05097","DANIMUS, ANN MARIE","H","DEMOCRATIC PARTY",444.25,0,1
"H4WA04187","MUCHLINSKI, BIRDIE JANE","H","DEMOCRATIC PARTY",444.25,0,1
"H4WA05267","WELDE, MATTHEW BRADY MR.","H","DEMOCRATIC PARTY",444.25,0,1
"H4NC08116","DUES, JUSTIN","H","DEMOCRATIC PARTY",327.05,0,1
"H4NC14023","GENANT, PAMELA","H","DEMOCRATIC PARTY",327.05,0,1
"H2PA10124","DANIELS, SHAMAINE","H","DEMOCRATIC PARTY",325.17,0,1
"H4VA05089","WITT, GLORIA","H","DEMOCRATIC PARTY",272.5,0,1
"H4WI04290","BILLIPS, NATHAN","S","DEMOCRATIC PARTY",250,250,1
"P00004523","HARRIS, KAMALA","P","",250,0,1
"H0IA02180","MILLER-MEEKS, MARIANNETTE JANE","H","",236.55,0,1
"H4WA09095","CHAUDHRY, MELISSA","H","DEMOCRATIC PARTY",223.85,0,1
"H4IA04139","VIRGIL, KEVIN","H","REPUBLICAN PARTY",222.74,0,1
"H4VA08224","BEYER, DONALD","H","DEMOCRATIC PARTY",140,0,1
"H2KY03206","MCGARVEY, MORGAN","H","DEMOCRATIC PARTY",133.5,0,1
"H0GA09246","CLYDE, ANDREW","H","REPUBLICAN PARTY",24,0,1
"H8TX29052","GARCIA, SYLVIA","H","DEMOCRATIC PARTY",22,0,1
"P80001572","TRUMP, DONALD","P","",21.25,0,1
"H0GA05301","WILLIAMS, NIKEMA NATASSHA","H","DEMOCRATIC PARTY",13.18,0,1
"H4CO04090","BUCK, KENNETH","H","REPUBLICAN PARTY",12.5,0,1
"H0OH18101","HOOD, RONALD","H","",8,0,1
"H2NV03153","ROBERTSON, MARK","H","REPUBLICAN PARTY",2.1,2.1,1
"P40020125","SCAFIDI, TYLER","P","UNAFFILIATED",1,0,1
"P40020869","LANE, JEANNICA","P","REPUBLICAN PARTY",0,0,1
