"sid","name","total","against","pct_against","candidates"
"C00300731","Los Angeles County Democratic Central Committee",7312.5,0,0,1
"C00799916","PROGRESSIVE VOICES ACTION FUND",7000,0,0,1
"C00863704","Defeat Bad Leaders",6845,6845,100,1
"C00817668","Conservative Candidate Caucus",6500,0,0,1
"C00696112","PROTECT AMERICAN VALUES PAC",6500,0,0,2
"C90022294","Wake Up Enterprises Inc",6440,2990,46.4,5
"C90020660","NC Latino Power",6192.01,0,0,1
"C00742130","LATINO VOTE FOR AMERICA PAC",6000,6000,100,1
"C90021932","Amistad Movement Power",5863.79,0,0,1
"C00866780","PA UNITED FEDERAL ACTION COMMITTEE",5800,0,0,2
"C00809970","HISPANIC LEADERSHIP TRUST",5336.83,0,0,6
"C00799528","PROTECT OUR KIDS PAC",5000,5000,100,1
"C00858852","NRRC",4674.57,4674.57,100,1
"C00856435","The Future - Today & Tomorrow",4500,0,0,1
"C00018929","North Dakota Republican Party",3689.3,0,0,3
"C00536540","Jobs, Freedom, and Security PAC",3552.18,0,0,1
"C00873539","Gen Z Take Over",3500,0,0,1
"C90018771","FORFACT LLC",3453.5,2031.69,58.8,2
"C90023094","International Brotherhood of 42 Joint Council",3020.85,0,0,1
"C90022914","Straight Ahead Organization",3004.55,1879.55,62.6,2
"C90015256","American Family Voices",3000,0,0,1
"C00864421","MINNESOTA DEMOCRATIC ACTION PAC",3000,0,0,1
"C00875674","LV REPUBLICAN LEADERSHIP FUND",2819.09,2819.09,100,1
"C90023003","Herr",2614.14,0,0,1
"C90023045","Antelope Valley Democrats for Change",2546.17,0,0,1
"C00001016","CARPENTERS LEGISLATIVE IMPROVEMENT COMMITTEE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS",2519.11,0,0,1
"C00509521","Democratic Asian Americans of Virginia",2500,0,0,5
"C90020124","Free the Ballot! Incarcerated Voter Family Network",2250,0,0,1
"C00743377","LV Strong",2250,0,0,1
"C00002089","Communications Workers of America - COPE Political Contributions Committee",2249.75,0,0,1
"C00837443","AMERICAN PACT",2223,0,0,2
"C90022948","U.S. Veterans for Ukraine Inc.",2070,2070,100,1
"C00828921","Cut Cruz PAC",2000,2000,100,1
"C00734616","RED WHITE AND DEFINITELY BLUE",2000,0,0,1
"C00826024","PIVOT Victory Fund",1850.73,0,0,4
"C00282459","LIGNITE ENERGY COUNCIL PAC (LIGNITE PAC)",1819,0,0,1
"C00235853","Human Rights Campaign PAC",1520.68,760.34,50,2
"C00687327","AMERICAN FREEDOM AND OPPORTUNITY PAC",1500,0,0,1
"C00458000","Progressive Change Campaign Committee",1500,1500,100,1
"C00891457","Friends of CD3",1455.37,0,0,1
"C00775601","PRESSURE PAC",1413.92,0,0,1
"C00747998","Care in Action PAC",1400,0,0,1
"C90021452","We Vote We Win",1257,0,0,1
"C00684332","LIUNA MINNESOTA & NORTH DAKOTA",1246.35,0,0,1
"C90023029","La Fuerza NC",1190.91,0,0,1
"C00692129","Tea Party PAC",1182.59,0,0,1
"C00872705","D2 PAC",1171.55,0,0,1
"C90021692","350 WISCONSIN ACTION",1133.74,0,0,1
"C00487827","BLUE AMERICA PAC INDEPENDENT EXPENDITURE COMMITTEE",1050,0,0,1
"C00516500","POWERPACPLUS",1036.99,0,0,2
"C00690263","Hold Them Accountable",1000,1000,100,1
"C90021791","New North Carolina Project",981.14,0,0,3
"C00878710","LET FREEDOM RING PAC",913,0,0,1
"C00890640","COUNTERPOINT USA",504,504,100,1
"C00881896","NATHAN E BILLIPS",250,250,100,1
"C00481200","National Association For Gun Rights Inc PAC",8,0,0,1
"C00880138","TYLER LEE SCAFIDI''S PRESIDENTIAL POLITICAL ACTION COMMITTEE (PAC) FOR EQUITABLE AMERICAN LAW, ORDER, AND JUSTICE",1,0,0,1
"C00884098","JEANNICA LANE",0,0,NA,1
