"sid","cid","side","amount"
"C00495028","H4OR05304","S",646808.48
"C00725820","P80000722","S",645227.18
"C00662221","H4VA05071","O",642904
"C00890335","H2CO08020","O",642000
"C90022229","H4ND00053","O",639964.4
"C00756569","H4CA45170","S",636452.7
"C00000935","H2CO08079","O",635332.03
"C00817122","S2TX00312","S",631334.88
"C00540898","P80001571","S",630763.71
"C00752048","P80001571","O",630682.66
"C00887141","H0NY17174","S",630400
"C00844613","H4FL13200","O",629865.33
"C00550970","H4CA16239","S",628079.86
"C00418897","S4MT00183","O",625720.51
"C00856427","S2WI00219","O",622350
"C00703082","P80001571","O",621210
"C00685693","P80000722","S",620796.57
"C00053553","S4OH00192","S",617878.62
"C00687103","H2IA03119","S",617559.36
"C00871368","H4IA03172","S",617500
"C00804823","H4AZ03117","O",616563.63
"C00707844","H2PA04135","O",615879.46
"C00844613","H2OH09031","O",615133.27
"C00747097","P80001571","O",614750
"C00687103","H2MI10150","S",613516.13
"C00790089","H2PA18259","S",612074.34
"C00750224","P80001571","S",610002.33
"C00756569","H2AZ02311","S",607257.97
"C00779595","P00009423","O",606915.06
"C00495028","H4NJ07107","S",606367.31
"C00835967","H4TX12065","S",601855.55
"C00886614","S4OH00192","O",601832.96
"C00825091","H6AK00268","O",601476.81
"C00887141","H8NY22177","S",600924
"C00877787","S2NV00308","S",600000
"C00000935","H0MI08141","O",598271.08
