"from_2020","to_2024","weight"
"BIBB|HOWARD 2","MONROE|BURGAYS",0.004863
"BIBB|HOWARD 2","BIBB|HOWARD 3",9e-06
"BIBB|HOWARD 2","BIBB|HOWARD 6",8e-06
"BIBB|HOWARD 2","BIBB|HOWARD 7",4e-06
"BIBB|HOWARD 3","BIBB|HOWARD 3",0.999962
"BIBB|HOWARD 3","BIBB|HOWARD 2",3.8e-05
"BIBB|HOWARD 4","BIBB|HOWARD 4",0.999904
"BIBB|HOWARD 4","BIBB|VINEVILLE 5",9.6e-05
"BIBB|HOWARD 5","BIBB|HOWARD 5",0.999967
"BIBB|HOWARD 5","BIBB|HOWARD 7",3.3e-05
"BIBB|HOWARD 6","BIBB|HOWARD 6",0.999235
"BIBB|HOWARD 6","BIBB|HOWARD 2",0.000504
"BIBB|HOWARD 6","BIBB|HOWARD 1",0.000188
"BIBB|HOWARD 6","BIBB|VINEVILLE 5",5.8e-05
"BIBB|HOWARD 6","BIBB|HOWARD 7",1.4e-05
"BIBB|HOWARD 7","BIBB|HOWARD 7",0.999902
"BIBB|HOWARD 7","BIBB|HOWARD 5",9.7e-05
"BIBB|HOWARD 7","BIBB|HOWARD 6",2e-06
"BIBB|RUTLAND 1","BIBB|RUTLAND 1",0.999521
"BIBB|RUTLAND 1","BIBB|RUTLAND 2",0.000433
"BIBB|RUTLAND 1","BIBB|GODFREY 5",3.7e-05
"BIBB|RUTLAND 1","BIBB|WARRIOR 2",9e-06
"BIBB|RUTLAND 2","BIBB|RUTLAND 2",1
"BIBB|VINEVILLE 1","BIBB|VINEVILLE 1",0.998171
"BIBB|VINEVILLE 1","BIBB|VINEVILLE 2",0.00139
"BIBB|VINEVILLE 1","BIBB|GODFREY 1",0.000439
"BIBB|VINEVILLE 2","BIBB|VINEVILLE 2",0.999558
"BIBB|VINEVILLE 2","BIBB|VINEVILLE 1",0.000442
"BIBB|VINEVILLE 3","BIBB|VINEVILLE 3",0.999676
"BIBB|VINEVILLE 3","BIBB|GODFREY 1",0.000286
"BIBB|VINEVILLE 3","BIBB|VINEVILLE 6",3.8e-05
"BIBB|VINEVILLE 4","BIBB|VINEVILLE 4",0.999988
"BIBB|VINEVILLE 4","BIBB|HAZZARD 3",1.1e-05
"BIBB|VINEVILLE 5","BIBB|VINEVILLE 5",0.999661
"BIBB|VINEVILLE 5","BIBB|VINEVILLE 6",0.000338
"BIBB|VINEVILLE 6","BIBB|VINEVILLE 6",0.999933
"BIBB|VINEVILLE 6","BIBB|VINEVILLE 2",5.5e-05
"BIBB|VINEVILLE 6","BIBB|VINEVILLE 1",1.2e-05
"BIBB|WARRIOR 1","BIBB|WARRIOR 1",0.998596
"BIBB|WARRIOR 1","MONROE|KELSEYS",0.001404
"BIBB|WARRIOR 2","BIBB|WARRIOR 2",0.995121
"BIBB|WARRIOR 2","BIBB|GODFREY 5",0.002761
"BIBB|WARRIOR 2","BIBB|HAZZARD 3",0.002118
"BLECKLEY|1","BLECKLEY|1",1
