"GEOID20","pop","precinct_2020","precinct_2024"
"130099704002022",43,"BALDWIN|NORTH MILLEDGEVILLE","BALDWIN|NORTH MILLEDGEVILLE"
"130259603001007",10,"BRANTLEY|HOBOKEN","BRANTLEY|HOBOKEN"
"131510705041041",0,"HENRY|SOUTH HAMPTON","HENRY|SOUTH HAMPTON"
"131510705032020",46,"HENRY|NORTH HAMPTON","HENRY|NORTH HAMPTON"
"131510703232009",58,"HENRY|WESTSIDE","HENRY|WESTSIDE"
"132099503002076",4,"MONTGOMERY|UVALDA","MONTGOMERY|UVALDA PRECINCT"
"133199603004000",13,"WILKINSON|IVEY","WILKINSON|IVEY"
"133199602002051",0,"WILKINSON|BLOODWORTH","WILKINSON|BLOODWORTH"
"131079703002055",21,"EMANUEL|SWAINSBORO","EMANUEL|SWAINSBORO"
"130859701012014",0,"DAWSON|WEST","DAWSON|WEST"
"133039503002019",0,"WASHINGTON|SANDERSVILLE","WASHINGTON|SANDERSVILLE"
"130039601001047",21,"ATKINSON|WILLACOOCHEE","ATKINSON|WILLACOOCHEE"
"130039602001022",6,"ATKINSON|PEARSON COUNTY","ATKINSON|PEARSON COUNTY"
"131210116372019",0,"FULTON|AP01D","FULTON|AP01A"
"131210101331005",27,"FULTON|SS08D","FULTON|SS08D"
"131210060004008",42,"FULTON|04X1","FULTON|04X1"
"131210105273012",51,"FULTON|UC02C","FULTON|UC02D"
"131210116581011",32,"FULTON|JC09","FULTON|JC09"
"130259601011107",3,"BRANTLEY|WAYNESVILLE","BRANTLEY|WAYNESVILLE"
"131510705053022",16,"HENRY|SOUTH HAMPTON","HENRY|SOUTH HAMPTON"
"131230803011044",17,"GILMER|EAST ELLIJAY","GILMER|EAST ELLIJAY"
"130259602021031",0,"BRANTLEY|NAHUNTA","BRANTLEY|NAHUNTA"
"130259603004016",0,"BRANTLEY|HOBOKEN","BRANTLEY|HOBOKEN"
"130259602021023",8,"BRANTLEY|NAHUNTA","BRANTLEY|NAHUNTA"
"130719707022025",23,"COLQUITT|MOULTRIE","COLQUITT|MOULTRIE"
"130659701004048",5,"CLINCH|HOMERVILLE","CLINCH|HOMERVILLE"
"130659701005132",8,"CLINCH|DUPONT","CLINCH|DUPONT"
"131530201111006",14,"HOUSTON|HHPC","HOUSTON|HHPC"
"131339502003039",3,"GREENE|UNION POINT","GREENE|UNION POINT"
"133039505001110",0,"WASHINGTON|DAVISBORO","WASHINGTON|DAVISBORO"
"131079703003009",20,"EMANUEL|SWAINSBORO","EMANUEL|SWAINSBORO"
"131079703001072",20,"EMANUEL|SWAINSBORO","EMANUEL|SWAINSBORO"
"132579701024028",11,"STEPHENS|SENIOR CENTER","STEPHENS|STEPHENS COUNTY 1"
"132579701012006",35,"STEPHENS|SENIOR CENTER","STEPHENS|STEPHENS COUNTY 1"
"132579704012048",0,"STEPHENS|SENIOR CENTER","STEPHENS|STEPHENS COUNTY 1"
"131198901013059",53,"FRANKLIN|LAVONIA","FRANKLIN|LAVONIA"
"131198904023003",13,"FRANKLIN|ROYSTON","FRANKLIN|ROYSTON"
"132579702011035",19,"STEPHENS|SENIOR CENTER","STEPHENS|STEPHENS COUNTY 1"
"132579701012072",115,"STEPHENS|SENIOR CENTER","STEPHENS|STEPHENS COUNTY 1"
"132499602001074",8,"SCHLEY|PRECINCT ONE","SCHLEY|PRECINCT ONE"
"132499601002114",9,"SCHLEY|PRECINCT ONE","SCHLEY|PRECINCT ONE"
"131150011003010",10,"FLOYD|TOWN ROME","FLOYD|TOWN ROME"
"130199703002000",22,"BERRIEN|NASHVILLE","BERRIEN|NASHVILLE"
"130099701011030",0,"BALDWIN|EAST BALDWIN","BALDWIN|EAST BALDWIN"
"130099701012011",24,"BALDWIN|EAST BALDWIN","BALDWIN|EAST BALDWIN"
"130099707011023",0,"BALDWIN|CITY HALL ANNEX","BALDWIN|CITY HALL ANNEX"
"131018801001193",0,"ECHOLS|STATENVILLE","ECHOLS|STATENVILLE"
"130131802042008",24,"BARROW|16","BARROW|13"
"130131805023007",0,"BARROW|16","BARROW|16"
"130131804011041",0,"BARROW|05","BARROW|5"
"130131803031017",52,"BARROW|02","BARROW|2"
"131390002031045",6,"HALL|BIG HICKORY","HALL|BIG HICKORY"
"131030301001034",26,"EFFINGHAM|3A","EFFINGHAM|3A"
"131030302051034",8,"EFFINGHAM|4A","EFFINGHAM|4A"
"130390103052020",7,"CAMDEN|BROWNTOWN","CAMDEN|WEST KINGSLAND"
"130390106032025",0,"CAMDEN|SOUTH ST MARYS","CAMDEN|SOUTH ST MARYS"
"132579704011020",40,"STEPHENS|SENIOR CENTER","STEPHENS|STEPHENS COUNTY 1"
"131198901041053",0,"FRANKLIN|NORTHEAST FRANKLIN","FRANKLIN|NORTHEAST FRANKLIN"
"131198902021033",92,"FRANKLIN|CARNESVILLE","FRANKLIN|CARNESVILLE"
"131198901011046",0,"FRANKLIN|LAVONIA","FRANKLIN|LAVONIA"
"131198901013022",0,"FRANKLIN|LAVONIA","FRANKLIN|LAVONIA"
"131198904012025",13,"FRANKLIN|CANON","FRANKLIN|CANON"
"131850102033001",31,"LOWNDES|HAHIRA TRAIN DEPOT","LOWNDES|HISTORICAL SOC"
"131850107001032",0,"LOWNDES|NAYLOR","LOWNDES|NAYLOR"
"131850102043062",0,"LOWNDES|NORTHSIDE","LOWNDES|RAINWATER"
"131850116001007",10,"LOWNDES|S LOWNDES","LOWNDES|LAKE PARK"
"132759601001031",25,"THOMAS|MEIGS","THOMAS|MEIGS"
"132759607022026",10,"THOMAS|DOUGLASS","THOMAS|DOUGLASS"
"130490101013005",49,"CHARLTON|WINOKUR","CHARLTON|WINOKUR"
"130099702013013",29,"BALDWIN|BODDIE","BALDWIN|BODDIE"
"130099702013007",90,"BALDWIN|BODDIE","BALDWIN|BODDIE"
"132099503001090",6,"MONTGOMERY|UVALDA","MONTGOMERY|UVALDA PRECINCT"
"131210114301008",365,"FULTON|RW05","FULTON|RW05A"
"131210116271005",0,"FULTON|JC06","FULTON|JC06"
"131210078061008",33,"FULTON|10A","FULTON|10A"
"131210005022036",0,"FULTON|06L1","FULTON|06L1"
"131210001003002",50,"FULTON|06D2","FULTON|06D2"
"132437902002038",2,"RANDOLPH|CUTHBERT/COURTHOUSE","RANDOLPH|CUTHBERT/COURTHOUSE"
"130059701003004",2,"BACON|DOUGLAS","BACON|DOUGLAS"
"131210101211004",107,"FULTON|SS07A","FULTON|SS07A"
"131210013011001",196,"FULTON|02J","FULTON|02J"
"130237903022011",32,"BLECKLEY|1","BLECKLEY|1"
"131370004003022",0,"HABERSHAM|HABERSHAM SOUTH","HABERSHAM|HABERSHAM SOUTH"
"130099705021017",13,"BALDWIN|WEST BALDWIN","BALDWIN|WEST BALDWIN"
"130099706002020",41,"BALDWIN|WEST HARDWICK","BALDWIN|WEST HARDWICK"
"130099708012037",2,"BALDWIN|COOPERS","BALDWIN|COOPERS"
"130099701011014",9,"BALDWIN|EAST BALDWIN","BALDWIN|EAST BALDWIN"
"131739502011077",4,"LANIER|LAKELAND","LANIER|LAKELAND"
"132839602001077",42,"TREUTLEN|ANNEX","TREUTLEN|ANNEX"
"132731202002110",0,"TERRELL|GRAVES","TERRELL|GRAVES"
"131510703072019",77,"HENRY|MCDONOUGH CENTRAL","HENRY|MCDONOUGH CENTRAL"
"131619601023047",15,"JEFF DAVIS|BLACKBURN 1","JEFF DAVIS|BLACKBURN 1"
"130099705012000",11,"BALDWIN|SOUTH MILLEDGEVILLE","BALDWIN|WEST THOMAS"
"130299203033036",0,"BRYAN|RH RECREATION COMPX","BRYAN|FIRST BAPTIST CHURCH"
"130299203051073",59,"BRYAN|J.F.GREGORY PARK","BRYAN|WETLANDS CENTER"
"131210116601002",46,"FULTON|ML05","FULTON|ML05"
"131210005021008",54,"FULTON|06L1","FULTON|06L1"
"131210004001008",0,"FULTON|06R","FULTON|06R"
"131210010021001",0,"FULTON|03P1A","FULTON|03P1A"
"131210101321015",192,"FULTON|SS07C","FULTON|SS07C"
"131210066021012",0,"FULTON|04M","FULTON|04M"
"130099703011005",192,"BALDWIN|MERIWEATHER","BALDWIN|MERIWETHER"
"130099702012001",173,"BALDWIN|NORTH BALDWIN","BALDWIN|NORTH BALDWIN"
"130099705021023",23,"BALDWIN|WEST BALDWIN","BALDWIN|WEST BALDWIN"
"130591509002011",43,"CLARKE|1C","CLARKE|1C"
"132639601001061",8,"TALBOT|VALLEY","TALBOT|VALLEY"
"132639603002001",0,"TALBOT|ONEAL","TALBOT|ONEAL"
"130530201002035",9,"CHATTAHOOCHEE|ACTIVITY CENTER","CHATTAHOOCHEE|ACTIVITY CENTER"
"130550106002004",43,"CHATTOOGA|SUMMERVILLE","CHATTOOGA|SUMMERVILLE"
"130550106002008",25,"CHATTOOGA|SUMMERVILLE","CHATTOOGA|SUMMERVILLE"
"130550103003041",5,"CHATTOOGA|DIRTSELLER","CHATTOOGA|LYERLY"
"130530201001050",22,"CHATTAHOOCHEE|ACTIVITY CENTER","CHATTAHOOCHEE|ACTIVITY CENTER"
"130530201001022",8,"CHATTAHOOCHEE|ACTIVITY CENTER","CHATTAHOOCHEE|ACTIVITY CENTER"
"130311106023002",0,"BULLOCH|CHURCH","BULLOCH|CHURCH"
