"year","st","district","party","candidates","total_votes","leader","leader_votes","leader_share","second","second_share","runoff","runoff_winner","leader_won_runoff","top_two_state"
2006,"MD","6","R",2,57363,"Bartlett, Roscoe G.",45474,79.27,"Krysztoforski, Joseph T.",20.73,FALSE,NA,NA,FALSE
2006,"MD","8","D",2,80533,"Van Hollen, Chris",73544,91.32,"Vollmer, Deborah A.",8.68,FALSE,NA,NA,FALSE
2006,"MD","8","R",3,13171,"Stein, Jeffrey M.",5980,45.4,"Zubairi, Daniel F.",31.9,FALSE,NA,NA,FALSE
2006,"MI","10","D",4,24602,"Denison, Robert",8349,33.94,"Casey, Rob",31.12,FALSE,NA,NA,FALSE
2006,"MI","3","D",2,23084,"Rinck, James R.",11797,51.1,"Hickey, Peter H.",48.9,FALSE,NA,NA,FALSE
2006,"MI","7","D",4,19753,"Renier, Sharon Marie",10402,52.66,"Strack, Fred",17.45,FALSE,NA,NA,FALSE
2006,"MI","7","R",2,62575,"Walberg, Tim",33245,53.13,"Schwarz, Joe",46.87,FALSE,NA,NA,FALSE
2006,"MI","8","R",2,49623,"Rogers, Mike",41839,84.31,"Flynn, Patrick",15.69,FALSE,NA,NA,FALSE
2006,"MI","9","R",2,66924,"Knollenberg, Joe",46713,69.8,"Godchaux, Patricia",30.2,FALSE,NA,NA,FALSE
2006,"MN","1","R",2,28325,"Gutknecht, Gil",24725,87.29,"Mikkelson, Gregory",12.71,FALSE,NA,NA,FALSE
2006,"MN","4","R",2,13710,"Sium, Obi",8802,64.2,"Shepard, Jack",35.8,FALSE,NA,NA,FALSE
2006,"MO","1","R",3,9416,"Byrne, Mark J.",6822,72.45,"Farr, Leslie La Vantres, II",14.74,FALSE,NA,NA,FALSE
2006,"MO","2","D",4,23522,"Weber, George D.",6973,29.64,"Karam, Charles",26.9,FALSE,NA,NA,FALSE
2006,"MO","2","R",2,47061,"Akin, Todd",41464,88.11,"Parker, Sherman",11.89,FALSE,NA,NA,FALSE
2006,"MO","3","D",2,48717,"Carnahan, Russ",37200,76.36,"Frisella, Jim",23.64,FALSE,NA,NA,FALSE
2006,"MO","4","R",4,44733,"Noland, James A. (Jim)",22233,49.7,"Conner, Alan",27.08,FALSE,NA,NA,FALSE
2006,"MO","7","D",3,15038,"Truman, Jack",6896,45.86,"Lapham, Ron",29.06,FALSE,NA,NA,FALSE
2006,"MO","7","R",4,59747,"Blunt, Roy",47758,79.93,"Kinder, Clendon L.",8.7,FALSE,NA,NA,FALSE
2006,"MO","8","D",3,38637,"Hambacker, Veronica J.",15279,39.54,"Curtis, Gene",34.44,FALSE,NA,NA,FALSE
2006,"MS","1","D",4,11201,"Hurt, James K. (Ken)",4159,37.13,"Bambach, William",24.89,TRUE,"Hurt, James K. (Ken)",TRUE,FALSE
2006,"MS","2","D",3,91590,"Thompson, Bennie G.",58941,64.35,"Espy, Chuck",34.84,FALSE,NA,NA,FALSE
2006,"MT","AL","D",2,93354,"Lindeen, Monica J.",66364,71.09,"Gunderson, Eric Jon",28.91,FALSE,NA,NA,FALSE
2006,"NC","11","D",2,40101,"Shuler, Heath",29921,74.61,"Morgan, Michael",25.39,FALSE,NA,NA,FALSE
2006,"NC","11","R",2,34159,"Taylor, Charles H.",27413,80.25,"Armor, John C.",19.75,FALSE,NA,NA,FALSE
2006,"NC","13","R",3,9669,"Robinson, Vernon",6065,62.73,"Sutherland, Charlie",25,FALSE,NA,NA,FALSE
2006,"NC","4","D",3,44291,"Price, David",39637,89.49,"Kanoy, Kent",6.25,FALSE,NA,NA,FALSE
2006,"NC","5","D",4,18369,"Sharpe, Roger",8207,44.68,"Kirkman, Roger N.",27.12,FALSE,NA,NA,FALSE
2006,"NC","8","D",4,24524,"Kissell, Larry",13109,53.45,"Autry, John",18.17,FALSE,NA,NA,FALSE
2006,"NE","1","D",2,32150,"Moul, Maxine B.",22818,70.97,"Wilson, James",29.03,FALSE,NA,NA,FALSE
2006,"NE","2","R",2,63136,"Terry, Lee",52807,83.64,"Laird, Steven",16.36,FALSE,NA,NA,FALSE
2006,"NE","3","R",5,106116,"Smith, Adrian",42010,39.59,"Hanson, John",28.6,FALSE,NA,NA,FALSE
2006,"NH","1","D",5,23009,"Shea-Porter, Carol",12497,54.31,"Craig, ""Jim""",34.53,FALSE,NA,NA,FALSE
2006,"NH","1","R",2,23457,"Bradley, Jeb",20329,86.66,"Callis, Michael",13.34,FALSE,NA,NA,FALSE
2006,"NH","2","R",3,23864,"Bass, Charles",18068,75.71,"Danderson, Robert A.",13.57,FALSE,NA,NA,FALSE
2006,"NJ","13","D",4,61010,"Sires, Albio",24661,40.42,"Sires, Albio",39.69,FALSE,NA,NA,FALSE
