"GEOID20","boe5","pop","pop_black","pop_white","vap","vap_black","vap_white","reg","reg_black","x_km","y_km","area_km2"
"131530202002006",1,57,9,34,52,8,30,10,1,18.6894,38.0757,0.05008
"131530202004031",4,0,0,0,0,0,0,0,0,18.1724,36.9269,0.00967
"131530202004032",4,0,0,0,0,0,0,0,0,18.2862,37.1,0.07954
"131530202004033",1,8,0,5,3,0,0,0,0,18.1463,37.43,0.00423
"131530202004034",1,22,2,18,16,0,14,2,0,18.17,37.6866,0.05634
"131530202004035",1,20,5,11,16,1,11,10,6,18.3442,37.8547,0.02639
"131530202004036",1,20,3,7,15,2,3,2,1,18.3266,37.7577,0.01506
"131530202004037",1,19,2,12,13,0,12,4,0,18.3147,37.6397,0.02887
"131530202004039",1,21,8,11,12,2,8,8,7,17.508,37.2257,0.02248
"131530202004041",4,28,9,7,25,8,5,7,3,18.5532,36.9901,0.06588
"131530202004042",4,0,0,0,0,0,0,0,0,18.7923,36.9174,0.00197
"131530202002007",1,34,2,29,32,2,27,4,2,18.6592,38.2316,0.03054
"131530202002009",1,57,28,20,36,17,16,12,7,19.2745,37.9842,0.03875
"131530202002010",1,38,18,20,36,16,20,27,12,19.3882,37.9926,0.0385
"131530202002011",4,45,27,17,33,18,14,16,8,19.5431,37.9242,0.01741
"131530202002012",4,131,106,18,103,84,12,15,10,19.6168,37.8961,0.04094
"131530202002013",4,40,34,4,34,30,4,0,0,19.7358,37.8679,0.03174
"131530202002014",1,33,13,13,27,11,13,6,2,18.6543,37.8562,0.03279
"131530202003000",4,11,3,6,11,3,6,4,3,19.7115,37.5602,0.07168
"131530202003001",4,276,124,103,199,78,85,66,35,19.3641,37.6203,0.15464
"131530202003002",4,481,241,179,398,174,163,163,91,18.8299,37.3652,0.46554
"131530202003003",4,50,21,13,42,20,8,5,2,18.5832,37.7233,0.03243
"131530202003004",4,40,24,12,33,22,7,28,14,19.211,37.2016,0.00872
"131530202003005",4,81,36,40,68,25,40,16,7,18.9963,37.198,0.02729
"131530202003006",4,85,43,40,63,33,30,28,11,19.121,37.2167,0.02043
"131530202003009",4,144,81,52,115,60,48,5,2,19.5795,37.1115,0.20947
"131530202003010",4,80,58,18,67,46,18,6,4,19.3436,37.2133,0.01879
"131530202003011",4,30,22,5,26,19,5,0,0,19.3057,37.1491,0.01192
"131530202003012",4,65,21,29,56,21,26,79,59,19.1732,36.9992,0.08049
"131530202004000",1,71,45,19,54,37,17,14,9,18.6589,38.4871,0.07774
"131530202004002",1,10,2,7,8,0,7,0,0,18.3188,38.6623,0.00496
"131530202004003",1,0,0,0,0,0,0,0,0,18.1142,38.703,0.00259
"131530202004004",1,37,6,25,33,6,25,19,7,18.3397,38.4551,0.09966
"131530202004005",1,31,20,5,22,14,5,0,0,18.181,38.5995,0.0132
"131530202004007",1,27,13,13,24,10,13,2,1,17.9623,38.6145,0.04081
"131530202004009",1,9,1,2,6,0,0,0,0,17.8359,38.4829,0.00726
"131530202004010",1,179,85,87,141,56,80,51,21,17.8497,37.9735,0.21112
"131530202004011",1,36,11,19,32,11,16,13,8,18.054,37.7886,0.03295
