"fips","spread_pct"
"45033",0.416563
"13001",0.416486
"46065",0.416479
"35037",0.415896
"13059",0.41548
"48271",0.415335
"35011",0.415184
"55079",0.41506
"19119",0.414559
"21075",0.414556
"13285",0.41423
"08089",0.414112
"51009",0.413973
"48329",0.413833
"13233",0.413831
"21169",0.41378
"18009",0.413531
"30057",0.413223
"18007",0.413128
"41069",0.412939
"20029",0.412716
"46093",0.412568
"48373",0.412339
"51049",0.41148
"17069",0.410959
"40023",0.410692
"01127",0.41038
"36111",0.409899
"48233",0.409856
"06073",0.409851
"48005",0.409846
"20049",0.409668
"22089",0.409547
"19071",0.409463
"36053",0.407934
"37141",0.407471
"41029",0.407302
"38035",0.407125
"29085",0.406646
"19133",0.406551
"20021",0.406081
"12131",0.4059
"30049",0.405422
"51570",0.404969
"18113",0.404901
"16037",0.404858
"38071",0.40451
"42105",0.404288
"46107",0.40404
"47071",0.404003
"13199",0.403982
"31099",0.403648
"12071",0.40358
"51157",0.403388
"50003",0.403064
"23019",0.402913
"51023",0.402906
"16079",0.402665
"48125",0.402299
"30093",0.402205
"13065",0.401487
"06041",0.401221
"16077",0.400902
"48043",0.400506
"20145",0.4
"17085",0.399637
"46061",0.39886
"12115",0.3988
"21201",0.398406
"05069",0.397808
"05121",0.397562
"51003",0.39741
"20199",0.396301
"21121",0.396297
"46045",0.395648
"45019",0.395021
"18015",0.394641
"47185",0.394213
"12099",0.393575
"55113",0.39355
"29089",0.393391
"38039",0.393013
"05137",0.392597
"23025",0.391802
"01085",0.39137
"42057",0.391322
"35023",0.391198
"55003",0.391134
"08121",0.390224
"20149",0.390097
"29225",0.390084
"05135",0.390029
"21013",0.389806
"21057",0.389698
"12127",0.389679
"48267",0.389462
"54019",0.389192
"33007",0.388399
"32510",0.388182
"48095",0.388176
"20043",0.388168
"46047",0.387973
"20167",0.387886
"05041",0.387737
"37185",0.387576
"18147",0.387421
"01089",0.3874
"30015",0.387271
"48097",0.386719
"53055",0.386494
"38055",0.386493
"46037",0.386385
"48157",0.386375
"16005",0.385983
"54059",0.385381
"31147",0.385159
"27105",0.385034
"36029",0.384241
"22059",0.383838
"20017",0.383436
"55001",0.383234
"36023",0.382886
"48445",0.382848
"01029",0.382561
"19049",0.38198
"26085",0.381865
"28115",0.381619
"41025",0.381378
"22041",0.38133
"17197",0.381186
"48055",0.381094
"19135",0.381078
"28019",0.380976
"31041",0.380952
"31003",0.380771
"51131",0.380637
"38079",0.380606
"42089",0.380451
"40007",0.380076
"51590",0.379932
"27169",0.379373
"48057",0.37875
"42063",0.378601
"05093",0.378205
"48333",0.37803
"18079",0.378003
"37023",0.377707
"37155",0.377381
"48411",0.377358
"27089",0.377233
"29177",0.376705
"15003",0.37654
"02068",0.375235
"12095",0.374973
"20115",0.374277
"23009",0.374094
"51141",0.373557
"13109",0.373413
"05025",0.372638
"22023",0.372622
"13257",0.372232
"26153",0.372208
"22047",0.372183
"28079",0.371328
"48159",0.371322
"54043",0.371269
"01075",0.371179
"13011",0.370828
"48257",0.370686
"27173",0.370527
"20051",0.370281
"30077",0.370107
"47011",0.369456
"12021",0.369375
"41035",0.369192
"28121",0.36856
"40117",0.367997
"05081",0.367494
"13241",0.367326
"48503",0.367136
"31057",0.366972
"51199",0.366697
"56035",0.366594
"48073",0.366579
"51121",0.366267
"51063",0.366183
"24009",0.365958
"16007",0.365352
"37073",0.365244
"19149",0.365134
"27005",0.364943
"19005",0.364885
"51145",0.3648
"13053",0.364721
"05015",0.364414
"51610",0.364361
"02020",0.362418
"46021",0.362319
"15009",0.361613
"48337",0.361275
"28059",0.361223
"54089",0.361102
"17143",0.360947
"53059",0.360242
"30081",0.359892
"55011",0.359551
"21209",0.359208
"25017",0.358581
"20093",0.358515
"04003",0.358119
"21197",0.357877
"17009",0.356921
"54085",0.356591
"51061",0.356376
"30059",0.356234
"48071",0.356083
"37101",0.355897
"29035",0.355872
"37119",0.355772
"13291",0.355302
"17097",0.355294
"51147",0.355159
"48319",0.35506
"17161",0.354565
"13251",0.354484
"23021",0.354116
"48247",0.354093
"13007",0.353732
"29087",0.35369
"51105",0.353565
"01047",0.353545
"21077",0.353276
"41053",0.353152
"53047",0.352927
"26117",0.352812
"55081",0.352463
"19185",0.352167
"51027",0.352006
"31011",0.351852
"18045",0.351835
"37037",0.351824
"19043",0.351741
"12103",0.35167
"17011",0.351526
"53003",0.351486
"40015",0.351461
"51047",0.351399
"54083",0.351204
"53017",0.351197
"49055",0.350604
"42119",0.350028
"21233",0.349977
"35061",0.349853
"30053",0.349565
"06045",0.348222
"48013",0.348063
"37059",0.347946
"45023",0.347729
"29049",0.34763
"05111",0.347558
"19039",0.347471
"18095",0.347384
"51530",0.347222
"13263",0.347102
"22075",0.346672
"48369",0.346479
"19099",0.345692
"46077",0.345489
"35028",0.345414
"06063",0.345276
"45047",0.345171
"02220",0.344828
"37179",0.344798
"38011",0.344471
"19093",0.34384
"31023",0.343033
"53019",0.342841
"48051",0.342296
"31109",0.34205
"51127",0.341966
"36079",0.341908
"28149",0.341908
"40113",0.341832
"01103",0.341236
"26123",0.34081
"48037",0.340243
"53009",0.340231
"20089",0.339328
"47161",0.339228
"28097",0.339192
"55051",0.339093
"01065",0.338891
"42013",0.338842
"46119",0.338753
"48487",0.337758
"04015",0.337633
"13079",0.337365
"27119",0.336995
"51125",0.336927
"16031",0.336647
"19067",0.336243
"05127",0.33598
"02170",0.335858
"31033",0.335817
"17091",0.335639
"18143",0.335557
"16053",0.335421
"40079",0.335122
"13115",0.335119
"48427",0.3346
"19141",0.334234
"40001",0.333693
"46005",0.333594
"35033",0.333095
"46125",0.333027
"53049",0.332945
"56005",0.332932
"51750",0.332487
"20065",0.332226
"08063",0.330935
"30067",0.330843
"26021",0.33071
"30033",0.330579
"17027",0.330489
"47061",0.330348
"27111",0.330318
"21041",0.330306
"54025",0.330114
"30031",0.329762
"51185",0.32953
"30005",0.328431
"41033",0.328305
"27015",0.328135
"45089",0.328041
"39027",0.327464
"50017",0.327283
"39005",0.32671
"21087",0.326624
"48463",0.326481
"19089",0.326007
"51169",0.325748
"30065",0.325733
"30023",0.325562
"53061",0.325496
"42131",0.325434
"26063",0.325317
"41041",0.325312
"54009",0.325203
"05053",0.325087
"01073",0.324927
"28157",0.324714
"21103",0.324675
"20019",0.324006
"30089",0.323699
"32023",0.323667
"06097",0.323532
"29075",0.323154
"38061",0.323152
"51011",0.323053
"32013",0.322983
"51117",0.322942
"05001",0.322928
"08005",0.322669
"51093",0.322294
"28065",0.322292
"23003",0.322028
"28077",0.321707
"29033",0.321314
"40073",0.321248
"27143",0.320748
"51510",0.320226
"23023",0.319978
"51630",0.319769
"36005",0.319731
"48449",0.319662
"41005",0.319657
"42109",0.319513
"26011",0.31951
"21171",0.31946
"47145",0.319394
"48339",0.318606
"48351",0.318601
"16059",0.318549
"16017",0.318234
"29205",0.317938
"28029",0.317914
"12031",0.317907
"47135",0.317684
"54037",0.317645
"31089",0.317429
"39049",0.316782
"47153",0.316148
"08083",0.316094
"29157",0.316089
"36083",0.316038
"51069",0.31591
"37005",0.31577
"48191",0.315679
"42097",0.315561
"13277",0.315442
"40119",0.314901
"54047",0.314858
"04023",0.314361
"04021",0.314309
"32011",0.314301
"51053",0.314286
"02198",0.313917
"06039",0.313657
"40037",0.312781
"19025",0.312658
"05097",0.312572
"37159",0.312521
"13239",0.312082
"19035",0.311985
"20171",0.31183
"17015",0.311645
"40149",0.311498
"51073",0.311296
"51670",0.311082
"01019",0.311079
"13255",0.31071
"18005",0.310642
"48025",0.310438
"56045",0.310375
"06105",0.310366
"05105",0.310155
"48117",0.310018
"05043",0.30976
"51015",0.309753
"13221",0.309475
"13163",0.309199
"20105",0.309066
"30029",0.308852
"48335",0.30871
"27075",0.30853
"51678",0.308476
"54091",0.308455
"55069",0.308328
"22049",0.30827
"54027",0.308035
"54051",0.307865
"19047",0.307825
"40095",0.307811
"48453",0.307749
"42125",0.307449
"42043",0.307334
"38103",0.307298
"01033",0.30702
"17169",0.306883
"18171",0.306785
"45065",0.306686
"48317",0.306279
"40031",0.306277
"29139",0.305677
"37089",0.305495
"22055",0.305365
"30085",0.304963
"36117",0.304821
"04012",0.304729
"51031",0.304548
"17113",0.304531
"42027",0.304415
"22035",0.303783
"37085",0.303752
"30001",0.30357
"13185",0.303498
"01061",0.303359
"27159",0.303158
"26113",0.30311
"28101",0.30303
"21019",0.30272
"18137",0.302603
"06095",0.302402
"50007",0.302284
"12105",0.302063
"12109",0.302026
"46102",0.301781
"37109",0.301309
"28075",0.301021
"23005",0.300831
"20091",0.300455
"13099",0.300441
"18075",0.300359
"02122",0.300265
"27045",0.299977
"17001",0.299314
"48199",0.299244
"48347",0.299097
"19027",0.298738
"48009",0.29861
"04019",0.297995
"19029",0.29796
"55091",0.297861
"36067",0.297315
"28049",0.297289
"26009",0.29727
"55065",0.297018
"48027",0.296785
"17177",0.296702
"51087",0.296521
"47005",0.296119
"22103",0.29609
"24021",0.296081
"21149",0.295826
"29203",0.295525
"39019",0.295327
"51107",0.29497
"17043",0.294841
"23029",0.294749
"31129",0.294695
"31175",0.294551
"21005",0.294532
"19019",0.29443
"31161",0.294406
"37149",0.294207
"54087",0.294139
"12041",0.294118
"55137",0.294023
"48293",0.293785
"51191",0.293719
"47057",0.29371
"21217",0.293501
"20187",0.293255
"40133",0.292782
"19077",0.292508
"17049",0.292491
"01015",0.292312
"36009",0.292237
"21219",0.292184
"05067",0.291476
"19143",0.291404
"28025",0.291341
"51065",0.291325
"41009",0.291195
"29181",0.291134
"19147",0.291088
"42005",0.291041
"18057",0.291033
"05129",0.291029
"41007",0.290947
"35029",0.289832
"45003",0.289598
"13249",0.289597
"26131",0.28951
"48001",0.289374
"46089",0.289256
"29141",0.289166
"41061",0.289105
"54103",0.288509
"13215",0.2884
"55009",0.288214
"08055",0.288184
"21069",0.288184
"41023",0.287947
"32005",0.287919
"51820",0.28742
"56031",0.287389
"04011",0.287112
"27077",0.287056
"47115",0.286602
"41027",0.286378
"06001",0.286251
"12086",0.286247
"21211",0.286008
"53005",0.285813
"28145",0.285378
"51079",0.285334
"12043",0.285272
"48363",0.285138
"46129",0.285117
"53077",0.285083
"18055",0.285029
"54109",0.285022
"40107",0.285002
"37113",0.284847
"56043",0.284716
"30063",0.284465
"37125",0.284311
"26129",0.283859
"39091",0.283759
"13317",0.283733
"29017",0.283393
"47105",0.283286
"48139",0.282899
"22093",0.282857
"42059",0.282733
"17133",0.282607
"48093",0.282322
"26015",0.281779
"36015",0.28171
"38073",0.281541
"38053",0.281426
"47107",0.281174
"45079",0.280894
"19197",0.280789
"26139",0.280789
"27167",0.28068
"16003",0.280656
"45067",0.280617
"19081",0.280557
"47149",0.280537
"19159",0.280233
"21137",0.279893
"22109",0.279783
"08001",0.27941
"41067",0.279339
"18125",0.279192
"51580",0.279183
"48121",0.279154
"26157",0.278903
"22037",0.278738
"06005",0.278727
"21139",0.278272
"38069",0.278199
"22011",0.278035
"54015",0.277988
"48405",0.277708
"37047",0.277489
"30041",0.277435
"27153",0.276603
"47075",0.276602
"21237",0.27654
"13039",0.275897
"50027",0.275888
"29015",0.27551
"39001",0.275472
"27171",0.275397
"18101",0.275314
"27053",0.275225
"41051",0.275077
"48209",0.274502
"51149",0.274431
"29021",0.27429
"05013",0.274204
"13131",0.273941
"01101",0.273926
"12081",0.27378
"51033",0.273728
"48491",0.273577
"22063",0.273542
"37031",0.273538
"40085",0.273331
"28161",0.273246
"20103",0.273028
"49027",0.272727
"31159",0.272681
"19167",0.27229
