"mode","house","senate","n","share"
"separate",260,49,94,0.0047
"separate",264,49,86,0.0043
"separate",268,49,73,0.00365
"separate",272,49,51,0.00255
"separate",276,49,51,0.00255
"separate",280,49,28,0.0014
"separate",284,49,18,0.0009
"separate",288,49,18,0.0009
"separate",292,49,7,0.00035
"separate",296,49,18,0.0009
"separate",300,49,14,0.0007
"separate",304,49,5,0.00025
"separate",308,49,6,0.0003
"separate",312,49,1,0.00005
"separate",316,49,1,0.00005
"separate",332,49,2,0.0001
"separate",156,50,1,0.00005
"separate",172,50,4,0.0002
"separate",176,50,2,0.0001
"separate",180,50,2,0.0001
"separate",184,50,4,0.0002
"separate",188,50,7,0.00035
"separate",192,50,10,0.0005
"separate",196,50,17,0.00085
"separate",200,50,14,0.0007
"separate",204,50,23,0.00115
"separate",208,50,57,0.00285
"separate",212,50,43,0.00215
"separate",216,50,74,0.0037
"separate",220,50,92,0.0046
"separate",224,50,107,0.00535
"separate",228,50,142,0.0071
"separate",232,50,146,0.0073
"separate",236,50,167,0.00835
"separate",240,50,174,0.0087
"separate",244,50,156,0.0078
"separate",248,50,164,0.0082
"separate",252,50,133,0.00665
"separate",256,50,118,0.0059
"separate",260,50,110,0.0055
"separate",264,50,83,0.00415
"separate",268,50,77,0.00385
"separate",272,50,68,0.0034
"separate",276,50,52,0.0026
"separate",280,50,41,0.00205
"separate",284,50,39,0.00195
"separate",288,50,19,0.00095
"separate",292,50,25,0.00125
"separate",296,50,12,0.0006
"separate",300,50,16,0.0008
"separate",304,50,9,0.00045
"separate",308,50,5,0.00025
"separate",312,50,3,0.00015
"separate",320,50,3,0.00015
"separate",324,50,1,0.00005
"separate",168,51,1,0.00005
"separate",172,51,2,0.0001
"separate",180,51,3,0.00015
"separate",184,51,2,0.0001
"separate",188,51,5,0.00025
"separate",192,51,7,0.00035
"separate",196,51,14,0.0007
"separate",200,51,18,0.0009
"separate",204,51,33,0.00165
"separate",208,51,36,0.0018
"separate",212,51,48,0.0024
"separate",216,51,78,0.0039
"separate",220,51,97,0.00485
"separate",224,51,126,0.0063
"separate",228,51,142,0.0071
"separate",232,51,163,0.00815
"separate",236,51,172,0.0086
"separate",240,51,175,0.00875
"separate",244,51,168,0.0084
"separate",248,51,167,0.00835
"separate",252,51,144,0.0072
"separate",256,51,150,0.0075
"separate",260,51,110,0.0055
"separate",264,51,102,0.0051
"separate",268,51,105,0.00525
"separate",272,51,73,0.00365
"separate",276,51,51,0.00255
"separate",280,51,44,0.0022
"separate",284,51,37,0.00185
"separate",288,51,17,0.00085
"separate",292,51,26,0.0013
"separate",296,51,13,0.00065
"separate",300,51,7,0.00035
"separate",304,51,6,0.0003
"separate",308,51,3,0.00015
"separate",312,51,3,0.00015
"separate",316,51,3,0.00015
"separate",320,51,1,0.00005
"separate",324,51,2,0.0001
"separate",172,52,1,0.00005
"separate",176,52,3,0.00015
"separate",184,52,1,0.00005
"separate",188,52,7,0.00035
"separate",192,52,11,0.00055
"separate",196,52,19,0.00095
"separate",200,52,20,0.001
"separate",204,52,27,0.00135
"separate",208,52,32,0.0016
"separate",212,52,55,0.00275
"separate",216,52,70,0.0035
"separate",220,52,82,0.0041
"separate",224,52,120,0.006
"separate",228,52,132,0.0066
"separate",232,52,168,0.0084
"separate",236,52,172,0.0086
"separate",240,52,168,0.0084
"separate",244,52,149,0.00745
"separate",248,52,170,0.0085
"separate",252,52,137,0.00685
"separate",256,52,137,0.00685
"separate",260,52,111,0.00555
"separate",264,52,92,0.0046
"separate",268,52,73,0.00365
"separate",272,52,60,0.003
"separate",276,52,58,0.0029
"separate",280,52,40,0.002
"separate",284,52,40,0.002
"separate",288,52,13,0.00065
"separate",292,52,22,0.0011
"separate",296,52,20,0.001
"separate",300,52,10,0.0005
"separate",304,52,10,0.0005
"separate",308,52,6,0.0003
"separate",312,52,6,0.0003
"separate",316,52,6,0.0003
"separate",320,52,1,0.00005
"separate",324,52,3,0.00015
"separate",156,53,1,0.00005
"separate",180,53,3,0.00015
"separate",184,53,3,0.00015
"separate",188,53,7,0.00035
"separate",192,53,6,0.0003
"separate",196,53,11,0.00055
"separate",200,53,25,0.00125
"separate",204,53,22,0.0011
"separate",208,53,38,0.0019
"separate",212,53,57,0.00285
"separate",216,53,70,0.0035
"separate",220,53,81,0.00405
"separate",224,53,92,0.0046
"separate",228,53,155,0.00775
"separate",232,53,150,0.0075
"separate",236,53,155,0.00775
"separate",240,53,157,0.00785
"separate",244,53,142,0.0071
"separate",248,53,173,0.00865
"separate",252,53,125,0.00625
"separate",256,53,123,0.00615
"separate",260,53,110,0.0055
"separate",264,53,84,0.0042
"separate",268,53,83,0.00415
"separate",272,53,70,0.0035
"separate",276,53,54,0.0027
"separate",280,53,43,0.00215
"separate",284,53,32,0.0016
"separate",288,53,11,0.00055
"separate",292,53,20,0.001
"separate",296,53,10,0.0005
"separate",300,53,8,0.0004
"separate",304,53,1,0.00005
"separate",308,53,8,0.0004
"separate",312,53,4,0.0002
"separate",316,53,3,0.00015
"separate",320,53,1,0.00005
"separate",324,53,1,0.00005
"separate",328,53,2,0.0001
"separate",332,53,1,0.00005
"separate",336,53,2,0.0001
"separate",352,53,1,0.00005
"separate",156,54,1,0.00005
"separate",176,54,2,0.0001
"separate",184,54,4,0.0002
"separate",188,54,6,0.0003
"separate",192,54,6,0.0003
"separate",196,54,9,0.00045
"separate",200,54,14,0.0007
"separate",204,54,23,0.00115
"separate",208,54,24,0.0012
"separate",212,54,44,0.0022
"separate",216,54,43,0.00215
"separate",220,54,75,0.00375
"separate",224,54,105,0.00525
"separate",228,54,82,0.0041
"separate",232,54,87,0.00435
"separate",236,54,133,0.00665
"separate",240,54,126,0.0063
"separate",244,54,142,0.0071
"separate",248,54,126,0.0063
"separate",252,54,109,0.00545
"separate",256,54,103,0.00515
"separate",260,54,82,0.0041
"separate",264,54,59,0.00295
"separate",268,54,59,0.00295
"separate",272,54,50,0.0025
"separate",276,54,32,0.0016
"separate",280,54,26,0.0013
"separate",284,54,22,0.0011
"separate",288,54,8,0.0004
"separate",292,54,8,0.0004
"separate",296,54,16,0.0008
"separate",300,54,6,0.0003
"separate",304,54,3,0.00015
"separate",308,54,10,0.0005
