GEOID,state,city,grade,total,white,black,pct_black
06037197700,CA,Los Angeles,D,4565,1081,176,3.86
06037199201,CA,Los Angeles,D,3584,436,86,2.4
06037199202,CA,Los Angeles,D,2785,581,57,2.05
06037199400,CA,Los Angeles,D,4470,756,57,1.28
06037199801,CA,Los Angeles,D,3036,369,43,1.42
06037199802,CA,Los Angeles,D,2144,216,12,0.56
06037201200,CA,Los Angeles,D,2362,452,25,1.06
06037201301,CA,Los Angeles,D,3409,704,94,2.76
06037201501,CA,Los Angeles,C,4974,853,69,1.39
06037201503,CA,Los Angeles,C,3059,534,62,2.03
06037201504,CA,Los Angeles,C,2254,410,30,1.33
06037201601,CA,Los Angeles,C,2183,384,33,1.51
06037201602,CA,Los Angeles,C,2686,572,30,1.12
06037201700,CA,Los Angeles,C,5055,1049,391,7.73
06037203100,CA,Los Angeles,D,4688,723,95,2.03
06037203200,CA,Los Angeles,D,4264,684,43,1.01
06037203300,CA,Los Angeles,D,2280,412,291,12.76
06037203500,CA,Los Angeles,D,2751,388,57,2.07
06037203601,CA,Los Angeles,D,2662,285,22,0.83
06037203602,CA,Los Angeles,D,2124,314,35,1.65
06037203710,CA,Los Angeles,D,3087,402,21,0.68
06037203720,CA,Los Angeles,D,3580,482,63,1.76
06037203800,CA,Los Angeles,D,4502,646,49,1.09
06037203900,CA,Los Angeles,D,2611,408,19,0.73
06037204110,CA,Los Angeles,D,2811,398,14,0.5
06037204120,CA,Los Angeles,D,2368,382,22,0.93
06037204200,CA,Los Angeles,D,3393,481,68,2.0
06037204300,CA,Los Angeles,D,4433,638,40,0.9
06037204410,CA,Los Angeles,D,2174,280,37,1.7
06037204420,CA,Los Angeles,D,2870,503,90,3.14
06037204600,CA,Los Angeles,D,3740,642,77,2.06
06037204700,CA,Los Angeles,D,4632,772,22,0.47
06037204810,CA,Los Angeles,D,5166,770,66,1.28
06037204820,CA,Los Angeles,D,2055,337,9,0.44
06037204910,CA,Los Angeles,D,3184,611,48,1.51
06037204920,CA,Los Angeles,D,2537,399,38,1.5
06037205110,CA,Los Angeles,D,3850,442,30,0.78
06037205120,CA,Los Angeles,D,3858,525,115,2.98
06037206050,CA,Los Angeles,D,2312,422,127,5.49
06037206053,CA,Los Angeles,D,3261,499,124,3.8
06037206054,CA,Los Angeles,D,2670,294,28,1.05
06037207103,CA,Los Angeles,D,2099,246,109,5.19
06037207400,CA,Los Angeles,D,2002,847,441,22.03
06037207501,CA,Los Angeles,D,2489,858,277,11.13
06037207502,CA,Los Angeles,D,4113,1056,556,13.52
06037207711,CA,Los Angeles,D,2280,934,283,12.41
06037208001,CA,Los Angeles,D,2494,524,282,11.31
06037208002,CA,Los Angeles,D,4113,862,218,5.3
06037208301,CA,Los Angeles,C,1878,180,29,1.54
06037208302,CA,Los Angeles,D,4560,685,516,11.32
06037208401,CA,Los Angeles,C,3832,365,74,1.93
06037208402,CA,Los Angeles,D,2590,415,73,2.82
06037208501,CA,Los Angeles,D,2283,384,71,3.11
06037208502,CA,Los Angeles,C,3540,523,145,4.1
06037208610,CA,Los Angeles,D,3878,477,166,4.28
06037208620,CA,Los Angeles,D,4052,555,266,6.56
06037208710,CA,Los Angeles,C,4147,463,225,5.43
06037208802,CA,Los Angeles,C,2942,541,263,8.94
06037208903,CA,Los Angeles,C,3888,410,136,3.5
06037208904,CA,Los Angeles,C,3882,370,146,3.76
06037209103,CA,Los Angeles,C,3079,296,132,4.29
06037209104,CA,Los Angeles,C,2380,337,183,7.69
06037209105,CA,Los Angeles,C,2665,195,136,5.1
06037209202,CA,Los Angeles,C,1234,170,91,7.37
06037209300,CA,Los Angeles,D,4712,877,372,7.89
06037209401,CA,Los Angeles,D,4163,556,366,8.79
06037209402,CA,Los Angeles,D,4056,360,177,4.36
06037209403,CA,Los Angeles,D,3850,450,298,7.74
06037209510,CA,Los Angeles,D,2813,285,160,5.69
06037209520,CA,Los Angeles,D,2648,296,108,4.08
