client,registrant,client_state,amount,n_issues,n_lobbyists
AMERICAN MEDICAL REHABILITATION PROVIDER ASSOCIATION,MCDERMOTT+ LLC,DC,75000,2,5
PERDUE FOODS LLC,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),MD,30000,1,1
BAXTER INTERNATIONAL,MCDERMOTT+ LLC,DC,30000,2,1
ENVISION HEALTHCARE,MCDERMOTT+ LLC,TN,30000,2,2
EPIC SYSTEMS,MCDERMOTT+ LLC,WI,20000,1,1
"RENRE NORTH AMERICA HOLDINGS, INC.","RENRE NORTH AMERICA HOLDINGS, INC",DC,40000,2,1
MDVIP,MCDERMOTT+ LLC,FL,30000,2,1
FEDERATION OF STATE MEDICAL BOARDS,FEDERATION OF STATE MEDICAL BOARDS,DC,90000,2,2
ST REGIS MOHAWK TRIBE,HOLLAND & KNIGHT LLP,NY,50000,4,4
RETLIF TESTING LABS,"THE GRIFFIN GROUP GLOBAL, LLC",NY,0,4,1
"BA SECURITIES, LLC","ADVANCED POLICY CONSULTING, LLC",PA,20000,1,1
"ASPEN CONSULTING SERVICE, LLC ON BEHALF OF KERECIS, INC.",MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),GA,50000,1,2
INVESTMENT COMPANY INSTITUTE (ICI),"ADVANCED POLICY CONSULTING, LLC",DC,20000,3,1
"INSIGHTEC, LTD.",MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),TX,30000,1,2
OREGON DEPARTMENT OF CONSUMER AND BUSINESS SERVICES,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),OR,30000,1,1
MANUFACTURED HOUSING INSTITUTE (MHI),"ADVANCED POLICY CONSULTING, LLC",VA,20000,2,1
UNITED NETWORK FOR ORGAN SHARING (UNOS),MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),VA,70000,1,4
PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA (PHRMA),"ADVANCED POLICY CONSULTING, LLC",DC,40000,1,1
GOODCELL,"ADVANCED POLICY CONSULTING, LLC",MA,0,2,1
KINGSBERRY FUEL CELL POWER CORPORATION,"ADVANCED POLICY CONSULTING, LLC",MI,20000,1,1
ATA ACTION,"ADVANCED POLICY CONSULTING, LLC",VA,20000,2,1
DECLASSIFY UAP LLC,DECLASSIFY UAP LLC,MD,0,4,1
NATIONAL ASSOCIATION OF DEVELOPMENT COMPANIES,NATIONAL ASSOCIATION OF DEVELOPMENT COMPANIES,DC,56009,1,1
SAP AMERICA INC,"ETHERTON AND ASSOCIATES, INC.",,40000,2,1
AMERICAN SUGARBEET GROWERS ASSOCIATION,AMERICAN SUGARBEET GROWERS ASSOCIATION,DC,130000,5,2
ODYS AVIATION,DUNE RIDGE ADVISORS,CA,25000,1,1
INTERNEWS,ANTHONY GARRETT & ASSOCIATES,DC,0,1,1
"SHIPT, INC.","SHIPT, INC.",AL,0,1,1
ARKANSAS RESEARCH ALLIANCE,IMPACT MANAGEMENT GROUP,AR,0,2,1
AMERICAN ASSOCIATION OF PORT AUTHORITIES,AMERICAN ASSOCIATION OF PORT AUTHORITIES,DC,322750,7,4
MARQUETTE UNIVERSITY,MARQUETTE UNIVERSITY,WI,20000,4,1
HARDWOOD FEDERATION,HARDWOOD FEDERATION,DC,37000,6,2
SABINE NECHES,KENT CAPERTON CONSULTING,TX,15000,1,1
"BALTIMORE URBAN REVITALIZATION, LLC",MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),NY,40000,3,3
TEXAS A&M UNIVERSITY SYSTEM,KENT CAPERTON CONSULTING,DC,22500,3,1
DEVRY UNIVERSITY,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),IL,40000,1,1
HILLSIDE ATLANTA,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),GA,20000,2,2
ORGANIC FARMERS ASSOCIATION,LILLIAN HAWKINS,IA,0,1,1
MARYMOUNT UNIVERSITY,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),VA,20000,1,3
CARPI & CLAY INC ON BEHALF OF MARIN COUNTY TRANSIT DISTRICT,O'HARE INFRASTRUCTURE STRATEGIES LLC,DC,10000,1,1
THE LEAVEN GROUP LLC,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),GA,10000,2,2
"CITY OF WESTMINSTER, COLORADO",SQUIRE PATTON BOGGS,CO,30000,1,1
COMMERCE CITY,SQUIRE PATTON BOGGS,CO,20000,1,1
EXXON MOBIL CORPORATION,PENN AVENUE PARTNERS,TX,30000,3,3
"CHARTER COMMUNICATIONS, INC.",PENN AVENUE PARTNERS,CT,50000,1,1
"POLARIS INDUSTRIES, INC.","ADVANCED POLICY CONSULTING, LLC",MN,30000,5,1
UNIVERSITY OF RHODE ISLAND,UNIVERSITY OF RHODE ISLAND,RI,60000,2,1
DENVER WATER,SQUIRE PATTON BOGGS,CO,20000,1,1
AMERICANS UNITED FOR SEPARATION OF CHURCH AND STATE,AMERICANS UNITED FOR SEPARATION OF CHURCH AND STATE,DC,121598,2,1
IOWA STUDENT LOAN LIQUIDITY CORPORATION,POLICYWORKS,IA,16500,1,1
HEALTH-E COMMERCE INCLUDING SUBSIDIARIES,"ADVANCED POLICY CONSULTING, LLC",NY,40000,2,1
"CENTRAL ARKANSAS RADIATION THERAPY INSTITUTE, INC.",IMPACT MANAGEMENT GROUP,AR,0,2,1
OMAHA PUBLIC POWER DISTRICT (OPPD),"ADVANCED POLICY CONSULTING, LLC",NE,20000,6,1
GREEN PLAINS,GREEN PLAINS INC.,NE,50000,8,1
GULF ENERGY ALLIANCE,HOLLAND & KNIGHT LLP,TX,80000,1,2
POWER & COMMUNICATIONS CONTRACTORS ASSOC. (PCCA),MR. JAIME STEVE,VA,30000,3,2
AMERICAN CEMENT ASSOCIATION (FORMERLY KNOWN AS PORTLAND CEMENT ASSOCIATION),"ADVANCED POLICY CONSULTING, LLC",IL,20000,4,1
CALIFORNIA MANUFACTURING TECHNOLOGY CONSULTING,HOLLAND & KNIGHT LLP,CA,10000,1,1
AMERICAN PIPELINE CONTRACTORS ASSOCIATION,MR. JAIME STEVE,MD,30000,1,2
CONVENIENCE DISTRIBUTION ASSOCIATION,"THOMAS A. BRIANT, P.A.",VA,0,2,1
NATIONAL UTILITY CONTRACTORS ASSOCIATION,MR. JAIME STEVE,VA,30000,1,2
HERMEUS CORPORATION,HOLLAND & KNIGHT LLP,GA,50000,1,3
STATE TECHNICAL COLLEGE OF MISSOURI,MR. JAIME STEVE,MO,20000,1,2
WASDA - WATER AND SEWER DISTRIBUTORS ASSOC.,MR. JAIME STEVE,IL,0,1,2
"PACIFIC DEFENSE STRATEGIES, INC.",HOLLAND & KNIGHT LLP,CA,50000,1,2
"SUMMIT RIDGE ENERGY, LLC","ADVANCED POLICY CONSULTING, LLC",VA,30000,2,1
AMERICAN MOSQUITO CONTROL ASSOCIATION,"THE NORMANDY GROUP, LLC",CA,10000,1,3
WATERAID AMERICA,HOLLAND & KNIGHT LLP,NY,20000,1,2
"WHITE CANE, INC. DBA TELEIDOSCOPE",HOLLAND & KNIGHT LLP,CA,50000,1,5
"YELP, INC.",DENTONS US LLP,CA,40000,1,2
DANAHER CORPORATION,DENTONS US LLP,DC,60000,1,2
"HEALTH SUPPLY US, LLC","THE LIVINGSTON GROUP, LLC",NC,60000,1,3
PHARMACEUTICAL INDUSTRY LABOR MANAGEMENT ASSOCIATION (PILMA,DENTONS US LLP,VA,50000,1,3
INNOVATIVE VACCINE TECHNOLOGIES,"THE LIVINGSTON GROUP, LLC",UT,30000,2,3
CRYSTALLEX,FOCUS DC LLC,,30000,1,1
GOOGLE CLIENT SERVICES LLC,FOCUS DC LLC,DC,30000,2,1
"PPC BROADBAND, INC.",FOCUS DC LLC,NY,30000,1,1
"REVOLUTION CORPORATE SERVICES, INC.",FOCUS DC LLC,DC,30000,3,1
STARKEY HEARING TECHNOLOGIES,FOCUS DC LLC,MN,20000,2,1
ORACLE CORPORATION,"THE LIVINGSTON GROUP, LLC",DC,80000,1,3
RONALD MCDONALD HOUSE OF CHARLESTON,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),SC,20000,2,2
AFRICAN COALITION FOR TRADE,"RYBERG AND SMITH, L.L.C.",DC,5000,1,1
FULTON COUNTY,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),GA,30000,2,2
MAURITIUS SUGAR SYNDICATE AND MAURITIUS CHAMBER OF AGRICULTURE,"RYBERG AND SMITH, L.L.C.",,0,2,1
CTIA-THE WIRELESS ASSOCIATION,"MINTZ LEVIN COHN FERRIS GLOVSKY AND POPEO, P.C.",DC,60000,1,1
FUTURE OF LIFE INSTITUTE,DENTONS US LLP,CA,90000,1,3
"MAURITIUS-U.S. BUSINESS ASSOCIATION, INC.","RYBERG AND SMITH, L.L.C.",DC,0,1,1
INTERNATIONAL SUGAR TRADE COALITION,"RYBERG AND SMITH, L.L.C.",DC,0,2,1
CBI SUGAR GROUP,"RYBERG AND SMITH, L.L.C.",,0,2,1
CHESTER COUNTY WASTEWATER RECOVERY,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),SC,20000,3,2
FLORIDA CRYSTALS CORP.,"RYBERG AND SMITH, L.L.C.",DC,0,1,1
WEBMYERS CONSTRUCTION,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),GA,20000,1,4
"THE GEORGIA AQUARIUM, INC.",DENTONS US LLP,GA,10000,1,1
"DUPAGE COUNTY, IL",MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),IL,0,3,3
VILLAGE OF FRANKLIN PARK,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),IL,10000,4,1
"COUNTY OF LAKE, ILLINOIS",MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),IL,10000,3,2
"WRITERS GUILD OF AMERICA, WEST","FORSCEY, PLLC",CA,30000,4,2
NORTHERN MORAINE WASTEWATER RECLAMATION DISTRICT,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),IL,10000,1,1
VILLAGE OF EVERGREEN PARK,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),IL,10000,3,1
NORTHEAST OHIO REGIONAL SEWER DISTRICT,NORTHEAST OHIO REGIONAL SEWER DISTRICT,OH,0,3,1
BAYCARE HEALTH SYSTEM,RED+BLUE STRATEGIES,FL,60000,2,2
"STELLA-JONES CORPORATION (FORMERLY KNOWN AS MCFARLAND CASCADE HOLDINGS, INC.)","STELLA-JONES CORPORATION (FORMERLY KNOWN AS MCFARLAND CASCADE HOLDINGS, INC.)",WA,0,3,1
"ATHENAHEALTH, INC.","ATHENAHEALTH, INC.",MA,60000,1,2
TIKTOK INC.,DENTONS US LLP,CA,120000,1,2
"EKLUTNA, INC.","ALASKA NATIVE CHAMBER, LLC",AK,10000,2,1
NATIONAL PARTNERSHIP FOR HOSPICE INNOVATION,HEALTHSPERIEN,DC,15000,2,2
CINCINNATI BELL INC (DBA ALTAFIBER) AND ITS SUBSIDIARIES,CINCINNATI BELL INC (DBA ALTAFIBER) AND ITS SUBSIDIARIES,OH,10000,1,1
NORTH CENTRAL MONTANA REGIONAL WATER SYSTEM PROJECT,YELLOWSTONE STRATEGIES,MT,18750,1,1
LOWER YELLOWSTONE IRRIGATION PROJECT,YELLOWSTONE STRATEGIES,MT,10500,1,1
EUROPEAN BANKING FEDERATION - EBF,EUROPEAN BANKING FEDERATION - EBF,,8000,2,2
AMAZON.COM SERVICES LLC,HOLLAND & KNIGHT LLP,DC,20000,1,1
AGNC INVESTMENT CORP.,HOLLAND & KNIGHT LLP,MD,30000,1,1
COUNCIL FOR AFFORDABLE AND RURAL HOUSING,HOLLAND & KNIGHT LLP,VA,40000,3,1
DELAWARE NORTH,HOLLAND & KNIGHT LLP,NY,30000,2,1
NIAGARA FRONTIER TRANSPORTATION AUTHORITY,HOLLAND & KNIGHT LLP,NY,30000,1,3
KOCHO ANGJUSHEV,RESEARCH SERVICE BUREAU,,0,1,4
NATIONAL TRUCK EQUIPMENT ASSOCIATION,NATIONAL TRUCK EQUIPMENT ASSOCIATION,DC,40000,2,1
THE INDEPENDENCE FUND,TWO BRANCH STRATEGIES,NC,40000,1,1
T-MOBILE USA INC,"THE MAJORITY GROUP, LLC",DC,30000,1,1
SHORELIGHT EDUCATION,"THE MAJORITY GROUP, LLC",MA,90000,3,4
"EXPANSION FUNDING PARTNERS, LLC","THE MAJORITY GROUP, LLC",IL,260000,1,2
CONNECTED COMMERCE COUNCIL,"THE MAJORITY GROUP, LLC",SC,150000,1,3
CBC NATIONAL BANK MORTGAGE,"THE MAJORITY GROUP, LLC",UT,120000,2,4
"SOLVAY AMERICA, INC.","THE MAJORITY GROUP, LLC",TX,50000,2,3
NATIONAL ORGANIZATION FOR THE REFORM OF MARIJUANA LAWS,NATIONAL ORGANIZATION FOR THE REFORM OF MARIJUANA LAWS,DC,10000,1,1
"HOUSE CANARY, INC.","THE MAJORITY GROUP, LLC",CA,50000,1,4
CLICK N' CLOSE (FORMERLY MID AMERICA MORTGAGE),"THE MAJORITY GROUP, LLC",TX,20000,1,3
NATIONSTAR MORTGAGE,"THE MAJORITY GROUP, LLC",TX,30000,1,2
"THE AMHERST GROUP, LLC","THE MAJORITY GROUP, LLC",TX,55000,1,3
UNITED FIDELITY FUNDING CORPORATION,"THE MAJORITY GROUP, LLC",MO,10000,1,1
"SUPERIOR OPTICAL LAB, INC.","THE MAJORITY GROUP, LLC",MS,30000,1,2
DEVELOPERS ALLIANCE,"THE MAJORITY GROUP, LLC",DC,60000,1,1
"PENNYMAC LOAN SERVICES, LLC","THE MAJORITY GROUP, LLC",CA,90000,1,2
"SHARX, LLC","THE MAJORITY GROUP, LLC",MO,65000,1,1
OWENS CORNING,OWENS CORNING,DC,150000,4,2
INSTITUTE FOR RESPONSIVE GOVERNMENT,"MANATT, PHELPS, AND PHILLIPS",IL,20000,1,1
GAS TECHNOLOGY INSTITUTE,GAS TECHNOLOGY INSTITUTE,DC,60000,2,1
XYLEM INC.,XYLEM INC.,NY,140000,7,1
NATIONAL COMMUNITY ACTION AGENCY,DAVID A. BRADLEY,DC,61500,2,1
ADVOCATES FOR HIGHWAY AND AUTO SAFETY,ADVOCATES FOR HIGHWAY AND AUTO SAFETY,DC,68987,3,2
AMERICAS STYRENICS,THE VOGEL GROUP,TX,48000,3,2
"ARRL, THE NATIONAL TRADE ASSOCIATION FOR AMATEUR RADIO",THE VOGEL GROUP,CT,30000,2,3
PLASTICS INDUSTRY ASSOCIATION,THE VOGEL GROUP,DC,57000,1,3
PIKE,THE VOGEL GROUP,NC,22500,1,2
LAS VEGAS SANDS CORPORATION,THE VOGEL GROUP,NV,37500,1,1
MASON CONTRACTORS ASSOCIATION OF AMERICA,THE VOGEL GROUP,IL,18500,1,2
NATIONAL REAL ESTATE INVESTORS ASSOCIATION,THE VOGEL GROUP,OH,0,2,4
REFRACTION ASSET MANAGEMENT LTD.,THE VOGEL GROUP,,60200,2,4
ENVIRONMENTAL LAW AND POLICY CENTER,"ALEXANDER, BOROVICKA & O'SHEA GOVERNMENT SOLUTIONS (FKA ALEXANDER & BOROVICKA GO",IL,20000,1,2
UNITED BROTHERHOOD OF CARPENTERS,THE VOGEL GROUP,DC,15000,2,1
"MCLANE COMPANY, INC.","ALEXANDER, BOROVICKA & O'SHEA GOVERNMENT SOLUTIONS (FKA ALEXANDER & BOROVICKA GO",TX,30000,1,1
CLEMSON UNIVERSITY,CDB PROJX LLC,SC,0,1,1
NATIONAL FRAGILE X FOUNDATION,WATKINS & EAGER PLLC,VA,15000,3,1
THORN RUN PARTNERS ON BEHALF OF CLEMSON UNIVERSITY,CDB PROJX LLC,DC,12000,2,1
AARP,WATKINS & EAGER PLLC,CA,37500,2,1
TZEDEK ASSOCIATION,THE VOGEL GROUP,NY,7600,1,3
"NATCHEZ, INC.",WATKINS & EAGER PLLC,MS,15000,1,2
AMERICAN HELLENIC INSTITUTE,"WASHINGTON & MADISON, LLC",DC,6000,1,1
MAX SCHACHTER,THE VOGEL GROUP,FL,0,1,3
CITY OF CLINTON,WATKINS & EAGER PLLC,MS,30000,1,2
ABBOTT,MCDERMOTT+ LLC,CA,40000,2,1
FORREST-LAMAR ALLIANCE,WATKINS & EAGER PLLC,MS,22500,1,2
GLOBAL HERITAGE ALLIANCE,"WASHINGTON & MADISON, LLC",DC,6000,2,1
ALLIANCE FOR RURAL HOSPITAL ACCESS,MCDERMOTT+ LLC,DC,70000,2,3
CITY OF PETAL,WATKINS & EAGER PLLC,MS,15000,2,2
ANCIENT COIN COLLECTORS GUILD,"WASHINGTON & MADISON, LLC",MO,0,1,1
CITY OF LOUISVILLE,WATKINS & EAGER PLLC,MS,15000,1,2
SCHOOL-BASED HEALTH ALLIANCE,THE VOGEL GROUP,DC,22500,3,2
BIG HEALTH INC.,MCDERMOTT+ LLC,CA,0,1,2
KASASA,KASASA,TX,0,1,1
INNOVA PREP SCHOOL,WATKINS & EAGER PLLC,MS,15000,1,2
POINT OF CARE TESTING ASSOCIATION,MCDERMOTT+ LLC,DC,30000,1,2
HARMONY BIOSCIENCES,WATKINS & EAGER PLLC,DC,30000,1,1
"SVANTE, INC.",THE VOGEL GROUP,,30000,5,3
FARM CREDIT MID-AMERICA,FARM CREDIT MID-AMERICA,KY,20000,2,1
TRINITY HEALTH,MCDERMOTT+ LLC,MI,30000,2,3
AMERICAN ACADEMY OF OPHTHALMOLOGY,MCDERMOTT+ LLC,DC,70000,3,4
MERCY HOUSE ADULT AND TEEN CHALLENGE,WATKINS & EAGER PLLC,MS,0,1,2
GENWORTH FINANCIAL INC.,THE VOGEL GROUP,VA,36000,4,4
"CASTLE BIOSCIENCES, INC.",MCDERMOTT+ LLC,TX,40000,1,3
URGENT CARE ASSOCIATION,MCDERMOTT+ LLC,IL,60000,1,4
"SELF-INSURANCE INSTITUTE OF AMERICA, INC.",CC LAW & POLICY,SC,0,1,1
SECURITY INDUSTRY ASSOCIATION,SECURITY INDUSTRY ASSOCIATION,MD,24000,6,1
ALLEGHENY COUNTY AIRPORT AUTHORITY,SUMMIT STRATEGIES GOVERNMENT AFFAIRS LLC,PA,40000,3,1
ZELIS,MCDERMOTT+ LLC,MA,90000,1,2
BUCHANAN INGERSOLL & ROONEY PC ON BEHALF OF THE CITY OF PITTSBURGH,SUMMIT STRATEGIES GOVERNMENT AFFAIRS LLC,PA,10000,5,1
THE ERISA INDUSTRY COMMITTEE,CC LAW & POLICY,DC,0,1,1
COALITION TO PROTECT AND PROMOTE ASSOCIATION HEALTH PLANS (INFORMAL COALITION),CC LAW & POLICY,FL,0,1,1
BUCHANAN INGERSOLL & ROONEY PC ON BEHALF OF PITTSBURGH REGIONAL TRANSIT,SUMMIT STRATEGIES GOVERNMENT AFFAIRS LLC,PA,10000,2,1
INSTITUTIONAL SHAREHOLDER SERVICES,THE VOGEL GROUP,MD,60000,2,7
BUCHANANINGERSOLL&ROONEYPCONBEHALFOF URBANREDEVELOPMENT AUTHORITY OF PITTSBURGH,SUMMIT STRATEGIES GOVERNMENT AFFAIRS LLC,PA,10000,5,1
COLGATE - PALMOLIVE,"TAFT STETTINIUS & HOLLISTER LLP DBA TAFT ADVISORS LLC FKA (TAFT, STETTINIUS & HOLLISTER, LLP)",NY,20000,1,1
THE BOROUGH OF SEWICKLEY,SUMMIT STRATEGIES GOVERNMENT AFFAIRS LLC,PA,10000,1,2
FIDELITY AND GUARANTY LIFE,"TAFT STETTINIUS & HOLLISTER LLP DBA TAFT ADVISORS LLC FKA (TAFT, STETTINIUS & HOLLISTER, LLP)",IA,40000,1,1
JTEKT NORTH AMERICA,"TAFT STETTINIUS & HOLLISTER LLP DBA TAFT ADVISORS LLC FKA (TAFT, STETTINIUS & HOLLISTER, LLP)",SC,10000,1,1
QUAKER VALLEY SCHOOL DISTRICT,SUMMIT STRATEGIES GOVERNMENT AFFAIRS LLC,PA,20000,1,2
TOMORROW.IO,"TAFT STETTINIUS & HOLLISTER LLP DBA TAFT ADVISORS LLC FKA (TAFT, STETTINIUS & HOLLISTER, LLP)",MA,0,1,1
21ST CENTURY SCHOOL FUND,THE VOGEL GROUP,DC,0,2,2
"MID-AMERICAN GUNITE, INC.","TAFT STETTINIUS & HOLLISTER LLP DBA TAFT ADVISORS LLC FKA (TAFT, STETTINIUS & HOLLISTER, LLP)",MI,0,1,1
ELECTRIC POWER SUPPLY ASSOCIATION,ELECTRIC POWER SUPPLY ASSOCIATION,DC,40000,1,2
EXHIBITIONS & CONFERENCES ALLIANCE,EXHIBITIONS & CONFERENCES ALLIANCE,GA,70000,6,1
NONVIOLENT PEACEFORCE,THE VOGEL GROUP,MN,0,2,1
WUXI BIOLOGICS USA LLC,FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),,40000,2,3
AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,NM,0,2,1
HEALTHCARE SUPPLY CHAIN ASSOCIATION,THE VOGEL GROUP,DC,30400,4,2
AMERICAN FINANCIAL SERVICES ASSOCIATION,AMERICAN FINANCIAL SERVICES ASSOCIATION,DC,280000,9,3
"TIRE PROS FRANCORP, LLC",MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),NC,50000,3,3
RENEWABLE BIOFUELS,THE VOGEL GROUP,TX,30000,5,5
THEODORE ROOSEVELT PRESIDENTIAL LIBRARY FOUNDATION,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),ND,20000,2,2
"EMPIRICAL SYSTEMS AEROSPACE, INC.",THE VOGEL GROUP,CA,30000,2,5
NEXANS HIGH VOLTAGE USA,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),SC,40000,2,2
NEIGHBORS BANK,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),MO,50000,1,3
NATIONAL ASSOCIATION OF LOCUM TENENS ORGANIZATIONS (NALTO),MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),FL,30000,1,2
LITHOS CARBON,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),WA,10000,3,3
NATIONAL COUNCIL ON SCHOOL FACILITIES,THE VOGEL GROUP,DC,0,2,1
COMMERCE BANK,COMMERCE BANK,MO,0,1,1
PACIFY HEALTH,THE VOGEL GROUP,DC,0,1,3
"FENIX INTERNATIONAL, LTD.",THE VOGEL GROUP,,120000,1,3
INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,THE VOGEL GROUP,MD,15000,2,3
JEA,THE VOGEL GROUP,FL,48000,2,3
NATIONAL CLUB ASSOCIATION,NATIONAL CLUB ASSOCIATION,DC,20000,4,1
HEARING INDUSTRIES ASSOCIATION,THE VOGEL GROUP,DC,37600,4,4
OAKLAND UNIVERSITY,THE BURNHAM GROUP LLC,MI,10000,5,1
AUTOMATION ALLEY,THE BURNHAM GROUP LLC,MI,20000,3,1
DOMTAR CORPORATION FKA PAPER EXCELLENCE HOLDINGS CORPORATION FKA DOMTAR,ORION ADVOCATES,SC,50000,9,1
"BIOMASS ENERGY SYSTEMS, INC. (BESI)",MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),IL,20000,2,2
TRELLIX (FORMERLY MUSARUBA US LLC),THE VOGEL GROUP,VA,15000,1,4
PELLET FUELS INSTITUTE FKA PFI,ORION ADVOCATES,VA,15000,2,1
INFINITY FLIGHT GROUP,THE VOGEL GROUP,NJ,12000,1,2
CHICKASAW NATION,"RED MAPLE CONSULTING, LLC",OK,80000,6,1
HARDWOOD FEDERATION,ORION ADVOCATES,DC,30000,4,1
INDIAN GAMING ASSOCIATION (FKA NATIONAL INDIAN GAMING ASSOCIATION),"RED MAPLE CONSULTING, LLC",DC,20000,4,1
"HEARTH, PATIO AND BARBECUE ASSOCIATION",ORION ADVOCATES,VA,15000,2,1
NATIONAL ALLIANCE FOR PUBLIC CHARTER SCHOOLS,"RED MAPLE CONSULTING, LLC",DC,30000,1,1
HAMPTON UNIVERSITY,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),VA,20000,3,3
FOREST RESOURCES ASSOCIATION,ORION ADVOCATES,DC,20000,3,1
TECHNOLOGY NETWORK AKA TECHNET,TECHNOLOGY NETWORK AKA TECHNET,DC,770000,17,5
LIFESHARE TRANSPLANT DONOR SERVICES OF OKLAHOMA,"RED MAPLE CONSULTING, LLC",OK,30000,2,1
WOOD INDUSTRY ASSOCIATION (FKA WOOD MACHINERY MANUFACTURERS OF AMERICA,ORION ADVOCATES,MD,10000,3,1
AMERICAN BUILDING MATERIALS ALLIANCE,ORION ADVOCATES,NY,20000,4,1
ARKANSAS CHILDREN'S HOSPITAL,RAY C CULVER III,AR,0,1,1
NORTH STAR SCIENTIFIC CORPORATION,"RED MAPLE CONSULTING, LLC",HI,30000,2,1
"BIOMASS ENERGY SYSTEMS, INC (BESI)","RED MAPLE CONSULTING, LLC",IL,20000,2,1
CHICKASAW INKANA FOUNDATION (ON BEHALF OF THE CHICKASAW NATION),"RED MAPLE CONSULTING, LLC",MS,0,1,1
MARINERS' MUSEUM,"RED MAPLE CONSULTING, LLC",VA,20000,1,1
UNITED LAUNCH ALLIANCE,"RED MAPLE CONSULTING, LLC",CO,40000,1,1
FREEDOM FROM RELIGION FOUNDATION,FREEDOM FROM RELIGION FOUNDATION,DC,50000,3,1
340B HEALTH,RAY ANDERSON,DC,0,1,1
"C.H. ROBINSON WORLDWIDE, INC.","C.H. ROBINSON WORLDWIDE, INC.",MN,130000,1,1
AGILITI,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",MN,30000,1,3
FRIENDS OF PUERTO RICO,MIRSONIA GROUP,DC,0,1,2
ALLIANCE FOR QUALITY MEDICAL DEVICE SERVICING,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,0,1,3
"COMMUNITY HEALTH NETWORK, INC. INDIANAPOLIS","HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,42000,1,3
CROTHALL HEALTHCARE,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",NC,0,1,3
DECATUR COUNTY MEMORIAL HOSPITAL,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,0,1,3
"NETHOPE, INC.",ARK STRATEGY,VA,20000,1,1
BETTER WORLD CAMPAIGN,MWMURRAY CONSULTING LLC,DC,9000,2,1
EISENHOWER HEALTH,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",CA,20000,1,3
PASCUA YAQUI TRIBE OF ARIZONA,"COPPER HILL STRATEGIES, LLC",AZ,10000,2,1
GOSHEN HEALTH,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,0,1,3
GUTHRIE CLINIC,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",PA,14461,1,3
HALL RENDER 340B COLLABORATIVE,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,29700,2,3
HANCOCK REGIONAL HOSPITAL,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",IN,0,1,3
