"rank","name","people","pct_female","pct_white","pct_black","pct_aian","pct_asian","pct_twoplus","pct_hispanic","also_a_last_name"
101,"JORDAN",452333,27.1032,60.9726,16.3974,0.863523,2.30428,7.10561,12.3566,TRUE
102,"OLIVIA",449371,99.8705,64.2812,6.34376,0.486235,3.6698,6.35889,18.8601,TRUE
103,"LAUREN",449369,99.2647,81.0105,5.5569,0.344706,2.31725,3.70787,7.06279,TRUE
104,"DENNIS",448313,0.306037,82.7395,7.20613,0.619433,2.71797,2.01333,4.70363,TRUE
105,"KYLE",436136,1.69506,82.9805,4.61278,0.805024,3.26274,4.14137,4.19754,TRUE
106,"ZACHARY",435260,0.146349,83.8935,3.2422,0.550016,1.57538,4.59679,6.14208,TRUE
107,"ANDREA",429406,98.7667,55.2896,10.5872,0.578241,1.66952,2.51301,29.3624,TRUE
108,"JANET",429157,99.9101,82.838,5.50638,0.409873,2.24557,1.62901,7.3712,TRUE
109,"CHRISTINA",423586,99.8834,67.1295,6.53822,0.649927,4.6994,3.96921,17.0138,TRUE
110,"DIANE",422756,99.9177,85.1475,7.14786,0.367824,1.65556,1.51861,4.16268,TRUE
111,"CHRISTIAN",415785,4.20792,41.9659,12.2421,0.555095,3.05951,4.3775,37.7998,TRUE
112,"JACK",415672,0.253802,87.0641,1.92628,0.54057,2.43485,3.32594,4.70828,TRUE
113,"CATHERINE",410554,99.916,80.4715,6.21063,0.363411,3.91983,2.56629,6.46833,TRUE
114,"MEGAN",409938,99.889,87.2856,1.96347,0.438847,2.16594,3.28025,4.86586,TRUE
115,"FRANK",407086,0.153285,71.9194,8.08183,0.71803,2.28379,1.79446,15.2024,TRUE
116,"ETHAN",403011,0.177415,65.7513,4.92294,0.73596,6.86607,5.83235,15.8914,TRUE
117,"HANNAH",402716,99.8758,80.9861,3.09225,0.503581,4.56078,4.63925,6.21803,TRUE
118,"TERESA",402459,99.9001,65.6661,6.51892,0.617206,2.23153,2.40571,22.5606,TRUE
119,"TAYLOR",389227,75.4632,77.0219,10.536,0.79902,1.38531,4.94364,5.31412,TRUE
120,"SARA",384262,99.8751,74.1161,2.54566,0.431737,2.78638,2.96048,17.1596,TRUE
121,"CAROLYN",384058,99.9138,77.919,15.6784,0.503049,1.35422,2.09812,2.44729,FALSE
122,"DOUGLAS",383163,0.0936936,88.1807,4.72593,0.518056,0.98235,2.09702,3.4959,TRUE
