"fips","name","class","bin","rate"
"28097","Montgomery County","setaside",NA,0
"31099","Kearney County","ok",4,1.905
"31087","Hitchcock County","ok",4,1.984
"10003","New Castle County","ok",2,0.777
"16081","Teton County","ok",3,1.398
"17161","Rock Island County","ok",3,1.216
"51073","Gloucester County","ok",2,0.584
"05133","Sevier County","ok",2,0.57
"18017","Cass County","ok",2,0.789
"16077","Power County","ok",3,1.404
"18015","Carroll County","ok",5,3.217
"42101","Philadelphia County","ok",2,0.889
"56043","Washakie County","ok",4,1.94
"37029","Camden County","ok",3,1.193
"36109","Tompkins County","ok",5,3.155
"05069","Jefferson County","ok",1,0.401
"05079","Lincoln County","ok",1,0.443
"55123","Vernon County","nodata",NA,NA
"29093","Iron County","ok",3,1.311
"48223","Hopkins County","ok",1,0.226
"36001","Albany County","ok",5,2.901
"48225","Houston County","ok",2,0.616
"39111","Monroe County","ok",4,1.579
"20165","Rush County","ok",3,1.23
"18107","Montgomery County","ok",3,1.357
"20187","Stanton County","ok",3,1.043
"21129","Lee County","ok",2,0.701
"27071","Koochiching County","ok",2,0.732
"48029","Bexar County","ok",2,0.818
"08013","Boulder County","ok",3,1.375
"47089","Jefferson County","ok",2,0.635
"40097","Mayes County","ok",1,0.333
"27165","Watonwan County","ok",3,1.187
"16013","Blaine County","ok",3,1.416
"22053","Jefferson Davis Parish","ok",2,0.54
"46119","Sully County","ok",3,1.422
"08031","Denver County","ok",4,1.705
"40029","Coal County","ok",2,0.626
"30011","Carter County","ok",3,1.272
"48461","Upton County","impossible",NA,-1.008
"18051","Gibson County","ok",2,0.519
"31105","Kimball County","ok",3,1.206
"17093","Kendall County","ok",3,1.254
"11001","Ward 1","setaside",NA,87.696
"08085","Montrose County","ok",3,1.45
"27171","Wright County","ok",2,0.7
"55059","Kenosha County","nodata",NA,NA
"08037","Eagle County","ok",4,1.516
"06075","San Francisco County","ok",4,2.12
"08113","San Miguel County","ok",3,1.355
"02020","Anchorage Municipality","nodata",NA,NA
"12109","St. Johns County","ok",3,1.148
"28019","Choctaw County","setaside",NA,0
"29079","Grundy County","ok",3,1.146
"26085","Lake County","ok",2,0.761
"26139","Ottawa County","ok",2,0.81
"17031","Cook County","impossible",NA,-84.801
"17059","Gallatin County","ok",4,1.595
"45047","Greenwood County","ok",2,0.707
"20059","Franklin County","ok",2,0.912
"27027","Clay County","ok",2,0.947
"47075","Haywood County","ok",1,0.434
"49003","Box Elder County","ok",5,2.558
"28139","Tippah County","setaside",NA,0
"54051","Marshall County","ok",2,0.81
"54035","Jackson County","ok",3,1.217
"16039","Elmore County","ok",2,0.772
"24005","Baltimore County","ok",2,0.912
"38005","Benson County","ok",4,1.773
"29163","Pike County","ok",3,1.175
"39087","Lawrence County","ok",3,1.424
"29201","Scott County","ok",6,16.424
"39001","Adams County","ok",2,0.861
