"name","born_all","born_through_2020","median_birth_year","census_2020","census_rank","pct_still_counted"
"DESIREE",83761,82741,1989,69937,728,84.5252
"SHERYL",79026,78937,1959,69911,729,88.5656
"ALLAN",96711,95319,1954,69671,730,73.0925
"RAQUEL",50978,49685,1988,69611,731,140.105
"KRISTI",76622,76567,1975,69585,732,90.8812
"KEN",33043,32832,1961,69582,733,211.933
"BRITTNEY",82468,82266,1991,69444,734,84.414
"ALI",44888,39178,2006,69302,735,176.89
"CAROLINA",48108,44618,1998,69296,736,155.31
"AALIYAH",110077,94990,2012,69241,737,72.8929
"MEREDITH",82044,79079,1984,69215,738,87.5264
"EDNA",296158,295707,1921,68962,739,23.3211
"REGINALD",112308,111369,1967,68879,740,61.8476
"DALTON",86142,82971,1999,68878,741,83.0145
"GILBERT",130821,130045,1948,68862,742,52.9524
"CRISTIAN",71051,65996,2004,68806,743,104.258
"SIMON",70444,63207,2001,68780,744,108.817
"KALEB",86851,80444,2007,68291,745,84.8926
"BECKY",87042,86872,1962,68256,746,78.5708
"ERNESTO",44816,43472,1989,68243,747,156.982
"BREANNA",82440,81872,1998,68070,748,83.142
"DAVE",64492,64172,1956,67929,749,105.855
"LEROY",202163,200809,1939,67707,750,33.7171
"HARRISON",99462,84239,2008,67132,751,79.6923
"BRODY",81960,73195,2011,67093,752,91.6634
"AURORA",99209,67547,2017,66923,753,99.0762
"KRISTA",73863,73641,1983,66762,754,90.6587
"BELLA",83766,70308,2014,66739,755,94.9238
"KELLI",75192,75091,1978,66659,756,88.771
"LORENZO",86066,71511,2001,66587,757,93.1143
"QUINN",89495,71568,2014,66536,758,92.9689
"GIOVANNI",90351,75465,2010,66480,759,88.0938
"REBEKAH",75915,74431,1992,66474,760,89.3096
"LINCOLN",106968,79979,2017,66384,761,83.0018
"JULIANA",67797,61282,2007,65978,762,107.663
"PENELOPE",109533,78659,2017,65806,763,83.6598
"MAYRA",33561,32959,1991,65662,764,199.223
"AYDEN",91630,81686,2012,65628,765,80.3418
"DARRYL",93419,92964,1964,65344,766,70.2896
"HUDSON",116169,75601,2018,65102,767,86.1126
"JACE",92412,75659,2014,64943,768,85.8365
"SCARLETT",111739,79958,2017,64822,769,81.0701
"LYNDA",78098,77980,1952,64728,770,83.0059
"GENE",133874,133492,1943,64474,771,48.298
"BERTHA",208807,208659,1919,64455,772,30.8901
"SHAUN",73610,73014,1982,64418,773,88.2269
"SHELLEY",74339,74288,1965,64253,774,86.4918
"GIANNA",110388,78558,2015,64221,775,81.7498
"ABEL",66198,57618,2011,63705,776,110.564
"VALERIA",80157,70779,2008,63605,777,89.8642
"JONAH",86075,71818,2010,63551,778,88.489
"KRISTY",70703,70590,1979,63534,779,90.0042
"LEWIS",156636,153286,1941,63422,780,41.3749
"LLOYD",161988,161482,1937,63231,781,39.1567
"MATEO",126778,73466,2019,63143,782,85.9486
"MERCEDES",46575,45726,1992,62850,783,137.449
"GENESIS",97244,78434,2014,62795,784,80.0609
"KRYSTAL",75376,74838,1987,62788,785,83.8986
"RAMONA",71123,69311,1955,62766,786,90.5571
"DOMINIQUE",74343,73294,1993,62492,787,85.2621
"BELINDA",73110,72486,1964,62433,788,86.1311
"CARLY",66626,64896,1997,62430,789,96.2001
"CAMILLE",77120,70888,1993,62246,790,87.8089
"FLORENCE",340547,337561,1920,62185,791,18.4219
"PATSY",127161,127069,1942,62123,792,48.8892
"LORENA",45179,44296,1977,61919,793,139.785
"GUILLERMO",32148,30705,1993,61844,794,201.413
"NOEL",67380,62948,1985,61698,795,98.0142
"DORA",106480,106116,1927,61606,796,58.0553
"MARIAN",143295,142267,1930,61582,797,43.2862
"ASHER",112690,71961,2018,61307,798,85.1948
"ELISE",75252,69011,2002,61120,799,88.5656
"JACQUELYN",85307,84835,1965,60916,800,71.8053
"DELORES",118251,118164,1940,60887,801,51.5275
"JOSUE",57874,52327,2006,60561,802,115.736
"NEVAEH",98924,86655,2011,60298,803,69.584
"CANDICE",68139,67991,1982,59920,804,88.1293
