"vote","rvweight","lvweight","educ4","race4","race_said","party3","age4","turnout3","region5"
"Clinton",0.791,0.7146,"Postgraduate","White","White","Democratic","35-49","Middle","Southeast"
"Trump",1.1425,1.1367,"Bachelor's","Other","Other","Republican","35-49","High","Central"
NA,1.5432,0.1677,"HS or less","Black","Black","Democratic","35-49","Low","Southeast"
"Trump",0.7524,0.6336,"Some college","White","Refused","Republican","18-34","Middle","North/Panhandle"
"Trump",1.4808,0.9583,"HS or less","White","White","Republican","65+","Low","North/Panhandle"
"Trump",1.044,0.9387,"Postgraduate","White","White","Republican","50-64","Middle","Central"
NA,0.9824,0.9802,"HS or less","Black","Black","Democratic","65+","High","North/Panhandle"
"Trump",0.8465,0.8421,"Bachelor's","White","White","Republican","18-34","High","Southwest"
"Trump",1.3606,1.3575,"Some college","White","White","Republican","65+","High","Central"
"Trump",0.8961,0.8002,"Postgraduate","White","White","Republican","35-49","Middle","Southeast"
"Trump",1.4002,1.3945,"Some college","White","White","Republican","65+","High","Southeast"
NA,0.9321,0.9272,"Some college","White","White","Republican","35-49","High","North/Panhandle"
NA,0.9892,0.6529,"HS or less","Black","Black","Democratic","18-34","Low","North/Panhandle"
"Trump",1.0784,0.1187,"Bachelor's","White","White","Other","50-64","Low","Southwest"
"Clinton",1.0183,0.9869,"Bachelor's","Other","White","Other","65+","High","Central"
"Clinton",0.9391,0.3383,"Bachelor's","White","White","Other","35-49","Middle","Bay Area"
"Clinton",0.9347,0.9306,"Some college","White","White","Democratic","65+","High","Southwest"
"Clinton",0.8208,0.7862,"Some college","White","White","Democratic","18-34","High","Southeast"
"Clinton",0.9347,0.9025,"Bachelor's","White","White","Democratic","65+","High","Southwest"
"Trump",0.8649,0.7551,"Bachelor's","White","White","Republican","65+","Middle","North/Panhandle"
"Clinton",1.2203,1.1757,"Some college","Black","Black","Democratic","50-64","High","Southeast"
"Trump",0.8572,0.6734,"Postgraduate","Other","Other","Other","35-49","Middle","Central"
"Trump",1.1634,0.3216,"Bachelor's","White","White","Other","18-34","Middle","Central"
NA,0.6294,0.4954,"HS or less","Hispanic","Other","Democratic","18-34","Middle","North/Panhandle"
"Clinton",1.447,0.9422,"Some college","Hispanic","White","Other","18-34","Low","Central"
"Clinton",0.5588,0.4475,"HS or less","Other","White","Democratic","65+","Middle","Southeast"
"Trump",0.7309,0.5923,"Postgraduate","Hispanic","White","Republican","50-64","Middle","Bay Area"
"Clinton",1.0501,0.8401,"Some college","Black","Other","Democratic","35-49","Middle","Central"
"Clinton",1.6613,1.0218,"HS or less","White","White","Other","35-49","Low","Central"
NA,1.2926,0.1954,"Some college","Black","Black","Democratic","18-34","Low","Southeast"
"Trump",0.7139,0.5924,"Postgraduate","White","White","Other","50-64","Middle","Bay Area"
"Clinton",0.6927,0.5508,"Some college","Black","Black","Democratic","18-34","Middle","North/Panhandle"
"Clinton",1.0807,0.3151,"HS or less","Black","Black","Democratic","18-34","Middle","Southeast"
"Clinton",0.514,0.1517,"HS or less","Other","Black","Other","18-34","Middle","Southeast"
"Clinton",1.082,1.0473,"Some college","Hispanic","White","Democratic","50-64","High","Central"
NA,1.1634,0.3392,"Some college","White","White","Other","18-34","Middle","Central"
"Trump",0.7142,0.566,"Some college","Hispanic","White","Republican","18-34","Middle","Southeast"
"Clinton",0.6163,0.4892,"Bachelor's","Other","Refused","Other","18-34","Middle","Southeast"
"Clinton",0.7789,0.764,"Postgraduate","Black","Black","Democratic","35-49","High","North/Panhandle"
"Clinton",1.3687,1.3644,"Bachelor's","White","White","Democratic","35-49","High","Central"
"Clinton",0.7119,0.6702,"Bachelor's","Hispanic","White","Democratic","18-34","High","Southeast"
"Clinton",1.0289,0.9947,"HS or less","Hispanic","White","Other","65+","High","Southeast"
"Trump",1.4099,0.8595,"Bachelor's","White","White","Republican","18-34","Low","Southeast"
"Trump",1.2933,1.2873,"Some college","White","White","Republican","50-64","High","Central"
"Trump",1.6864,0.2387,"Postgraduate","Black","White","Democratic","35-49","Low","Southeast"
"Clinton",1.0719,1.047,"Postgraduate","Black","Black","Other","50-64","High","Southeast"
NA,1.1464,1.1401,"Bachelor's","White","White","Democratic","18-34","High","Central"
NA,0.9594,0.9208,"Bachelor's","White","White","Republican","18-34","High","Bay Area"
"Trump",0.791,0.6912,"Bachelor's","White","Refused","Democratic","18-34","Middle","Southeast"
"Clinton",1.1348,0.7031,"Bachelor's","Hispanic","White","Other","35-49","Low","North/Panhandle"
"Trump",0.8216,0.7366,"HS or less","Black","Black","Democratic","50-64","Middle","Southeast"
"Clinton",0.9024,0.8802,"Postgraduate","Hispanic","Other","Democratic","50-64","High","Central"
"Clinton",0.7895,0.6944,"Some college","Hispanic","Other","Other","50-64","Middle","Southeast"
"Trump",1.3137,1.2571,"HS or less","White","White","Other","35-49","High","Central"
"Clinton",1.3502,0.9196,"HS or less","Hispanic","White","Democratic","65+","Low","Southeast"
"Trump",0.969,0.9621,"Some college","White","White","Republican","65+","High","Southwest"
"Clinton",1.1167,1.0803,"Some college","Black","Black","Democratic","18-34","High","Southeast"
"Trump",0.9006,0.1154,"HS or less","Other","White","Other","50-64","Low","Bay Area"
"Clinton",0.9383,0.114,"Some college","Other","White","Democratic","35-49","Low","Bay Area"
NA,0.6287,0.252,"HS or less","Black","White","Democratic","50-64","Middle","North/Panhandle"
"Clinton",1.9098,0.1891,"HS or less","White","White","Other","65+","Low","Central"
"Clinton",0.8546,0.8472,"Postgraduate","Black","Black","Democratic","18-34","High","North/Panhandle"
"Trump",1.0957,1.0475,"Some college","White","White","Other","50-64","High","Central"
NA,1.0946,1.0885,"Some college","White","White","Democratic","65+","High","Central"
NA,0.4834,0.3844,"HS or less","Other","Refused","Other","18-34","Middle","Bay Area"
"Clinton",0.705,0.5713,"Some college","Hispanic","White","Democratic","50-64","Middle","Bay Area"
"Clinton",0.7545,0.6299,"Bachelor's","White","White","Democratic","65+","Middle","Southwest"
"Trump",1.0186,0.4784,"HS or less","White","White","Republican","50-64","High","North/Panhandle"
"Clinton",0.8194,0.7946,"HS or less","White","White","Democratic","50-64","High","North/Panhandle"
"Clinton",1.2475,1.2075,"Some college","White","White","Democratic","50-64","High","Central"
"Trump",0.6307,0.4967,"Some college","Other","White","Other","50-64","Middle","Bay Area"
"Trump",1.1044,1.0597,"Postgraduate","White","White","Republican","50-64","High","Southwest"
"Trump",1.1044,1.0663,"Bachelor's","White","White","Republican","50-64","High","Southwest"
"Clinton",0.7172,0.5884,"Postgraduate","White","White","Democratic","50-64","Middle","Southwest"
"Clinton",1.082,1.0424,"HS or less","Hispanic","Other","Democratic","50-64","High","Central"
"Trump",0.7424,0.5773,"Some college","Hispanic","Other","Other","35-49","Middle","Bay Area"
"Clinton",0.7895,0.6389,"Some college","Hispanic","Other","Other","35-49","Middle","Southeast"
NA,1.0266,0.9788,"Bachelor's","White","White","Other","35-49","High","Southwest"
"Clinton",0.7182,0.6835,"Bachelor's","Other","Other","Democratic","18-34","High","Southwest"
"Clinton",0.7255,0.2025,"HS or less","Hispanic","White","Other","18-34","Middle","Southeast"
"Clinton",0.9745,0.7767,"Some college","White","White","Other","18-34","Middle","Central"
NA,0.9922,0.6422,"Some college","Other","Other","Other","18-34","Low","Bay Area"
"Clinton",0.8563,0.2527,"Some college","Hispanic","White","Republican","18-34","Middle","Southeast"
"Trump",0.8835,0.7363,"HS or less","White","White","Democratic","65+","Middle","Central"
"Trump",1.0983,0.9152,"HS or less","White","White","Republican","65+","Middle","Central"
"Clinton",0.6578,0.5131,"Bachelor's","Hispanic","White","Democratic","65+","Middle","Southeast"
"Clinton",0.6779,0.5573,"Postgraduate","White","White","Democratic","50-64","Middle","Bay Area"
"Trump",0.7524,0.6068,"Refused","White","Refused","Republican","35-49","Middle","North/Panhandle"
"Trump",0.7833,0.6318,"HS or less","White","White","Other","35-49","Middle","Bay Area"
NA,0.9102,0.7419,"Bachelor's","White","White","Other","35-49","Middle","Southeast"
"Clinton",0.7142,0.557,"HS or less","Hispanic","Black","Republican","18-34","Middle","Southeast"
"Trump",0.6833,0.5446,"Some college","White","White","Republican","18-34","Middle","Southwest"
"Trump",0.6085,0.1796,"HS or less","Black","Black","Other","18-34","Middle","North/Panhandle"
"Clinton",0.4768,0.1407,"HS or less","Hispanic","Black","Democratic","18-34","Middle","Southwest"
"Clinton",0.7119,0.6809,"HS or less","Hispanic","White","Democratic","18-34","High","Southeast"
NA,0.5789,0.1708,"HS or less","White","Black","Other","18-34","Middle","Southwest"
"Clinton",0.747,0.2199,"Some college","White","White","Democratic","18-34","Middle","Bay Area"
NA,0.9391,0.7474,"Bachelor's","White","White","Other","35-49","Middle","Bay Area"
"Clinton",0.7943,0.7013,"HS or less","White","White","Democratic","18-34","Middle","Southeast"
NA,0.6051,0.4615,"HS or less","Hispanic","Other","Other","18-34","Middle","Southeast"
"Clinton",0.8796,0.6771,"Bachelor's","Black","White","Democratic","18-34","Middle","Central"
"Clinton",0.8885,0.8459,"Postgraduate","White","White","Democratic","35-49","High","Southwest"
"Clinton",0.8329,0.6467,"Postgraduate","White","White","Other","18-34","Middle","Southeast"
"Clinton",0.9102,0.7333,"Postgraduate","White","White","Other","35-49","Middle","Southeast"
"Clinton",1.0807,0.8716,"Postgraduate","Black","Black","Democratic","35-49","Middle","Southeast"
"Clinton",0.7477,0.2206,"HS or less","Black","Black","Other","18-34","Middle","Bay Area"
"Clinton",0.9251,0.6024,"Some college","Hispanic","Other","Democratic","18-34","Low","Bay Area"
"Clinton",0.8733,0.7134,"Some college","Hispanic","Black","Democratic","35-49","Middle","Central"
"Clinton",0.856,0.6851,"Bachelor's","White","White","Other","50-64","Middle","Bay Area"
"Clinton",0.9575,0.7817,"Some college","White","White","Other","65+","Middle","Southeast"
"Trump",0.569,0.4524,"HS or less","Hispanic","White","Other","18-34","Middle","Bay Area"
"Clinton",0.985,0.7889,"HS or less","Black","Black","Democratic","50-64","Middle","Southeast"
NA,1.0666,0.1199,"Some college","White","White","Democratic","18-34","Low","Bay Area"
"Trump",0.7556,0.6134,"HS or less","White","White","Republican","18-34","Middle","North/Panhandle"
"Clinton",0.7132,0.57,"Some college","White","White","Democratic","65+","Middle","Bay Area"
"Clinton",1.0946,1.0897,"Postgraduate","White","White","Democratic","65+","High","Central"
NA,0.7556,0.6273,"Some college","White","White","Republican","18-34","Middle","North/Panhandle"
"Clinton",0.622,0.5306,"HS or less","Hispanic","Other","Democratic","50-64","Middle","Southwest"
"Trump",0.9594,0.9555,"HS or less","White","White","Republican","18-34","High","Bay Area"
"Clinton",0.623,0.5191,"Bachelor's","White","White","Democratic","18-34","Middle","Bay Area"
"Trump",1.6425,1.122,"Postgraduate","White","White","Republican","18-34","Low","Central"
"Clinton",0.8194,0.36,"HS or less","White","White","Democratic","50-64","High","North/Panhandle"
"Trump",1.2933,1.286,"Some college","White","White","Republican","35-49","High","Central"
"Clinton",0.9576,0.1551,"Some college","Other","White","Other","50-64","Low","Southeast"
"Trump",1.1425,1.1068,"Bachelor's","Other","White","Republican","50-64","High","Central"
"Trump",1.0103,0.8483,"Some college","White","White","Republican","35-49","Middle","Bay Area"
"Clinton",0.8662,0.7208,"Some college","Hispanic","White","Other","18-34","Middle","Southeast"
"Clinton",0.7866,0.625,"Bachelor's","White","White","Other","18-34","Middle","Bay Area"
"Clinton",0.5188,0.4212,"Bachelor's","Hispanic","White","Democratic","50-64","Middle","Southwest"
"Trump",0.7796,0.7767,"Postgraduate","White","White","Democratic","65+","High","Southwest"
"Trump",0.6401,0.5144,"Some college","White","White","Other","18-34","Middle","North/Panhandle"
NA,0.8149,0.4041,"Refused","Hispanic","Refused","Democratic","65+","High","Southeast"
"Clinton",1.1461,0.203,"Some college","Hispanic","Refused","Democratic","18-34","Low","Central"
"Clinton",0.747,0.6386,"Bachelor's","White","White","Democratic","18-34","Middle","Bay Area"
"Trump",0.9361,0.9281,"Postgraduate","White","White","Republican","18-34","High","North/Panhandle"
"Trump",1.044,1.0017,"HS or less","White","White","Republican","50-64","High","Bay Area"
"Trump",1.0129,1.0041,"Some college","Hispanic","Refused","Republican","65+","High","Southeast"
"Clinton",0.9494,0.9465,"Postgraduate","Hispanic","Other","Democratic","65+","High","Central"
"Clinton",0.6085,0.4943,"Some college","Black","Black","Other","18-34","Middle","North/Panhandle"
"Trump",1.5583,1.0008,"Some college","White","Other","Other","50-64","Low","Southeast"
"Clinton",0.9055,0.8984,"Postgraduate","Hispanic","Other","Republican","50-64","High","Bay Area"
"Trump",0.8286,0.2507,"Bachelor's","White","White","Other","18-34","Middle","Southwest"
"Trump",0.7556,0.6129,"Bachelor's","White","White","Republican","18-34","Middle","North/Panhandle"
"Trump",1.1102,1.1068,"Bachelor's","White","White","Republican","50-64","High","Southeast"
NA,1.2666,1.2577,"Postgraduate","Hispanic","White","Republican","35-49","High","Southeast"
"Clinton",0.9215,0.757,"Postgraduate","White","White","Democratic","35-49","Middle","Central"
"Clinton",1.2926,0.7835,"Bachelor's","Black","Black","Democratic","18-34","Low","Southeast"
NA,0.9468,0.9051,"Postgraduate","White","White","Other","18-34","High","North/Panhandle"
"Clinton",1.4599,0.9207,"Bachelor's","Hispanic","White","Republican","18-34","Low","Southeast"
"Trump",0.9021,0.2769,"Bachelor's","White","White","Republican","18-34","Middle","North/Panhandle"
"Trump",1.3966,0.8683,"Postgraduate","White","Refused","Republican","18-34","Low","Southwest"
"Clinton",1.1156,1.0824,"Postgraduate","White","White","Other","65+","High","Bay Area"
"Clinton",0.8988,0.8658,"Some college","Hispanic","White","Other","18-34","High","Southeast"
"Trump",1.1679,1.1629,"Bachelor's","White","White","Republican","65+","High","Southeast"
"Trump",1.4603,1.447,"Bachelor's","White","White","Republican","35-49","High","Southeast"
"Clinton",0.8225,0.6704,"Bachelor's","Hispanic","White","Democratic","35-49","Middle","Southeast"
NA,0.8475,0.7271,"Bachelor's","Other","White","Republican","18-34","Middle","Central"
"Trump",0.9629,0.9574,"Postgraduate","Hispanic","White","Republican","35-49","High","Southeast"
"Trump",1.4002,1.3952,"Bachelor's","White","White","Republican","65+","High","Southeast"
NA,0.8293,0.4072,"HS or less","Hispanic","Other","Democratic","18-34","High","Central"
"Trump",0.8158,0.7776,"Some college","Hispanic","Refused","Other","50-64","High","Southeast"
"Trump",0.6858,0.596,"Postgraduate","White","White","Republican","35-49","Middle","North/Panhandle"
"Clinton",0.5312,0.4567,"Postgraduate","Other","White","Democratic","50-64","Middle","Southeast"
NA,1.1745,0.1377,"Postgraduate","Hispanic","White","Democratic","35-49","Low","Southeast"
"Clinton",0.9943,0.4895,"Some college","Hispanic","Other","Democratic","18-34","High","Central"
"Clinton",1.0959,0.6325,"Some college","White","White","Other","18-34","Low","North/Panhandle"
"Trump",0.5567,0.4401,"Some college","Other","White","Republican","18-34","Middle","North/Panhandle"
"Trump",1.1155,0.9107,"HS or less","White","White","Other","65+","Middle","Central"
"Clinton",1.3124,1.2655,"Some college","White","White","Democratic","65+","High","Central"
"Trump",1.0629,0.8465,"Bachelor's","White","White","Republican","65+","Middle","Bay Area"
"Trump",0.8222,0.6839,"Some college","White","White","Republican","50-64","Middle","North/Panhandle"
"Clinton",0.6965,0.5751,"Some college","White","White","Other","50-64","Middle","North/Panhandle"
"Clinton",0.8128,0.6575,"Postgraduate","White","White","Democratic","50-64","Middle","Bay Area"
"Trump",1.0744,0.9051,"Some college","White","White","Republican","50-64","Middle","Southeast"
"Trump",1.2516,1.0126,"Some college","White","White","Republican","50-64","Middle","Central"
"Clinton",0.7895,0.6444,"HS or less","Hispanic","White","Other","50-64","Middle","Southeast"
"Trump",1.2517,1.2028,"Postgraduate","White","White","Republican","50-64","High","Bay Area"
"Clinton",0.7538,0.6067,"Postgraduate","Black","Black","Democratic","50-64","Middle","North/Panhandle"
NA,0.8128,0.6284,"HS or less","White","White","Democratic","35-49","Middle","Bay Area"
"Clinton",0.5565,0.4521,"Bachelor's","Other","White","Other","35-49","Middle","Southwest"
"Clinton",0.8145,0.6557,"HS or less","Hispanic","Other","Other","35-49","Middle","Bay Area"
"Clinton",0.6294,0.196,"Some college","Hispanic","Black","Democratic","35-49","Middle","North/Panhandle"
"Clinton",0.6987,0.5393,"Bachelor's","Other","Other","Democratic","18-34","Middle","Southeast"
"Trump",0.7824,0.6248,"Some college","Hispanic","White","Republican","18-34","Middle","North/Panhandle"
NA,0.5852,0.4436,"Bachelor's","Other","White","Democratic","18-34","Middle","Southeast"
"Clinton",1.0546,0.8224,"Some college","Black","Refused","Democratic","18-34","Middle","Central"
"Clinton",1.1859,0.7731,"Postgraduate","Hispanic","White","Other","65+","Low","Southeast"
"Clinton",0.9254,0.7316,"Some college","White","White","Democratic","18-34","Middle","Central"
"Trump",1.9693,0.152,"HS or less","White","White","Republican","18-34","Low","Central"
"Clinton",0.6927,0.5476,"HS or less","Black","Black","Democratic","18-34","Middle","North/Panhandle"
"Trump",0.7556,0.6646,"HS or less","White","White","Republican","18-34","Middle","North/Panhandle"
"Trump",0.9361,0.8953,"HS or less","White","White","Republican","18-34","High","North/Panhandle"
"Clinton",0.6253,0.5201,"HS or less","Hispanic","White","Democratic","50-64","Middle","Southeast"
"Trump",0.7309,0.608,"Some college","Hispanic","White","Republican","50-64","Middle","Bay Area"
"Trump",0.8845,0.7227,"Postgraduate","White","White","Other","50-64","Middle","Central"
"Trump",0.6858,0.537,"Bachelor's","White","White","Republican","50-64","Middle","North/Panhandle"
"Trump",0.6078,0.4608,"Some college","White","White","Democratic","18-34","Middle","North/Panhandle"
"Trump",0.8427,0.6767,"HS or less","White","Other","Republican","50-64","Middle","Bay Area"
"Trump",1.044,0.8414,"HS or less","White","White","Republican","50-64","Middle","Central"
NA,0.8053,0.2226,"Postgraduate","Hispanic","Other","Republican","18-34","Middle","Bay Area"
NA,0.6053,0.4872,"Postgraduate","White","White","Democratic","35-49","Middle","North/Panhandle"
"Trump",0.4643,0.368,"Bachelor's","Other","White","Republican","18-34","Middle","North/Panhandle"
"Clinton",0.569,0.4499,"HS or less","Hispanic","White","Other","18-34","Middle","Bay Area"
"Trump",1.1886,1.1368,"Postgraduate","White","White","Republican","18-34","High","Central"
"Clinton",0.4397,0.3476,"Some college","Hispanic","Other","Democratic","18-34","Middle","North/Panhandle"
"Clinton",0.6374,0.5017,"Postgraduate","White","White","Other","18-34","Middle","North/Panhandle"
"Trump",0.8865,0.6867,"HS or less","White","White","Republican","65+","Middle","Bay Area"
"Clinton",0.9254,0.7456,"Bachelor's","White","White","Democratic","18-34","Middle","Central"
"Clinton",0.8796,0.6812,"HS or less","Black","Black","Democratic","18-34","Middle","Central"
"Trump",0.6163,0.4872,"HS or less","Other","White","Other","18-34","Middle","Southeast"
NA,0.5504,0.1599,"HS or less","Other","Other","Democratic","18-34","Middle","Bay Area"
"Clinton",0.9892,0.0764,"HS or less","Black","Other","Democratic","18-34","Low","North/Panhandle"
"Clinton",0.6401,0.497,"Postgraduate","White","White","Other","18-34","Middle","North/Panhandle"
NA,1.2997,0.8151,"Some college","White","White","Other","50-64","Low","Southeast"
"Trump",1.1618,1.154,"Postgraduate","White","White","Republican","65+","High","Southwest"
"Clinton",0.755,0.6066,"Some college","Black","Black","Democratic","18-34","Middle","Southeast"
"Trump",0.7824,0.6126,"Postgraduate","Hispanic","Other","Republican","18-34","Middle","North/Panhandle"
NA,0.7804,0.7481,"Postgraduate","White","White","Other","50-64","High","Southwest"
"Trump",1.0789,0.021,"HS or less","White","White","Republican","18-34","Low","North/Panhandle"
"Clinton",1.3467,0.0262,"Some college","White","White","Other","18-34","Low","Bay Area"
"Trump",0.8801,0.4571,"Some college","Other","Other","Other","18-34","Low","Southeast"
NA,1.1634,0.9348,"Some college","White","White","Other","35-49","Middle","Central"
"Trump",0.8149,0.358,"HS or less","Hispanic","Other","Democratic","65+","High","Southeast"
"Clinton",1.0946,1.0886,"Some college","White","White","Democratic","65+","High","Central"
"Trump",1.2926,0.8001,"Postgraduate","Black","White","Democratic","18-34","Low","Southeast"
"Clinton",0.725,0.7014,"Bachelor's","Other","Other","Democratic","18-34","High","Southeast"
NA,0.6188,0.51,"Refused","Other","Refused","Democratic","50-64","Middle","Central"
"Clinton",0.9305,0.9101,"Bachelor's","White","White","Other","65+","High","Bay Area"
